method,count,positive_all_points,positive_middle_points,mean_delta_all_psnr,mean_delta_middle_psnr,min_delta_all_psnr,exact_uniform_points
full_raw_log_prior_0p1,12,0,0,-0.21070429130013965,-0.24973038493538033,-0.4152974337125741,4
full_sample_z_rank,12,0,0,-1.051880916423393,-1.245856568092198,-1.7778923913320988,0
full_sample_z_rank_prior_0p1,12,1,1,-0.34686386133972275,-0.3998559715085272,-1.7752712058738709,0
full_sample_z_rank_prior_0p3,12,2,2,-0.2135740809898404,-0.24229303571519148,-1.690961134155529,0
length_raw_log_prior_0p1,12,0,0,-0.0409291686850605,-0.04536646360666463,-0.3857680749438721,10
length_sample_z_rank_prior_0p1,12,0,0,-0.038394562647086815,-0.04218096946305542,-0.3857680749438721,10
