policy,sample,reference_gap,chosen_method,delta_all_psnr,chosen_reason,train_policy,indices
same_data_threshold_fallback,DAVIS/val/car-shadow,8,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 8 16 24 32 39
same_data_threshold_fallback,DAVIS/val/car-shadow,16,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 16 32 39
same_data_threshold_fallback,DAVIS/val/goat,4,predicted_full_feature_dp,0.0055252224122490645,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 5 11 16 21 25 30 32 37 41 45 50 54 59 61 64 66 71 73 78 82 84 87 89
same_data_threshold_fallback,DAVIS/val/goat,8,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 8 16 24 32 40 48 56 64 72 80 88 89
same_data_threshold_fallback,DAVIS/val/goat,16,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 16 32 48 64 80 89
same_data_threshold_fallback,DAVIS/val/soapbox,4,predicted_full_feature_dp,0.03415602364444936,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 5 12 19 25 30 34 38 42 46 49 53 56 59 62 64 67 69 73 76 79 82 86 90 95 98
same_data_threshold_fallback,DAVIS/val/soapbox,8,predicted_full_feature_dp,0.08340300738787576,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 9 19 27 34 41 47 53 59 64 73 83 92 98
same_data_threshold_fallback,DAVIS/val/soapbox,16,predicted_full_feature_dp,0.26277712715562274,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 14 27 43 56 70 85 98
loocv_threshold_fallback,DAVIS/val/bmx-trees,4,uniform,0.0,max_segment_ratio le 1.5,max_segment_ratio le 1.5,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 79
loocv_threshold_fallback,DAVIS/val/bmx-trees,8,predicted_full_feature_dp,-0.03615984112334303,max_segment_ratio le 1.5,max_segment_ratio le 1.5,0 9 16 25 32 43 50 55 62 70 79
loocv_threshold_fallback,DAVIS/val/bmx-trees,16,predicted_full_feature_dp,0.0,max_segment_ratio le 1.5,max_segment_ratio le 1.5,0 16 32 48 64 79
loocv_threshold_fallback,DAVIS/val/car-shadow,4,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 4 8 12 16 20 24 28 32 36 39
loocv_threshold_fallback,DAVIS/val/car-shadow,8,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 8 16 24 32 39
loocv_threshold_fallback,DAVIS/val/car-shadow,16,uniform,0.0,jaccard_to_uniform le 0.166667,jaccard_to_uniform le 0.166667,0 16 32 39
loocv_threshold_fallback,DAVIS/val/goat,4,predicted_full_feature_dp,0.0055252224122490645,position_mae_to_uniform ge 2.5,position_mae_to_uniform ge 2.5,0 5 11 16 21 25 30 32 37 41 45 50 54 59 61 64 66 71 73 78 82 84 87 89
loocv_threshold_fallback,DAVIS/val/goat,8,predicted_full_feature_dp,-0.10978492809701024,position_mae_to_uniform ge 2.5,position_mae_to_uniform ge 2.5,0 7 16 24 32 41 49 54 59 64 70 83 89
loocv_threshold_fallback,DAVIS/val/goat,16,uniform,0.0,position_mae_to_uniform ge 2.5,position_mae_to_uniform ge 2.5,0 16 32 48 64 80 89
loocv_threshold_fallback,DAVIS/val/soapbox,4,uniform,0.0,selector_cost le 1.86179,selector_cost le 1.86179,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80 84 88 92 96 98
loocv_threshold_fallback,DAVIS/val/soapbox,8,uniform,0.0,selector_cost le 1.86179,selector_cost le 1.86179,0 8 16 24 32 40 48 56 64 72 80 88 96 98
loocv_threshold_fallback,DAVIS/val/soapbox,16,uniform,0.0,selector_cost le 1.86179,selector_cost le 1.86179,0 16 32 48 64 80 96 98
