target_name,reference_source,reference_scope,local_gap,paper_setting,paper_psnr,local_corrected_middle_psnr,local_corrected_all_psnr,local_corrected_given_psnr
paper_level_middle_frame_target,Stage75 corrected StreamSplat paper-protocol package,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float",5,Middle-4 frames,23.66,23.004337221027775,26.994540075591946,34.97494578472027
paper_level_middle_frame_target,Stage75 corrected StreamSplat paper-protocol package,"DAVIS val full 30 sequences, sliding fixed intervals, official_256_float",8,8-frame interval,22.1,21.56004909948801,24.534872014837706,34.94675221856166
