step,sample,gap,start,end,segment_length,loss,psnr
1,n3dv,8,8,16,8,0.0020479541271924973,26.886797754941995
2,robot,2,14,16,2,0.0020044066477566957,26.980141655587456
3,robot,2,44,46,2,0.005418718792498112,22.661033863626244
