edge_id,sequence,reference_gap,left_index,right_index,represented_frame_count,intermediate_count_expected,intermediate_count_measured,keyframe_codec,keyframe_bits,setting_label,keep_fraction,side_bits,left_keyframe_bytes,right_keyframe_bytes,endpoint_keyframe_bytes,residual_payload_bytes,schedule_metadata_bytes,edge_total_bytes_once,dp_incremental_bytes,residual_mib_per_intermediate,edge_total_mib_once,dp_incremental_mib,mean_base_psnr,mean_corrected_psnr,mean_delta_psnr_vs_base,min_delta_psnr_vs_base,mean_anchor_mse_reduction,status,error
dogs-jump:00056:00060:gap4,dogs-jump,4,56,60,5,3,3,q12,12,topk_keep0p05_q6,0.05,6,719647,719649,1439296,47014.0,2,1486312.0,766665.0,0.014945348103841146,1.4174575805664062,0.7311487197875977,26.515985775050535,29.791146787175908,3.2751610121253756,2.511380101969852,0.7873867638148128,ok,
dogs-jump:00056:00060:gap4,dogs-jump,4,56,60,5,3,3,q12,12,topk_keep0p1_q6,0.1,6,719647,719649,1439296,87254.0,2,1526552.0,806905.0,0.02773729960123698,1.4558334350585938,0.7695245742797852,26.515985775050535,31.239318855025612,4.723333079975077,3.9353411349014955,0.9061748605110925,ok,
dogs-jump:00056:00060:gap4,dogs-jump,4,56,60,5,3,3,q12,12,topk_keep0p2_q6,0.2,6,719647,719649,1439296,158630.0,2,1597928.0,878281.0,0.05042711893717448,1.5239028930664062,0.8375940322875977,26.515985775050535,32.13111982721844,5.615134052167906,4.810293735920855,0.9709303068385048,ok,
parkour:00056:00060:gap4,parkour,4,56,60,5,3,3,q12,12,topk_keep0p05_q6,0.05,6,719649,719651,1439300,46836.0,2,1486138.0,766489.0,0.014888763427734375,1.4172916412353516,0.7309808731079102,16.074582783115197,17.728368840445295,1.653786057330097,1.6203107744584173,0.3230610020376659,ok,
parkour:00056:00060:gap4,parkour,4,56,60,5,3,3,q12,12,topk_keep0p1_q6,0.1,6,719649,719651,1439300,90007.0,2,1529309.0,809660.0,0.028612454732259113,1.4584627151489258,0.7721519470214844,16.074582783115197,18.951527337527732,2.8769445544125367,2.7194738650009462,0.5033465537342642,ok,
parkour:00056:00060:gap4,parkour,4,56,60,5,3,3,q12,12,topk_keep0p2_q6,0.2,6,719649,719651,1439300,172312.0,2,1611614.0,891965.0,0.054776509602864586,1.5369548797607422,0.8506441116333008,16.074582783115197,21.062316882749,4.9877340996338,4.685733582205607,0.7181916287929196,ok,
bike-packing:00048:00056:gap8,bike-packing,8,48,56,9,7,7,q12,12,topk_keep0p05_q6,0.05,6,719645,719650,1439295,113434.0,2,1552731.0,833086.0,0.015454156058175223,1.480799674987793,0.7944927215576172,18.060936396683644,20.10208987395435,2.0411534772707074,1.619349666159735,0.48220394232570213,ok,
bike-packing:00048:00056:gap8,bike-packing,8,48,56,9,7,7,q12,12,topk_keep0p1_q6,0.1,6,719645,719650,1439295,216570.0,2,1655867.0,936222.0,0.029505320957728794,1.579157829284668,0.8928508758544922,18.060936396683644,21.314534578952703,3.2535981822690574,2.1955009042807596,0.6680625225568851,ok,
bike-packing:00048:00056:gap8,bike-packing,8,48,56,9,7,7,q12,12,topk_keep0p2_q6,0.2,6,719645,719650,1439295,408207.0,2,1847504.0,1127859.0,0.05561379023960659,1.7619171142578125,1.0756101608276367,18.060936396683644,23.19017142474085,5.129235028057209,2.9056916595107154,0.8403908598088885,ok,
parkour:00096:00099:gap8,parkour,8,96,99,4,2,2,q12,12,topk_keep0p05_q6,0.05,6,719649,719652,1439301,32320.0,2,1471623.0,751974.0,0.015411376953125,1.4034490585327148,0.7171382904052734,18.406104551736988,19.529080510067637,1.1229759583306507,1.122954087686768,0.35668334004528446,ok,
