schedule,total_frames,total_keyframe_count,keyframe_ratio,keyframe_delta_vs_uniform_gap8,keyframe_delta_vs_uniform_gap4,metadata_bits,metadata_bytes,metadata_mib,metadata_mib_per_frame,main_anchor_mib_per_frame_proxy,anchor_rate_interpolation_weight,sampled_row_count,promoted_row_count,residual_row_count,promoted_row_fraction,hard_quality_total,promoted_hard_quality_count,hard_quality_coverage,residual_hard_quality_count,high_payload_total,promoted_high_payload_count,high_payload_coverage,residual_high_payload_count,residual_payload_bytes,avoided_payload_bytes,avoided_payload_fraction,residual_side_mib,avoided_side_mib,mean_residual_side_mib_per_sample,mean_remaining_middle_psnr,mean_remaining_middle_lpips,total_proxy_mib_per_frame
uniform_gap8,1999,292,0.14607303651825912,0,-244,8,1,9.5367431640625e-07,4.770756960511505e-10,0.09762538675351436,0.0,120,0,120,0.0,30,0,0.0,30,72,0,0.0,72,25521643.0,0.0,0.0,24.339335441589355,0.0,0.20282779534657797,29.67958387865285,0.1722773716474573,0.300453182577168
stage165_adaptive,1999,358,0.1790895447723862,66,-178,2610,327,0.00031113624572753906,1.5564594583668787e-07,0.12043131726560583,0.27049180327868855,120,70,50,0.5833333333333334,30,22,0.7333333333333333,8,72,59,0.8194444444444444,13,9279903.0,16241740.0,0.6363908467805148,8.850005149841309,15.489330291748047,0.07375004291534423,30.070640002643103,0.17027496218681334,0.19418151582689588
uniform_gap4,1999,536,0.2681340670335168,244,0,8,1,9.5367431640625e-07,4.770756960511505e-10,0.18193822076791313,1.0,120,8,112,0.06666666666666667,30,5,0.16666666666666666,25,72,5,0.06944444444444445,67,23729521.0,1792122.0,0.07021969549530961,22.630234718322754,1.7091007232666016,0.18858528931935628,29.752249814613997,0.16864157780738814,0.3705235105643451
