schedule,schedule_family,gap,total_mib_per_frame,keyframe_count,residual_count,mean_psnr,mean_ssim,mean_ms_ssim,mean_lpips,delta_rate_vs_gap8,delta_psnr_vs_gap8,delta_ssim_vs_gap8,delta_ms_ssim_vs_gap8,delta_lpips_vs_gap8,best_fixed_by_psnr,delta_rate_vs_best_fixed_psnr,delta_psnr_vs_best_fixed_psnr,delta_ssim_vs_best_fixed_psnr,delta_ms_ssim_vs_best_fixed_psnr,delta_lpips_vs_best_fixed_psnr,beats_best_fixed_psnr_by_1db_and_no_metric_regression
uniform_gap2,fixed_gap,2,0.4495468821866683,1025,974,29.654815328772308,0.878375951948018,0.9866168332910943,0.15168131759139583,0.17368070622454168,0.28085045693247324,0.010750252375190006,0.002273814925078721,-0.017010462111148206,uniform_gap2,0.0,0.0,0.0,0.0,0.0,0
uniform_gap4,fixed_gap,4,0.33076894444307725,536,1463,29.535715839048734,0.8739438994697716,0.9855294218654929,0.15947172297849663,0.05490276848095066,0.16175096720889925,0.006318199896943599,0.0011864034994772954,-0.00922005672404741,uniform_gap2,-0.11877793774359102,-0.11909948972357398,-0.004432052478246407,-0.0010874114256014256,0.007790405387100796,0
uniform_gap6,fixed_gap,6,0.29344506237493745,372,1627,29.448737801531657,0.8706193330169857,0.9848943316024086,0.16457491443157493,0.017578886412810857,0.07477292969182159,0.002993633444157706,0.000551313236393014,-0.004116865270969106,uniform_gap2,-0.15610181981173082,-0.20607752724065165,-0.0077566189310323,-0.001722501688685707,0.0128935968401791,0
uniform_gap8,fixed_gap,8,0.2758661759621266,292,1707,29.373964871839835,0.867625699572828,0.9843430183660156,0.16869177970254404,0.0,0.0,0.0,0.0,0.0,uniform_gap2,-0.17368070622454168,-0.28085045693247324,-0.010750252375190006,-0.002273814925078721,0.017010462111148206,0
uniform_gap16,fixed_gap,16,0.2514788301781811,169,1830,29.199328663742687,0.8603573565843285,0.9830296424521751,0.1773263292425331,-0.02438734578394547,-0.17463620809714797,-0.007268342988499432,-0.0013133759138405088,0.008634549539989073,uniform_gap2,-0.19806805200848715,-0.4554866650296212,-0.018018595363689438,-0.0035871908389192297,0.02564501165113728,0
stage165_adaptive,adaptive,,0.2907429328258184,358,1641,29.4255826920606,0.8692941793565335,0.9846469353830415,0.16593745923142186,0.014876756863691831,0.05161782022076622,0.0016684797837055454,0.0003039170170259231,-0.0027543204711221736,uniform_gap2,-0.15880394936084985,-0.22923263671170702,-0.00908177259148446,-0.001969897908052798,0.014256141640026032,0
