measurement_key,sequence,frame_index,used_by_schedules,schedule_count,bitstream_bytes,psnr,ssim,ms_ssim,lpips,status,error
keyframe::blackswan:00004,blackswan,4,uniform_gap2 uniform_gap4,2,719645,30.014708386717125,0.8921173214912415,0.9893144965171814,0.14730903506278992,ok,
keyframe::blackswan:00008,blackswan,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719644,29.923527753216803,0.8880931735038757,0.9888850450515747,0.14594869315624237,ok,
keyframe::blackswan:00012,blackswan,12,uniform_gap2 uniform_gap4 uniform_gap6,3,719647,30.10867333348458,0.8881167769432068,0.9890082478523254,0.15281349420547485,ok,
keyframe::blackswan:00016,blackswan,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719651,31.021733653254465,0.9030032157897949,0.9903311729431152,0.1360500454902649,ok,
keyframe::blackswan:00020,blackswan,20,uniform_gap2 uniform_gap4,2,719653,30.305120010544776,0.8959741592407227,0.9894108772277832,0.1392204761505127,ok,
keyframe::blackswan:00024,blackswan,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719650,30.551588515865692,0.9001529216766357,0.9896149635314941,0.13834913074970245,ok,
keyframe::blackswan:00028,blackswan,28,uniform_gap2 uniform_gap4,2,719655,30.38051133306757,0.8984327912330627,0.9896054267883301,0.1427311897277832,ok,
keyframe::blackswan:00032,blackswan,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719658,30.19432197545428,0.896022617816925,0.9896212816238403,0.14203138649463654,ok,
keyframe::blackswan:00036,blackswan,36,uniform_gap2 uniform_gap4 uniform_gap6,3,719646,29.889455808449984,0.8881046772003174,0.988896906375885,0.15098245441913605,ok,
keyframe::blackswan:00040,blackswan,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719652,29.67436701843934,0.8882209658622742,0.989001989364624,0.1559593677520752,ok,
keyframe::blackswan:00044,blackswan,44,uniform_gap2 uniform_gap4,2,719646,29.59649290567309,0.8863258361816406,0.9888725876808167,0.16290661692619324,ok,
keyframe::blackswan:00048,blackswan,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719644,29.741669132090053,0.8901607394218445,0.9889869689941406,0.14924681186676025,ok,
keyframe::blackswan:00049,blackswan,49,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719645,29.988845750369517,0.895213782787323,0.9894102811813354,0.1464017927646637,ok,
keyframe::bmx-trees:00000,bmx-trees,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719647,32.402202718572404,0.9032070636749268,0.9892457127571106,0.08098333328962326,ok,
keyframe::bmx-trees:00004,bmx-trees,4,uniform_gap2 uniform_gap4,2,719648,32.08939217329148,0.900018036365509,0.9894781112670898,0.09742306917905807,ok,
keyframe::bmx-trees:00008,bmx-trees,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719639,32.03092564945508,0.9018517136573792,0.9899413585662842,0.08703827857971191,ok,
keyframe::bmx-trees:00012,bmx-trees,12,uniform_gap2 uniform_gap4 uniform_gap6,3,719645,33.10763781208017,0.9121106266975403,0.9912182688713074,0.07252251356840134,ok,
keyframe::bmx-trees:00016,bmx-trees,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719646,34.4403745624635,0.9204333424568176,0.9919809699058533,0.07663296908140182,ok,
keyframe::bmx-trees:00020,bmx-trees,20,uniform_gap2 uniform_gap4,2,719646,35.21952806012798,0.9325019717216492,0.993047297000885,0.07180451601743698,ok,
keyframe::bmx-trees:00024,bmx-trees,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719650,34.2582590727961,0.9316083788871765,0.9927162528038025,0.09878747910261154,ok,
keyframe::bmx-trees:00028,bmx-trees,28,uniform_gap2 uniform_gap4,2,719643,31.827092128794135,0.9211487770080566,0.9907857179641724,0.09511411935091019,ok,
keyframe::bmx-trees:00031,bmx-trees,31,stage165_adaptive,1,719646,33.3095672557742,0.932438313961029,0.991727352142334,0.08111889660358429,ok,
keyframe::bmx-trees:00032,bmx-trees,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719642,33.295775400857124,0.9332464337348938,0.9919301271438599,0.08026503026485443,ok,
keyframe::bmx-trees:00035,bmx-trees,35,stage165_adaptive,1,719648,29.389658681703075,0.8963688015937805,0.9874764680862427,0.11686243861913681,ok,
keyframe::bmx-trees:00036,bmx-trees,36,uniform_gap2 uniform_gap4 uniform_gap6,3,719652,30.73477119405311,0.9165112972259521,0.98956698179245,0.10134023427963257,ok,
keyframe::bmx-trees:00040,bmx-trees,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719652,30.04690557480749,0.9060810208320618,0.9882611036300659,0.11172415316104889,ok,
keyframe::bmx-trees:00044,bmx-trees,44,uniform_gap2 uniform_gap4,2,719651,30.561844335622865,0.9098653197288513,0.9898768067359924,0.11348143219947815,ok,
keyframe::bmx-trees:00048,bmx-trees,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719652,31.05800335565734,0.9134684205055237,0.9900273084640503,0.10548794269561768,ok,
keyframe::bmx-trees:00052,bmx-trees,52,uniform_gap2 uniform_gap4,2,719655,27.7924361506782,0.8471975326538086,0.9857979416847229,0.15540461242198944,ok,
keyframe::bmx-trees:00056,bmx-trees,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719652,30.651227747924644,0.9061064720153809,0.9897110462188721,0.11187443137168884,ok,
keyframe::bmx-trees:00060,bmx-trees,60,uniform_gap2 uniform_gap4 uniform_gap6,3,719640,30.863160078403258,0.9016875624656677,0.9902978539466858,0.12683521211147308,ok,
keyframe::bmx-trees:00064,bmx-trees,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719653,26.807514211307712,0.8139531016349792,0.9817614555358887,0.1931186020374298,ok,
keyframe::bmx-trees:00068,bmx-trees,68,uniform_gap2 uniform_gap4,2,719645,26.62287665021197,0.7963101267814636,0.97914719581604,0.20633003115653992,ok,
keyframe::bmx-trees:00072,bmx-trees,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719651,26.373183935526377,0.7863518595695496,0.979002833366394,0.21456146240234375,ok,
keyframe::bmx-trees:00076,bmx-trees,76,uniform_gap2 uniform_gap4,2,719651,26.581818706067295,0.7842587828636169,0.9789289832115173,0.2136971354484558,ok,
keyframe::bmx-trees:00079,bmx-trees,79,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719653,25.888429598452923,0.7616222500801086,0.9773026704788208,0.22000083327293396,ok,
keyframe::breakdance:00000,breakdance,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719646,25.753490174102044,0.8730489611625671,0.987449586391449,0.15702924132347107,ok,
keyframe::breakdance:00004,breakdance,4,uniform_gap2 uniform_gap4,2,719652,25.725343144654506,0.8744699358940125,0.987665057182312,0.1558701992034912,ok,
keyframe::breakdance:00008,breakdance,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719646,25.928890065599425,0.8759186267852783,0.9877623319625854,0.15142589807510376,ok,
keyframe::breakdance:00012,breakdance,12,uniform_gap2 uniform_gap4 uniform_gap6,3,719643,25.681860376557207,0.87373286485672,0.9875323176383972,0.1550544649362564,ok,
keyframe::breakdance:00016,breakdance,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719655,25.645028542659176,0.8719131946563721,0.9874306917190552,0.15673120319843292,ok,
keyframe::breakdance:00020,breakdance,20,uniform_gap2 uniform_gap4,2,719655,25.854087691646107,0.8752134442329407,0.9876216053962708,0.15551456809043884,ok,
keyframe::breakdance:00024,breakdance,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719652,25.93477807070102,0.8755302429199219,0.9878904223442078,0.15091438591480255,ok,
keyframe::breakdance:00028,breakdance,28,uniform_gap2 uniform_gap4,2,719652,25.731797666645857,0.8721306324005127,0.9874755144119263,0.14957541227340698,ok,
keyframe::breakdance:00032,breakdance,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719645,25.634098611396592,0.8732552528381348,0.9873343706130981,0.15302039682865143,ok,
keyframe::breakdance:00036,breakdance,36,uniform_gap2 uniform_gap4 uniform_gap6,3,719652,25.772015355702948,0.8742844462394714,0.987648606300354,0.15362423658370972,ok,
keyframe::breakdance:00040,breakdance,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719652,25.73742047505518,0.873072624206543,0.9874179363250732,0.15228888392448425,ok,
keyframe::breakdance:00044,breakdance,44,uniform_gap2 uniform_gap4,2,719652,25.814888571728755,0.8738134503364563,0.9875695109367371,0.15182314813137054,ok,
keyframe::breakdance:00048,breakdance,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719648,25.666322210779164,0.8719542026519775,0.9875885248184204,0.1501893401145935,ok,
keyframe::breakdance:00052,breakdance,52,uniform_gap2 uniform_gap4,2,719651,25.707761440520205,0.8712734580039978,0.987295389175415,0.14934074878692627,ok,
keyframe::breakdance:00056,breakdance,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719652,25.789103763090743,0.8732450604438782,0.9875547289848328,0.14707058668136597,ok,
keyframe::breakdance:00060,breakdance,60,uniform_gap2 uniform_gap4 uniform_gap6,3,719643,25.757330275572166,0.8700160980224609,0.9873591661453247,0.15289998054504395,ok,
keyframe::breakdance:00064,breakdance,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719654,25.965337105716266,0.8726509213447571,0.9875461459159851,0.15360620617866516,ok,
keyframe::breakdance:00068,breakdance,68,uniform_gap2 uniform_gap4,2,719654,25.714947531206143,0.8719028830528259,0.9875780940055847,0.15334215760231018,ok,
keyframe::breakdance:00072,breakdance,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719653,26.11225389269722,0.8763914108276367,0.987873911857605,0.14905515313148499,ok,
keyframe::breakdance:00076,breakdance,76,uniform_gap2 uniform_gap4,2,719654,25.96237650497654,0.8733457922935486,0.9875527620315552,0.15762588381767273,ok,
keyframe::breakdance:00080,breakdance,80,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719654,25.986000444908353,0.8740788102149963,0.9875283241271973,0.15076413750648499,ok,
keyframe::breakdance:00083,breakdance,83,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719653,25.8895020079737,0.8746148943901062,0.9874815940856934,0.15149883925914764,ok,
keyframe::camel:00000,camel,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719645,26.649687377128345,0.8333830237388611,0.984641432762146,0.16208112239837646,ok,
keyframe::camel:00004,camel,4,uniform_gap2 uniform_gap4,2,719646,26.652852186785427,0.8390275835990906,0.9853472113609314,0.16115663945674896,ok,
keyframe::camel:00008,camel,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719640,26.383456682744143,0.8327124714851379,0.9845405220985413,0.16389083862304688,ok,
keyframe::camel:00012,camel,12,uniform_gap2 uniform_gap4 uniform_gap6,3,719649,26.027458733688693,0.8227266669273376,0.983349621295929,0.16890956461429596,ok,
keyframe::camel:00016,camel,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719642,25.972104639021083,0.8234667181968689,0.9838010668754578,0.17060540616512299,ok,
keyframe::camel:00020,camel,20,uniform_gap2 uniform_gap4,2,719648,26.171754092303694,0.8274407386779785,0.9841144680976868,0.1694442629814148,ok,
keyframe::camel:00023,camel,23,stage165_adaptive,1,719645,26.293544161510827,0.8293004631996155,0.9842534065246582,0.1698649674654007,ok,
keyframe::camel:00024,camel,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719649,26.187746651023353,0.822810173034668,0.9834707975387573,0.17222440242767334,ok,
keyframe::camel:00028,camel,28,uniform_gap2 uniform_gap4,2,719647,26.205068830222565,0.8207980990409851,0.9833598732948303,0.17197570204734802,ok,
keyframe::camel:00032,camel,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719644,26.045637035606582,0.8193108439445496,0.9832605719566345,0.17030885815620422,ok,
keyframe::camel:00036,camel,36,uniform_gap2 uniform_gap4 uniform_gap6,3,719647,25.738651056362443,0.8091228604316711,0.982340931892395,0.18162888288497925,ok,
keyframe::camel:00040,camel,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719647,25.6919268730771,0.8107169270515442,0.9825814962387085,0.1819671392440796,ok,
keyframe::camel:00044,camel,44,uniform_gap2 uniform_gap4,2,719642,25.647391459837152,0.8090090751647949,0.982412576675415,0.18045958876609802,ok,
keyframe::camel:00047,camel,47,stage165_adaptive,1,719651,25.67376262905522,0.8087899088859558,0.9825831055641174,0.1785331666469574,ok,
keyframe::camel:00048,camel,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719648,25.53048962312342,0.8036746978759766,0.9815071821212769,0.18652334809303284,ok,
keyframe::camel:00051,camel,51,stage165_adaptive,1,719646,25.600132613179596,0.8042654991149902,0.9819626808166504,0.18335258960723877,ok,
keyframe::camel:00052,camel,52,uniform_gap2 uniform_gap4,2,719649,25.727799708885108,0.8105218410491943,0.9824885725975037,0.1778772920370102,ok,
keyframe::camel:00056,camel,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719646,25.673745451645054,0.8051003813743591,0.9819308519363403,0.18385693430900574,ok,
keyframe::camel:00060,camel,60,uniform_gap2 uniform_gap4 uniform_gap6,3,719649,25.388386850152344,0.7956106662750244,0.9810236096382141,0.1903914362192154,ok,
keyframe::camel:00064,camel,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719648,25.494421560374754,0.79994136095047,0.9813913106918335,0.19171220064163208,ok,
keyframe::camel:00068,camel,68,uniform_gap2 uniform_gap4,2,719647,25.56089917371485,0.7969273924827576,0.9811360836029053,0.18691828846931458,ok,
keyframe::camel:00072,camel,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719646,25.491771186707375,0.7943016886711121,0.9807982444763184,0.19313427805900574,ok,
keyframe::camel:00075,camel,75,stage165_adaptive,1,719646,25.397419219921126,0.7929010391235352,0.9805324077606201,0.1921868622303009,ok,
keyframe::camel:00076,camel,76,uniform_gap2 uniform_gap4,2,719644,25.528211834159894,0.7987334132194519,0.9814197421073914,0.18899250030517578,ok,
keyframe::camel:00080,camel,80,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719650,25.564857773055458,0.7968010902404785,0.9810541272163391,0.1895584911108017,ok,
keyframe::camel:00084,camel,84,uniform_gap2 uniform_gap4 uniform_gap6,3,719652,25.441117944470232,0.7885881066322327,0.9800187945365906,0.19822272658348083,ok,
keyframe::camel:00088,camel,88,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719651,25.49984412048019,0.7928568720817566,0.9806587100028992,0.19561827182769775,ok,
keyframe::camel:00089,camel,89,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719650,25.45548070331276,0.7944356799125671,0.980853796005249,0.19054177403450012,ok,
keyframe::car-roundabout:00000,car-roundabout,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719649,27.813761276796157,0.9115229249000549,0.9914644956588745,0.11824113130569458,ok,
keyframe::car-roundabout:00001,car-roundabout,1,stage165_adaptive,1,719652,27.63675266447711,0.903127133846283,0.990972101688385,0.12649470567703247,ok,
keyframe::car-roundabout:00004,car-roundabout,4,uniform_gap2 uniform_gap4,2,719652,27.61547860454394,0.9059816002845764,0.9906601309776306,0.1268390566110611,ok,
keyframe::car-roundabout:00008,car-roundabout,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719655,27.576329488013197,0.9081614017486572,0.9909214377403259,0.11894110590219498,ok,
keyframe::car-roundabout:00012,car-roundabout,12,uniform_gap2 uniform_gap4 uniform_gap6,3,719653,27.470976820409682,0.9062113165855408,0.9907698631286621,0.12386953830718994,ok,
keyframe::car-roundabout:00015,car-roundabout,15,stage165_adaptive,1,719644,27.62298031215495,0.9044978022575378,0.9906129837036133,0.12209617346525192,ok,
keyframe::car-roundabout:00016,car-roundabout,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719656,27.524599599880275,0.8975240588188171,0.9901008605957031,0.13384979963302612,ok,
keyframe::car-roundabout:00020,car-roundabout,20,uniform_gap2 uniform_gap4,2,719654,27.532667929923413,0.9040875434875488,0.9903551936149597,0.12155144661664963,ok,
keyframe::car-roundabout:00024,car-roundabout,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719645,27.606720376000503,0.9046637415885925,0.9906558990478516,0.12572117149829865,ok,
keyframe::car-roundabout:00028,car-roundabout,28,uniform_gap2 uniform_gap4,2,719654,27.58803190295204,0.8984155058860779,0.9903692007064819,0.13278889656066895,ok,
keyframe::car-roundabout:00029,car-roundabout,29,stage165_adaptive,1,719651,27.788394820546216,0.9029920697212219,0.9908003211021423,0.13082319498062134,ok,
keyframe::car-roundabout:00032,car-roundabout,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719645,27.82074431826976,0.9058274626731873,0.9911276698112488,0.13330325484275818,ok,
keyframe::car-roundabout:00036,car-roundabout,36,uniform_gap2 uniform_gap4 uniform_gap6,3,719647,27.5720277884278,0.9062461256980896,0.990986704826355,0.1338304579257965,ok,
keyframe::car-roundabout:00040,car-roundabout,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719645,27.226859143774348,0.8980851769447327,0.9900860786437988,0.13639919459819794,ok,
keyframe::car-roundabout:00044,car-roundabout,44,uniform_gap2 uniform_gap4,2,719649,27.007496451236975,0.9023634791374207,0.9901531934738159,0.13008344173431396,ok,
keyframe::car-roundabout:00048,car-roundabout,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719656,26.73714923197659,0.9008674621582031,0.9895643591880798,0.1312144547700882,ok,
keyframe::car-roundabout:00052,car-roundabout,52,uniform_gap2 uniform_gap4,2,719650,26.492332424917535,0.8934459090232849,0.9890033602714539,0.13083221018314362,ok,
keyframe::car-roundabout:00056,car-roundabout,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719648,26.155043758002773,0.8911557793617249,0.9893266558647156,0.13322798907756805,ok,
keyframe::car-roundabout:00059,car-roundabout,59,stage165_adaptive,1,719649,26.08171852522942,0.8870430588722229,0.9886817932128906,0.13702422380447388,ok,
keyframe::car-roundabout:00060,car-roundabout,60,uniform_gap2 uniform_gap4 uniform_gap6,3,719645,25.92308873383331,0.8823395371437073,0.9880700707435608,0.14329777657985687,ok,
keyframe::car-roundabout:00064,car-roundabout,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719642,25.797669021059928,0.8793697953224182,0.9878547787666321,0.13969770073890686,ok,
keyframe::car-roundabout:00068,car-roundabout,68,uniform_gap2 uniform_gap4,2,719645,26.167215069158665,0.8894405364990234,0.988746702671051,0.1310383677482605,ok,
keyframe::car-roundabout:00072,car-roundabout,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719653,26.293917167159243,0.891984760761261,0.98896723985672,0.1269635260105133,ok,
keyframe::car-roundabout:00074,car-roundabout,74,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719649,26.157505430648897,0.8899399638175964,0.9889642000198364,0.12648077309131622,ok,
keyframe::car-shadow:00000,car-shadow,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,719650,29.51524139688228,0.8960662484169006,0.9904546737670898,0.14964598417282104,ok,
keyframe::car-shadow:00004,car-shadow,4,uniform_gap2 uniform_gap4,2,719650,30.059304571012355,0.9267684817314148,0.992710292339325,0.119553342461586,ok,
keyframe::car-shadow:00008,car-shadow,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,719647,29.79052694360826,0.923923671245575,0.9921301603317261,0.12090342491865158,ok,
keyframe::car-shadow:00010,car-shadow,10,stage165_adaptive uniform_gap2,2,719651,29.78372715249877,0.9249927401542664,0.9923527836799622,0.11709575355052948,ok,
keyframe::car-shadow:00012,car-shadow,12,uniform_gap2 uniform_gap4 uniform_gap6,3,719653,29.811308465151434,0.9181715846061707,0.9918646216392517,0.12065128982067108,ok,
keyframe::car-shadow:00016,car-shadow,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,719645,30.012586866975866,0.9247166514396667,0.9922716617584229,0.11772693693637848,ok,
keyframe::car-shadow:00019,car-shadow,19,stage165_adaptive,1,719649,30.00080071467604,0.9261853098869324,0.9922077655792236,0.11637955904006958,ok,
keyframe::car-shadow:00020,car-shadow,20,uniform_gap2 uniform_gap4,2,719652,29.994863052625675,0.9282968640327454,0.9924265742301941,0.11681351065635681,ok,
keyframe::car-shadow:00024,car-shadow,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,719649,29.784346275119916,0.9181995987892151,0.9915528297424316,0.12163317203521729,ok,
keyframe::car-shadow:00028,car-shadow,28,uniform_gap2 uniform_gap4,2,719649,30.02833045435611,0.923467218875885,0.9919204711914062,0.11739730834960938,ok,
