schedule,schedule_family,gap,frame_count,keyframe_count,residual_count,mean_psnr,p10_psnr,mean_keyframe_psnr,mean_residual_psnr,mean_ssim,p10_ssim,mean_ms_ssim,mean_lpips,p90_lpips,mean_payload_bytes_per_frame_schedule_row
uniform_gap2,fixed_gap,2,1999,1025,974,29.654815328772308,25.535630950942362,29.857335420172756,29.441691002606536,0.878375951948018,0.806969153881073,0.9866168332910943,0.15168131759139583,0.206261545419693,102452.41420710355
uniform_gap4,fixed_gap,4,1999,536,1463,29.535715839048734,25.49128423869604,29.869428132610054,29.413453508666734,0.8739438994697716,0.8021576523780822,0.9855294218654929,0.15947172297849663,0.21015654504299164,153911.13306653328
uniform_gap6,fixed_gap,6,1999,372,1627,29.448737801531657,25.458666995183847,29.869671456149806,29.352494827027684,0.8706193330169857,0.8001128077507019,0.9848943316024086,0.16457491443157493,0.21391279101371766,173802.96498249125
uniform_gap8,fixed_gap,8,1999,292,1707,29.373964871839835,25.42715060404842,29.841138057051815,29.29405006804259,0.867625699572828,0.7966694355010986,0.9843430183660156,0.16869177970254404,0.218844535946846,184164.62431215608
uniform_gap16,fixed_gap,16,1999,169,1830,29.199328663742687,25.335185354441396,29.867172439979186,29.137653473478224,0.8603573565843285,0.7898923277854919,0.9830296424521751,0.1773263292425331,0.23169372081756592,202864.1415707854
stage165_adaptive,adaptive,,1999,358,1641,29.4255826920606,25.445569649566185,29.891894493477217,29.32385226859494,0.8692941793565335,0.7973948836326599,0.9846469353830415,0.16593745923142186,0.21601052284240724,176008.4027013507
