schedule,schedule_family,gap,sequence_count,total_frames,keyframe_count,residual_count,keyframe_bitstream_bytes,keyframe_mib_per_frame,residual_payload_bytes,residual_mib_per_frame,metadata_bytes,metadata_mib_per_frame,total_payload_bytes,total_mib_per_frame,rate_scope
uniform_gap2,fixed_gap,2,30,1999,1025,974,737494382.0,0.3518406456264631,204802376.0,0.09770623608312945,1,4.770756960511505e-10,942296759.0,0.4495468821866683,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
uniform_gap4,fixed_gap,4,30,1999,536,1463,385657561.0,0.18398784935146406,307668355.0,0.1467810946145375,1,4.770756960511505e-10,693325917.0,0.33076894444307725,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
uniform_gap6,fixed_gap,6,30,1999,372,1627,267659072.0,0.12769363807880502,347432127.0,0.16575142381905675,1,4.770756960511505e-10,615091200.0,0.29344506237493745,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
uniform_gap8,fixed_gap,8,30,1999,292,1707,210098951.0,0.10023310328794158,368145084.0,0.1756330721971093,1,4.770756960511505e-10,578244036.0,0.2758661759621266,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
uniform_gap16,fixed_gap,16,30,1999,169,1830,121600217.0,0.05801250816524595,405525419.0,0.1934663215358595,1,4.770756960511505e-10,527125637.0,0.2514788301781811,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
stage165_adaptive,adaptive,,30,1999,358,1641,257586133.0,0.12288808369409925,351840797.0,0.16785469312796658,327,1.5600375260872624e-07,609427257.0,0.2907429328258184,measured_schedule_packed_q12_keyframes_plus_measured_stage158_residual_payloads_plus_exact_metadata
