measurement_key,sequence,frame_index,used_by_schedules,schedule_count,bits,compression,payload_encoding,anchor_values,bitstream_bytes,bitstream_mib,status,error
keyframe::bike-packing:00064,bike-packing,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::bike-packing:00068,bike-packing,68,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::blackswan:00000,blackswan,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::blackswan:00004,blackswan,4,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::blackswan:00008,blackswan,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::blackswan:00012,blackswan,12,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::blackswan:00016,blackswan,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::blackswan:00020,blackswan,20,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::blackswan:00024,blackswan,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::blackswan:00028,blackswan,28,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::blackswan:00032,blackswan,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719658,0.6863193511962891,ok,
keyframe::blackswan:00036,blackswan,36,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::blackswan:00040,blackswan,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::blackswan:00044,blackswan,44,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::blackswan:00048,blackswan,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::blackswan:00049,blackswan,49,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::bmx-trees:00000,bmx-trees,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::bmx-trees:00004,bmx-trees,4,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bmx-trees:00008,bmx-trees,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719639,0.6863012313842773,ok,
keyframe::bmx-trees:00012,bmx-trees,12,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::bmx-trees:00016,bmx-trees,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bmx-trees:00020,bmx-trees,20,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bmx-trees:00024,bmx-trees,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bmx-trees:00028,bmx-trees,28,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::bmx-trees:00031,bmx-trees,31,stage165_adaptive,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bmx-trees:00032,bmx-trees,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::bmx-trees:00035,bmx-trees,35,stage165_adaptive,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bmx-trees:00036,bmx-trees,36,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bmx-trees:00040,bmx-trees,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bmx-trees:00044,bmx-trees,44,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00048,bmx-trees,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bmx-trees:00052,bmx-trees,52,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::bmx-trees:00056,bmx-trees,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bmx-trees:00060,bmx-trees,60,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719640,0.6863021850585938,ok,
keyframe::bmx-trees:00064,bmx-trees,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::bmx-trees:00068,bmx-trees,68,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::bmx-trees:00072,bmx-trees,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00076,bmx-trees,76,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00079,bmx-trees,79,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::breakdance:00000,breakdance,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::breakdance:00004,breakdance,4,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00008,breakdance,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::breakdance:00012,breakdance,12,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::breakdance:00016,breakdance,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::breakdance:00020,breakdance,20,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::breakdance:00024,breakdance,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00028,breakdance,28,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00032,breakdance,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::breakdance:00036,breakdance,36,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00040,breakdance,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00044,breakdance,44,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00048,breakdance,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::breakdance:00052,breakdance,52,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::breakdance:00056,breakdance,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::breakdance:00060,breakdance,60,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::breakdance:00064,breakdance,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00068,breakdance,68,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00072,breakdance,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::breakdance:00076,breakdance,76,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00080,breakdance,80,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719654,0.6863155364990234,ok,
keyframe::breakdance:00083,breakdance,83,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::camel:00000,camel,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::camel:00004,camel,4,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00008,camel,8,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719640,0.6863021850585938,ok,
keyframe::camel:00012,camel,12,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00016,camel,16,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::camel:00020,camel,20,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::camel:00023,camel,23,stage165_adaptive,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::camel:00024,camel,24,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00028,camel,28,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00032,camel,32,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::camel:00036,camel,36,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00040,camel,40,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00044,camel,44,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::camel:00047,camel,47,stage165_adaptive,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::camel:00048,camel,48,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::camel:00051,camel,51,stage165_adaptive,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00052,camel,52,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00056,camel,56,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00060,camel,60,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::camel:00064,camel,64,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::camel:00068,camel,68,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::camel:00072,camel,72,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,5,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00075,camel,75,stage165_adaptive,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::camel:00076,camel,76,uniform_gap2 uniform_gap4,2,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::camel:00080,camel,80,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap8,5,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::camel:00084,camel,84,uniform_gap2 uniform_gap4 uniform_gap6,3,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::camel:00088,camel,88,stage165_adaptive uniform_gap2 uniform_gap4 uniform_gap8,4,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::camel:00089,camel,89,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::car-roundabout:00000,car-roundabout,0,stage165_adaptive uniform_gap16 uniform_gap2 uniform_gap4 uniform_gap6 uniform_gap8,6,12,none,bitpack,479232,719649,0.6863107681274414,ok,
