task_id,sequence,codec,reference_gap,target_index,method,side_bits,keep_fraction,keep_gaussians,side_info_mib_per_intermediate_frame,baseline_anchor_mse,residual_anchor_mse_after_sideinfo,captured_energy_fraction,residual_mse_reduction_fraction
stage79_00028090,loading,q10,8,3,linear,6,0.0,0,0.0,0.014802337711692875,0.014802337711692875,0.0,0.0
stage79_00028090,loading,q10,8,3,linear,6,0.01,369,0.0041348934173583984,0.014802337711692875,0.01342353199282263,0.09314783554634606,0.09314783554634609
stage79_00028090,loading,q10,8,3,linear,6,0.05,1843,0.020652055740356445,0.014802337711692875,0.01004759063068618,0.3212159574801996,0.3212159574801997
stage79_00028090,loading,q10,8,3,linear,6,0.1,3686,0.04130411148071289,0.014802337711692875,0.007478847972348205,0.4947522399492071,0.49475223994920714
stage79_00028090,loading,q10,8,3,linear,6,0.25,9216,0.103271484375,0.014802337711692875,0.003533620100754958,0.7612795918063922,0.7612795918063922
stage79_00028090,loading,q10,8,3,linear,6,1.0,36864,0.4130859375,0.014802337711692875,1.0188828166733441e-09,0.9999999311674388,0.9999999311674388
stage79_00028090,loading,q10,8,3,linear,8,0.0,0,0.0,0.014802337711692875,0.014802337711692875,0.0,0.0
stage79_00028090,loading,q10,8,3,linear,8,0.01,369,0.005278587341308594,0.014802337711692875,0.01342353199282263,0.09314783554634606,0.09314783554634609
stage79_00028090,loading,q10,8,3,linear,8,0.05,1843,0.02636432647705078,0.014802337711692875,0.01004759063068618,0.3212159574801996,0.3212159574801997
stage79_00028090,loading,q10,8,3,linear,8,0.1,3686,0.05272865295410156,0.014802337711692875,0.007478847972348205,0.4947522399492071,0.49475223994920714
stage79_00028090,loading,q10,8,3,linear,8,0.25,9216,0.1318359375,0.014802337711692875,0.003533620100754958,0.7612795918063922,0.7612795918063922
stage79_00028090,loading,q10,8,3,linear,8,1.0,36864,0.52734375,0.014802337711692875,1.0188828166733441e-09,0.9999999311674388,0.9999999311674388
stage79_00028090,loading,q10,8,3,stage65_adapter,6,0.0,0,0.0,0.03542472969772469,0.03542472969772469,0.0,0.0
