stage97_task_id,source_task_id,sequence,reference_gap,target_index,base_method,candidate,endpoint_energy_recall,candidate_energy_recall,energy_recall_delta,endpoint_precision,candidate_precision,precision_delta,endpoint_sideinfo_psnr,candidate_sideinfo_psnr,sideinfo_psnr_delta,endpoint_delta_psnr_vs_base,candidate_delta_psnr_vs_base,delta_psnr_vs_base_delta,endpoint_gap_to_teacher,candidate_gap_to_teacher,gap_to_teacher_delta,teacher_oracle_sideinfo_psnr,energy_up,psnr_up,energy_up_psnr_down
stage97_00010586,stage79_00021313,bike-packing,4,43,linear,shared_energy_regression,0.333679735660553,0.39710819721221924,0.06342846155166626,0.393380343914032,0.4622897505760193,0.0689094066619873,23.094256129128624,22.95287718055066,-0.1413789485779624,1.2026849375599653,1.061305988982003,-0.1413789485779624,-0.36389381613149396,-0.5052727647094564,-0.1413789485779624,23.458149945260118,1,0,1
stage97_00010586,stage79_00021313,bike-packing,4,43,linear,shared_topk_bce,0.333679735660553,0.4035656452178955,0.06988590955734253,0.393380343914032,0.44574064016342163,0.05236029624938965,23.094256129128624,22.829708294282426,-0.2645478348461978,1.2026849375599653,0.9381371027137675,-0.2645478348461978,-0.36389381613149396,-0.6284416509776918,-0.2645478348461978,23.458149945260118,1,0,1
stage97_00010586,stage79_00021313,bike-packing,4,43,stage65_adapter,shared_energy_regression,0.1459949016571045,0.16361670196056366,0.017621800303459167,0.38252848386764526,0.4617471396923065,0.07921865582466125,21.99975538595348,21.596389913127084,-0.40336547282639756,1.3019246016465509,0.8985591288201533,-0.40336547282639756,-0.026980435653630508,-0.43034590848002807,-0.40336547282639756,22.02673582160711,1,0,1
stage97_00010586,stage79_00021313,bike-packing,4,43,stage65_adapter,shared_topk_bce,0.1459949016571045,0.16571736335754395,0.019722461700439453,0.38252848386764526,0.47666847705841064,0.09413999319076538,21.99975538595348,21.457126004334192,-0.5426293816192889,1.3019246016465509,0.759295220027262,-0.5426293816192889,-0.026980435653630508,-0.5696098172729194,-0.5426293816192889,22.02673582160711,1,0,1
stage97_00010597,stage79_00021324,bike-packing,4,58,linear,shared_energy_regression,0.34333500266075134,0.34661802649497986,0.0032830238342285156,0.49403145909309387,0.4758545756340027,-0.018176883459091187,21.35756196196678,21.203093989468954,-0.15446797249782662,1.6461231316424865,1.4916551591446598,-0.15446797249782662,-2.270568801590553,-2.4250367740883796,-0.15446797249782662,23.628130763557333,1,0,1
stage97_00010597,stage79_00021324,bike-packing,4,58,linear,shared_topk_bce,0.34333500266075134,0.3389297425746918,-0.00440526008605957,0.49403145909309387,0.4400434195995331,-0.05398803949356079,21.35756196196678,20.958840075937857,-0.3987218860289232,1.6461231316424865,1.2474012456135632,-0.3987218860289232,-2.270568801590553,-2.669290687619476,-0.3987218860289232,23.628130763557333,0,0,0
stage97_00010597,stage79_00021324,bike-packing,4,58,stage65_adapter,shared_energy_regression,0.16363321244716644,0.1754552125930786,0.01182200014591217,0.48372218012809753,0.5029842853546143,0.019262105226516724,20.817987895903237,20.626536530178438,-0.1914513657247987,1.1533384575087844,0.9618870917839857,-0.1914513657247987,-1.6124064399748406,-1.8038578056996393,-0.1914513657247987,22.430394335878077,1,0,1
stage97_00010597,stage79_00021324,bike-packing,4,58,stage65_adapter,shared_topk_bce,0.16363321244716644,0.1725151538848877,0.008881941437721252,0.48372218012809753,0.5002713203430176,0.016549140214920044,20.817987895903237,20.512958235058182,-0.30502966084505445,1.1533384575087844,0.8483087966637299,-0.30502966084505445,-1.6124064399748406,-1.917436100819895,-0.30502966084505445,22.430394335878077,1,0,1
stage97_00010614,stage79_00021341,bike-packing,8,11,linear,shared_energy_regression,0.3262059688568115,0.33433014154434204,0.008124172687530518,0.3977211117744446,0.393380343914032,-0.004340767860412598,20.46157622750467,20.327893769863067,-0.13368245764160136,2.081529497156364,1.9478470395147625,-0.13368245764160136,-2.644003303106466,-2.777685760748067,-0.13368245764160136,23.105579530611134,1,0,1
stage97_00010614,stage79_00021341,bike-packing,8,11,linear,shared_topk_bce,0.3262059688568115,0.32785478234291077,0.0016488134860992432,0.3977211117744446,0.36733585596084595,-0.030385255813598633,20.46157622750467,20.02194852356716,-0.43962770393750716,2.081529497156364,1.6419017932188567,-0.43962770393750716,-2.644003303106466,-3.083631007043973,-0.43962770393750716,23.105579530611134,1,0,1
stage97_00010614,stage79_00021341,bike-packing,8,11,stage65_adapter,shared_energy_regression,0.17610876262187958,0.19445602595806122,0.01834726333618164,0.4308193027973175,0.4625610411167145,0.03174173831939697,20.027201873676095,19.753175139453706,-0.27402673422238877,1.6843690417872423,1.4103423075648536,-0.27402673422238877,-2.023971870836615,-2.2979986050590036,-0.27402673422238877,22.05117374451271,1,0,1
stage97_00010614,stage79_00021341,bike-packing,8,11,stage65_adapter,shared_topk_bce,0.17610876262187958,0.1888907104730606,0.01278194785118103,0.4308193027973175,0.4441128671169281,0.013293564319610596,20.027201873676095,19.607772964281413,-0.41942890939468214,1.6843690417872423,1.2649401323925602,-0.41942890939468214,-2.023971870836615,-2.443400780231297,-0.41942890939468214,22.05117374451271,1,0,1
stage97_00010624,stage79_00021351,bike-packing,8,22,linear,shared_energy_regression,0.36296799778938293,0.39480775594711304,0.0318397581577301,0.39365166425704956,0.4286489486694336,0.03499728441238403,20.516416680698846,20.60322004884229,0.08680336814344258,1.5950428913698786,1.6818462595133212,0.08680336814344258,-2.6489930846135543,-2.5621897164701117,0.08680336814344258,23.1654097653124,1,1,0
stage97_00010624,stage79_00021351,bike-packing,8,22,linear,shared_topk_bce,0.36296799778938293,0.37192586064338684,0.008957862854003906,0.39365166425704956,0.3817145824432373,-0.011937081813812256,20.516416680698846,20.38453105335671,-0.13188562734213605,1.5950428913698786,1.4631572640277426,-0.13188562734213605,-2.6489930846135543,-2.7808787119556904,-0.13188562734213605,23.1654097653124,1,0,1
stage97_00010624,stage79_00021351,bike-packing,8,22,stage65_adapter,shared_energy_regression,0.1691027283668518,0.18218381702899933,0.013081088662147522,0.3903960883617401,0.44329896569252014,0.05290287733078003,19.936226913540022,19.794191834634795,-0.14203507890522715,1.1020634413909427,0.9600283624857155,-0.14203507890522715,-1.6502650803491186,-1.7923001592543457,-0.14203507890522715,21.58649199388914,1,0,1
stage97_00010624,stage79_00021351,bike-packing,8,22,stage65_adapter,shared_topk_bce,0.1691027283668518,0.17945228517055511,0.010349556803703308,0.3903960883617401,0.4413999021053314,0.05100381374359131,19.936226913540022,19.71032287374254,-0.22590403979748075,1.1020634413909427,0.876159401593462,-0.22590403979748075,-1.6502650803491186,-1.8761691201465993,-0.22590403979748075,21.58649199388914,1,0,1
stage97_00010682,stage79_00021409,bike-packing,16,20,linear,shared_energy_regression,0.34857305884361267,0.33788976073265076,-0.010683298110961914,0.43868693709373474,0.40477481484413147,-0.03391212224960327,19.64331254811309,19.4260452184314,-0.2172673296816896,2.1721802821390668,1.9549129524573772,-0.2172673296816896,-3.4862821790360634,-3.703549508717753,-0.2172673296816896,23.129594727149154,0,0,0
stage97_00010682,stage79_00021409,bike-packing,16,20,linear,shared_topk_bce,0.34857305884361267,0.29097968339920044,-0.05759337544441223,0.43868693709373474,0.32908302545547485,-0.10960391163825989,19.64331254811309,18.86888492691969,-0.7744276211934,2.1721802821390668,1.3977526609456667,-0.7744276211934,-3.4862821790360634,-4.260709800229463,-0.7744276211934,23.129594727149154,0,0,0
stage97_00010682,stage79_00021409,bike-packing,16,20,stage65_adapter,shared_energy_regression,0.1890277862548828,0.18837741017341614,-0.0006503760814666748,0.4413999021053314,0.40477481484413147,-0.03662508726119995,19.16703297543538,18.704086192203352,-0.4629467832320273,1.8547852812772483,1.391838498045221,-0.4629467832320273,-2.792328633004015,-3.255275416236042,-0.4629467832320273,21.959361608439394,0,0,0
stage97_00010682,stage79_00021409,bike-packing,16,20,stage65_adapter,shared_topk_bce,0.1890277862548828,0.17606200277805328,-0.012965783476829529,0.4413999021053314,0.36001086235046387,-0.08138903975486755,19.16703297543538,18.346709424506777,-0.8203235509286024,1.8547852812772483,1.0344617303486459,-0.8203235509286024,-2.792328633004015,-3.6126521839326173,-0.8203235509286024,21.959361608439394,0,0,0
stage97_00010714,stage79_00021441,bike-packing,16,54,linear,shared_energy_regression,0.2215440422296524,0.2354012429714203,0.013857200741767883,0.27129679918289185,0.28703200817108154,0.015735208988189697,17.673927124370906,17.404180542110343,-0.2697465822605629,1.4669923190323715,1.1972457367718086,-0.2697465822605629,-1.6462316545577949,-1.9159782368183578,-0.2697465822605629,19.3201587789287,1,0,1
stage97_00010714,stage79_00021441,bike-packing,16,54,linear,shared_topk_bce,0.2215440422296524,0.242939293384552,0.021395251154899597,0.27129679918289185,0.2948996126651764,0.023602813482284546,17.673927124370906,17.315572115803246,-0.3583550085676599,1.4669923190323715,1.1086373104647116,-0.3583550085676599,-1.6462316545577949,-2.0045866631254547,-0.3583550085676599,19.3201587789287,1,0,1
stage97_00010714,stage79_00021441,bike-packing,16,54,stage65_adapter,shared_energy_regression,0.15865151584148407,0.19186007976531982,0.033208563923835754,0.3098209500312805,0.4286489486694336,0.11882799863815308,17.969793159092426,17.65030204783831,-0.31949111125411633,1.3852676298312012,1.0657765185770849,-0.31949111125411633,-1.4521702715723706,-1.7716613828264869,-0.31949111125411633,19.421963430664796,1,0,1
stage97_00010714,stage79_00021441,bike-packing,16,54,stage65_adapter,shared_topk_bce,0.15865151584148407,0.18880949914455414,0.03015798330307007,0.3098209500312805,0.41182854771614075,0.10200759768486023,17.969793159092426,17.458931811767947,-0.5108613473244787,1.3852676298312012,0.8744062825067225,-0.5108613473244787,-1.4521702715723706,-1.9630316188968493,-0.5108613473244787,19.421963430664796,1,0,1
stage97_00010728,stage79_00021578,blackswan,4,2,linear,shared_energy_regression,0.23104260861873627,0.2799459397792816,0.04890333116054535,0.31144872307777405,0.3681497573852539,0.05670103430747986,21.58283809115393,21.564106014372975,-0.018732076780956675,1.2048905378726111,1.1861584610916545,-0.018732076780956675,-1.1620499212732547,-1.1807819980542114,-0.018732076780956675,22.744888012427186,1,0,1
stage97_00010728,stage79_00021578,blackswan,4,2,linear,shared_topk_bce,0.23104260861873627,0.281340628862381,0.050298020243644714,0.31144872307777405,0.3643516004085541,0.05290287733078003,21.58283809115393,21.49934501098417,-0.08349308016975954,1.2048905378726111,1.1213974577028516,-0.08349308016975954,-1.1620499212732547,-1.2455430014430142,-0.08349308016975954,22.744888012427186,1,0,1
stage97_00010728,stage79_00021578,blackswan,4,2,stage65_adapter,shared_energy_regression,0.14997440576553345,0.17846642434597015,0.028492018580436707,0.36950623989105225,0.4864351451396942,0.11692890524864197,22.284493183810888,22.05353510124903,-0.2309580825618589,0.9110632828888683,0.6801052003270094,-0.2309580825618589,-0.9865499659466934,-1.2175080485085523,-0.2309580825618589,23.27104314975758,1,0,1
stage97_00010728,stage79_00021578,blackswan,4,2,stage65_adapter,shared_topk_bce,0.14997440576553345,0.18246352672576904,0.032489120960235596,0.36950623989105225,0.5168203711509705,0.1473141312599182,22.284493183810888,22.088159759690804,-0.19633342412008403,0.9110632828888683,0.7147298587687843,-0.19633342412008403,-0.9865499659466934,-1.1828833900667775,-0.19633342412008403,23.27104314975758,1,0,1
stage97_00010738,stage79_00021588,blackswan,4,15,linear,shared_energy_regression,0.219791442155838,0.26991942524909973,0.05012798309326172,0.27536624670028687,0.3309820890426636,0.05561584234237671,20.74585994366678,20.786753827293232,0.04089388362645252,1.0335308670916525,1.074424750718105,0.04089388362645252,-1.5674768946448339,-1.5265830110183813,0.04089388362645252,22.313336838311614,1,1,0
stage97_00010738,stage79_00021588,blackswan,4,15,linear,shared_topk_bce,0.219791442155838,0.2737289071083069,0.05393746495246887,0.27536624670028687,0.3282691240310669,0.05290287733078003,20.74585994366678,20.723228003985348,-0.022631939681431845,1.0335308670916525,1.0108989274102207,-0.022631939681431845,-1.5674768946448339,-1.5901088343262657,-0.022631939681431845,22.313336838311614,1,0,1
stage97_00010738,stage79_00021588,blackswan,4,15,stage65_adapter,shared_energy_regression,0.1454964280128479,0.1825072020292282,0.03701077401638031,0.2989690601825714,0.45849159359931946,0.15952253341674805,21.378069258104553,21.243880211206708,-0.13418904689784483,0.9120928787092275,0.7779038318113827,-0.13418904689784483,-1.427823409882123,-1.5620124567799678,-0.13418904689784483,22.805892667986676,1,0,1
