candidate,score_column,top_fraction,threshold,selected_count,hard_quality_count,high_payload_count,true_hard_selected,true_payload_selected,precision_hard,recall_hard,f1_hard,precision_payload,recall_payload,mean_selected_psnr,mean_unselected_psnr,mean_selected_lpips,mean_unselected_lpips,mean_selected_payload,mean_unselected_payload
edge_left_right,edge_mad_left_right,0.4,0.25868186354637146,48,30,72,16,40,0.3333333333333333,0.5333333333333333,0.4102564102564102,0.8333333333333334,0.5555555555555556,28.144267909805347,30.703127857884528,0.17033563321456313,0.1735718639360534,233635.29166666666,198710.40277777778
interp_target_mad,rgb_mad_linear_interp_target,0.5,0.07081015408039093,60,30,72,18,54,0.3,0.6,0.4,0.9,0.75,29.68401103340847,29.67515672389724,0.17459280006587505,0.1699619432290395,238973.05,186387.66666666666
proxy_score,rgb_motion_proxy_score,0.5,0.25079057009079625,60,30,72,18,53,0.3,0.6,0.4,0.8833333333333333,0.7361111111111112,29.411845818040927,29.947321939264782,0.1749300081282854,0.16962473516662915,237368.76666666666,187991.95
edge_left_right,edge_mad_left_right,0.5,0.23026493191719055,60,30,72,18,49,0.3,0.6,0.4,0.8166666666666667,0.6805555555555556,28.394501818665727,30.964665938639985,0.1737703585376342,0.17078438475728036,233064.25,192296.46666666667
proxy_score,rgb_motion_proxy_score,0.4,0.2888373172714991,48,30,72,15,43,0.3125,0.5,0.38461538461538464,0.8958333333333334,0.5972222222222222,29.37931761243179,29.879761389466896,0.1724120594250659,0.1721875797957182,238643.20833333334,195371.79166666666
edge_left_right,edge_mad_left_right,0.3,0.28927335143089294,36,30,72,12,30,0.3333333333333333,0.4,0.3636363636363636,0.8333333333333334,0.4166666666666667,27.649870927908047,30.549460857543483,0.16690930413703123,0.17457797200906844,235522.19444444444,202891.0
left_right_mad,rgb_mad_left_right,0.5,0.10891617089509964,60,30,72,16,54,0.26666666666666666,0.5333333333333333,0.3555555555555555,0.9,0.75,29.655357138483154,29.703810618822555,0.1725968888650338,0.1719578544298808,238654.3,186706.41666666666
combined_percentile,combined_percentile_score,0.5,0.4991596638655462,60,30,72,16,54,0.26666666666666666,0.5333333333333333,0.3555555555555555,0.9,0.75,29.641634444265485,29.717533313040228,0.17225368035336336,0.1723010629415512,238240.41666666666,187120.3
interp_target_mad,rgb_mad_linear_interp_target,0.4,0.08400064706802368,48,30,72,13,46,0.2708333333333333,0.43333333333333335,0.33333333333333337,0.9583333333333334,0.6388888888888888,29.744498992511122,29.636307136080674,0.17427630675956607,0.17094474823938477,241425.72916666666,193516.77777777778
left_right_mad,rgb_mad_left_right,0.4,0.12521769106388092,48,30,72,13,44,0.2708333333333333,0.43333333333333335,0.33333333333333337,0.9166666666666666,0.6111111111111112,29.762495812900767,29.624309255820904,0.16919689734155932,0.17433102118472257,239563.45833333334,194758.29166666666
combined_percentile,combined_percentile_score,0.4,0.5983193277310923,48,30,72,13,44,0.2708333333333333,0.43333333333333335,0.33333333333333337,0.9166666666666666,0.6111111111111112,29.572645129573473,29.750876378039102,0.17224707702795664,0.1722975680604577,239395.39583333334,194870.33333333334
combined_percentile,combined_percentile_score,0.3,0.6655462184873949,36,30,72,11,35,0.3055555555555556,0.36666666666666664,0.3333333333333333,0.9722222222222222,0.4861111111111111,30.00497723707021,29.540129582188268,0.17194174064530265,0.17242121350552356,241647.11111111112,200266.0357142857
proxy_score,rgb_motion_proxy_score,0.3,0.34059354488716104,36,30,72,10,35,0.2777777777777778,0.3333333333333333,0.303030303030303,0.9722222222222222,0.4861111111111111,29.63159310885955,29.70015135142141,0.17257164936098787,0.17215125262737274,242740.69444444444,199797.35714285713
interp_target_mad,rgb_mad_linear_interp_target,0.3,0.09450478106737137,36,30,72,10,35,0.2777777777777778,0.3333333333333333,0.303030303030303,0.9722222222222222,0.4861111111111111,30.09757333482888,29.500445540291697,0.17700514073173204,0.17025118489705382,244773.69444444444,198926.07142857142
left_right_mad,rgb_mad_left_right,0.3,0.1504921168088913,36,30,72,9,36,0.25,0.3,0.2727272727272727,1.0,0.5,30.27621115222043,29.42388647569532,0.169809361298879,0.17333509036827655,242793.63888888888,199774.66666666666
combined_percentile,combined_percentile_score,0.2,0.7613445378151261,24,30,72,7,24,0.2916666666666667,0.23333333333333334,0.2592592592592593,1.0,0.3333333333333333,30.128650786719618,29.567317151636157,0.1728638323644797,0.17213075646820167,245925.875,204368.97916666666
proxy_score,rgb_motion_proxy_score,0.2,0.3686767302451961,24,30,72,6,24,0.25,0.2,0.22222222222222224,1.0,0.3333333333333333,30.18297169617728,29.553736924271735,0.17380385225017866,0.17189575149677694,247038.875,204090.72916666666
interp_target_mad,rgb_mad_linear_interp_target,0.2,0.11639012396335602,24,30,72,6,24,0.25,0.2,0.22222222222222224,1.0,0.3333333333333333,30.209628913533944,29.547072619932575,0.17677903827279806,0.1711519549911221,248617.79166666666,203696.0
left_right_mad,rgb_mad_left_right,0.2,0.16266509890556335,24,30,72,6,24,0.25,0.2,0.22222222222222224,1.0,0.3333333333333333,30.336025452790796,29.515473485118363,0.17247321270406246,0.172228411383306,246858.45833333334,204135.83333333334
edge_left_right,edge_mad_left_right,0.2,0.3131718933582306,24,30,72,6,21,0.25,0.2,0.22222222222222224,0.875,0.2916666666666667,27.532507094653678,30.216353074652645,0.16061489842832088,0.1751929899522414,236885.20833333334,206629.14583333334
