variant,step,loss_type,loss,sample,frame_gap,target_frame_index,normalized_time
rgb_h256,25,rgb,0.012904414907097816,DAVIS/train/bmx-bumps,2,1,0.5
rgb_h256,26,rgb,0.019633812829852104,DAVIS/train/bmx-bumps,4,2,0.5
rgb_h256,27,rgb,0.01655985414981842,DAVIS/train/bear,8,4,0.5
rgb_h256,28,rgb,0.013968002051115036,DAVIS/train/boxing-fisheye,2,1,0.5
rgb_h256,29,rgb,0.04016187787055969,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
rgb_h256,30,rgb,0.03189755976200104,DAVIS/train/boxing-fisheye,8,4,0.5
rgb_h256,31,rgb,0.021464521065354347,DAVIS/train/bear,16,8,0.5
rgb_h256,32,rgb,0.016629109159111977,DAVIS/train/boxing-fisheye,16,83,0.5
rgb_h256,33,rgb,0.03045726753771305,DAVIS/train/bmx-bumps,8,4,0.5
rgb_h256,34,rgb,0.003160091582685709,DAVIS/train/boat,4,2,0.5
rgb_h256,35,rgb,0.04016447812318802,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
rgb_h256,36,rgb,0.022283611819148064,DAVIS/train/boxing-fisheye,4,2,0.5
rgb_h256,37,rgb,0.004318587947636843,DAVIS/train/boat,16,69,0.5
rgb_h256,38,rgb,0.0022821517195552588,DAVIS/train/boat,2,1,0.5
rgb_h256,39,rgb,0.01662735641002655,DAVIS/train/boxing-fisheye,16,83,0.5
rgb_h256,40,rgb,0.004272584803402424,DAVIS/train/boat,8,4,0.5
rgb_h256,41,rgb,0.013960791751742363,DAVIS/train/boxing-fisheye,2,1,0.5
rgb_h256,42,rgb,0.012898235581815243,DAVIS/train/bmx-bumps,2,1,0.5
rgb_h256,43,rgb,0.006747546140104532,DAVIS/train/bear,2,1,0.5
rgb_h256,44,rgb,0.011438808403909206,DAVIS/train/bear,4,2,0.5
rgb_h256,45,rgb,0.03190057724714279,DAVIS/train/boxing-fisheye,8,4,0.5
rgb_h256,46,rgb,0.016547419130802155,DAVIS/train/bear,8,4,0.5
rgb_h256,47,rgb,0.01962846890091896,DAVIS/train/bmx-bumps,4,2,0.5
rgb_h256,48,rgb,0.021460285410284996,DAVIS/train/bear,16,8,0.5
teacher_h128,1,teacher,0.0132367555052042,DAVIS/train/bear,16,8,0.5
teacher_h128,2,teacher,0.015622640959918499,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
teacher_h128,3,teacher,0.00846171285957098,DAVIS/train/boxing-fisheye,16,83,0.5
teacher_h128,4,teacher,0.004055774305015802,DAVIS/train/boat,8,4,0.5
teacher_h128,5,teacher,0.01016479916870594,DAVIS/train/bear,4,2,0.5
teacher_h128,6,teacher,0.0057813930325210094,DAVIS/train/bear,2,1,0.5
teacher_h128,7,teacher,0.011657189577817917,DAVIS/train/bear,8,4,0.5
teacher_h128,8,teacher,0.01314487773925066,DAVIS/train/bmx-bumps,8,4,0.5
teacher_h128,9,teacher,0.013268412090837955,DAVIS/train/boxing-fisheye,8,4,0.5
teacher_h128,10,teacher,0.010233578272163868,DAVIS/train/boxing-fisheye,4,2,0.5
teacher_h128,11,teacher,0.006981127429753542,DAVIS/train/bmx-bumps,2,1,0.5
teacher_h128,12,teacher,0.0021444708108901978,DAVIS/train/boat,2,1,0.5
teacher_h128,13,teacher,0.007813974283635616,DAVIS/train/boxing-fisheye,2,1,0.5
teacher_h128,14,teacher,0.004394346382468939,DAVIS/train/boat,16,69,0.5
teacher_h128,15,teacher,0.009230781346559525,DAVIS/train/bmx-bumps,4,2,0.5
teacher_h128,16,teacher,0.003386423224583268,DAVIS/train/boat,4,2,0.5
teacher_h128,17,teacher,0.010164833627641201,DAVIS/train/bear,4,2,0.5
teacher_h128,18,teacher,0.0021444931626319885,DAVIS/train/boat,2,1,0.5
teacher_h128,19,teacher,0.013142446056008339,DAVIS/train/bmx-bumps,8,4,0.5
teacher_h128,20,teacher,0.01023364719003439,DAVIS/train/boxing-fisheye,4,2,0.5
teacher_h128,21,teacher,0.005781266838312149,DAVIS/train/bear,2,1,0.5
teacher_h128,22,teacher,0.0040558441542088985,DAVIS/train/boat,8,4,0.5
teacher_h128,23,teacher,0.0033863906282931566,DAVIS/train/boat,4,2,0.5
teacher_h128,24,teacher,0.004394305869936943,DAVIS/train/boat,16,69,0.5
teacher_h128,25,teacher,0.006981008220463991,DAVIS/train/bmx-bumps,2,1,0.5
teacher_h128,26,teacher,0.009230363182723522,DAVIS/train/bmx-bumps,4,2,0.5
teacher_h128,27,teacher,0.01165701448917389,DAVIS/train/bear,8,4,0.5
teacher_h128,28,teacher,0.007814161479473114,DAVIS/train/boxing-fisheye,2,1,0.5
teacher_h128,29,teacher,0.015618367120623589,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
teacher_h128,30,teacher,0.013268600217998028,DAVIS/train/boxing-fisheye,8,4,0.5
teacher_h128,31,teacher,0.013236012309789658,DAVIS/train/bear,16,8,0.5
teacher_h128,32,teacher,0.008461403660476208,DAVIS/train/boxing-fisheye,16,83,0.5
teacher_h128,33,teacher,0.013139111921191216,DAVIS/train/bmx-bumps,8,4,0.5
teacher_h128,34,teacher,0.003386349882930517,DAVIS/train/boat,4,2,0.5
teacher_h128,35,teacher,0.015617062337696552,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
teacher_h128,36,teacher,0.010233770124614239,DAVIS/train/boxing-fisheye,4,2,0.5
teacher_h128,37,teacher,0.00439421646296978,DAVIS/train/boat,16,69,0.5
teacher_h128,38,teacher,0.0021446626633405685,DAVIS/train/boat,2,1,0.5
teacher_h128,39,teacher,0.008461271412670612,DAVIS/train/boxing-fisheye,16,83,0.5
teacher_h128,40,teacher,0.004055957775563002,DAVIS/train/boat,8,4,0.5
teacher_h128,41,teacher,0.00781441293656826,DAVIS/train/boxing-fisheye,2,1,0.5
teacher_h128,42,teacher,0.0069807437248528,DAVIS/train/bmx-bumps,2,1,0.5
teacher_h128,43,teacher,0.005781025160104036,DAVIS/train/bear,2,1,0.5
teacher_h128,44,teacher,0.010164848528802395,DAVIS/train/bear,4,2,0.5
teacher_h128,45,teacher,0.013268696144223213,DAVIS/train/boxing-fisheye,8,4,0.5
teacher_h128,46,teacher,0.01165658887475729,DAVIS/train/bear,8,4,0.5
teacher_h128,47,teacher,0.009229152463376522,DAVIS/train/bmx-bumps,4,2,0.5
teacher_h128,48,teacher,0.013235289603471756,DAVIS/train/bear,16,8,0.5
teacher_h256,1,teacher,0.0132367555052042,DAVIS/train/bear,16,8,0.5
teacher_h256,2,teacher,0.01562255434691906,DAVIS/train/bmx-bumps,16,85,0.5555555555555556
teacher_h256,3,teacher,0.00846168678253889,DAVIS/train/boxing-fisheye,16,83,0.5
teacher_h256,4,teacher,0.004055768717080355,DAVIS/train/boat,8,4,0.5
teacher_h256,5,teacher,0.01016480103135109,DAVIS/train/bear,4,2,0.5
teacher_h256,6,teacher,0.0057813506573438644,DAVIS/train/bear,2,1,0.5
teacher_h256,7,teacher,0.011657124385237694,DAVIS/train/bear,8,4,0.5
