variant,loss,hidden_dim,lr,parameter_count,best_step,initial_margin_over_linear_psnr,final_margin_over_linear_psnr,best_margin_over_linear_psnr,initial_teacher_mse,final_teacher_mse,best_teacher_mse,linear_teacher_mse,best_checkpoint,final_checkpoint
rgb_h128,rgb,128,8e-06,102925,48,0.0,0.012173706030985443,0.012173706030985443,0.0052008148340974,0.005200807470828295,0.005200807470828295,0.0052008148340974,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage64_adapter_teacher_study/rgb_h128/best_adapter.safetensors,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage64_adapter_teacher_study/rgb_h128/final_adapter.safetensors
rgb_h256,rgb,256,8e-06,402445,48,0.0,0.017721457863302703,0.017721457863302703,0.0052008148340974,0.005200803148909472,0.005200803148909472,0.0052008148340974,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage64_adapter_teacher_study/rgb_h256/best_adapter.safetensors,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage64_adapter_teacher_study/rgb_h256/final_adapter.safetensors
teacher_h128,teacher,128,0.0002,102925,48,0.0,0.002455631876273401,0.002455631876273401,0.0052008148340974,0.005200357045396231,0.005200357045396231,0.0052008148340974,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage64_adapter_teacher_study/teacher_h128/best_adapter.safetensors,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage64_adapter_teacher_study/teacher_h128/final_adapter.safetensors
teacher_h256,teacher,256,0.0002,402445,48,0.0,0.005105871063040723,0.005105871063040723,0.0052008148340974,0.005198333790758625,0.005198333790758625,0.0052008148340974,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage64_adapter_teacher_study/teacher_h256/best_adapter.safetensors,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage64_adapter_teacher_study/teacher_h256/final_adapter.safetensors
