sample,reference_gap,method,delta_all_psnr,delta_middle_psnr,candidate_all_psnr,uniform_all_psnr,oracle_all_psnr,oracle_delta_all_psnr,keyframe_count,exact_uniform,exact_oracle,jaccard_to_uniform,jaccard_to_oracle,position_mae_to_uniform,position_mae_to_oracle,max_segment_ratio,mean_abs_len_error_ratio,segment_std_ratio,selector_cost,candidate_indices,uniform_indices,oracle_indices
driving,8,full_sample_z_rank_prior_0p3,-0.13310212531781218,-0.14955863458452612,25.643239103877214,25.776341229195026,25.80974233483715,0.03340110564212395,11,false,false,0.1,0.15789473684210525,3.6363636363636362,3.090909090909091,1.625,0.15,0.23717082451262844,3.094054048609754,0 13 21 29 38 46 54 60 66 73 80,0 8 16 24 32 40 48 56 64 72 80,0 7 16 25 33 41 49 57 65 73 80
driving,16,length_raw_log_prior_0p1,0.0,0.0,23.804673762790383,23.804673762790383,23.825157306291235,0.02048354350085191,6,true,false,1.0,0.2,0.0,1.0,1.0,0.0,0.0,0.06696441728762612,0 16 32 48 64 80,0 16 32 48 64 80,0 14 31 47 62 80
driving,16,full_raw_log_prior_0p1,-0.3718167109823227,-0.3974979410612285,23.43285705180806,23.804673762790383,23.825157306291235,0.02048354350085191,6,false,false,0.2,0.2,5.0,5.0,2.0,0.4,0.54198708471697,36862.06439268059,0 6 20 52 68 80,0 16 32 48 64 80,0 14 31 47 62 80
driving,16,length_sample_z_rank_prior_0p1,0.0,0.0,23.804673762790383,23.804673762790383,23.825157306291235,0.02048354350085191,6,true,false,1.0,0.2,0.0,1.0,1.0,0.0,0.0,2.287763869175362,0 16 32 48 64 80,0 16 32 48 64 80,0 14 31 47 62 80
driving,16,full_sample_z_rank,-1.1321277342914264,-1.2160505631505565,22.672546028498957,23.804673762790383,23.825157306291235,0.02048354350085191,6,false,false,0.2,0.2,13.0,14.0,1.6875,0.75,0.7685213074469699,2.5754262586759245,0 27 54 78 79 80,0 16 32 48 64 80,0 14 31 47 62 80
driving,16,full_sample_z_rank_prior_0p1,-0.2219506133165936,-0.23223242900630225,23.58272314947379,23.804673762790383,23.825157306291235,0.02048354350085191,6,false,false,0.2,0.2,4.0,5.0,1.625,0.25,0.32596012026013244,2.734731345772587,0 26 38 54 66 80,0 16 32 48 64 80,0 14 31 47 62 80
driving,16,full_sample_z_rank_prior_0p3,-0.08754476364805086,-0.09008781983048308,23.717128999142332,23.804673762790383,23.825157306291235,0.02048354350085191,6,false,false,0.2,0.2,2.8333333333333335,3.8333333333333335,1.1875,0.15,0.17230060940112776,2.766470655331538,0 19 38 54 66 80,0 16 32 48 64 80,0 14 31 47 62 80
meetroom,4,length_raw_log_prior_0p1,0.0,0.0,29.643505213208805,29.643505213208805,29.643505213208805,0.0,21,true,true,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.014116717860741248,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
meetroom,4,full_raw_log_prior_0p1,-0.3263193993469393,-0.4608484054485231,29.317185813861865,29.643505213208805,29.643505213208805,0.0,21,false,false,0.2,0.2,6.0,6.0,2.0,0.375,0.44017042154147523,2.04258647073343,0 4 11 19 24 29 34 39 42 44 48 54 59 61 63 65 67 72 74 77 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
meetroom,4,length_sample_z_rank_prior_0p1,0.0,0.0,29.643505213208805,29.643505213208805,29.643505213208805,0.0,21,true,true,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.8278355253654468,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80
