step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
56,stage79_00017220,soccerball,q12,8,45,0.7142857142857143,0.01028765831142664,1.5,0.015431487932801247,19.876834685961985
57,stage79_00004745,dancing,q12,4,6,0.5,0.022178705781698227,2.0,0.044357411563396454,16.540638003088656
58,stage79_00010753,lindy-hop,q12,8,27,0.375,0.018818320706486702,1.5,0.028227481991052628,17.254191343862345
59,stage79_00008514,hockey,q12,8,36,0.5,0.011643926613032818,1.5,0.01746588945388794,19.339005404073358
60,stage79_00008466,hockey,q12,4,51,0.75,0.006882532965391874,2.0,0.013765065930783749,21.62251699781563
61,stage79_00018893,tennis,q12,8,15,0.875,0.0092279352247715,1.5,0.01384190283715725,20.348954626579918
62,stage79_00019639,train,q12,4,69,0.25,0.009989572688937187,2.0,0.019979145377874374,20.004530886314463
63,stage79_00018005,stunt,q12,8,59,0.375,0.015502439811825752,1.5,0.023253660649061203,18.095999461247107
64,stage79_00005742,dog-gooses,q12,8,73,0.125,0.00854713749140501,1.5,0.012820705771446228,20.68179309814321
65,stage79_00001518,boxing-fisheye,q12,4,82,0.5,0.010531469248235226,2.0,0.02106293849647045,19.77511036042507
66,stage79_00013248,night-race,q12,8,20,0.5,0.006386455614119768,1.5,0.009579683654010296,21.94740101825417
67,stage79_00013522,paragliding,q12,4,47,0.75,0.0020368376281112432,2.0,0.0040736752562224865,26.91043590551118
68,stage79_00009556,kite-walk,q12,8,45,0.625,0.007095980457961559,1.5,0.010643970221281052,21.48987589203831
69,stage79_00017573,stroller,q12,8,13,0.625,0.01704764924943447,1.5,0.025571472942829132,17.68335498688164
70,stage79_00006864,drone,q12,4,87,0.75,0.04971897229552269,2.0,0.09943794459104538,13.034778569209065
71,stage79_00012486,miami-surf,q12,8,44,0.5,0.004790829494595528,1.5,0.0071862442418932915,23.195892853877304
72,stage79_00008794,horsejump-low,q12,4,38,0.5,0.016880325973033905,2.0,0.03376065194606781,17.726191710443114
73,stage79_00019262,tractor-sand,q12,8,13,0.625,0.016766197979450226,1.5,0.02514929696917534,17.755654098893913
74,stage79_00014395,rhino,q12,8,11,0.375,0.012109139934182167,1.5,0.018163710832595825,19.16886702034764
75,stage79_00013770,planes-water,q12,4,21,0.25,0.000513124221470207,2.0,0.001026248442940414,32.89777484462573
76,stage79_00003486,classic-car,q12,4,51,0.75,0.02863779291510582,2.0,0.05727558583021164,15.430604556981883
77,stage79_00014320,rhino,q12,4,1,0.25,0.00545157864689827,2.0,0.01090315729379654,22.63477718207603
78,stage79_00010366,lady-running,q12,4,51,0.75,0.01690833456814289,2.0,0.03381666913628578,17.718991672979087
79,stage79_00011671,mallard-fly,q12,4,38,0.5,0.019888607785105705,2.0,0.03977721557021141,17.01395616694971
80,stage79_00006495,drift-turn,q12,8,45,0.625,0.027398061007261276,1.5,0.041097089648246765,15.622801716191798
81,stage79_00016555,skate-park,q12,8,1,0.125,0.014090529642999172,1.5,0.02113579399883747,18.510726820709998
82,stage79_00000726,bmx-bumps,q12,8,28,0.5,0.019684329628944397,1.5,0.029526494443416595,17.058793709884448
83,stage79_00009113,kid-football,q12,4,37,0.25,0.009466555900871754,2.0,0.018933111801743507,20.238079962136403
84,stage79_00008147,hike,q12,8,58,0.25,0.011220908723771572,1.5,0.01683136261999607,19.499719703758778
85,stage79_00014402,rhino,q12,8,19,0.375,0.012241566553711891,1.5,0.01836235076189041,19.121630019536198
86,stage79_00008488,hockey,q12,8,6,0.75,0.006252127233892679,1.5,0.009378191083669662,22.039721924546352
87,stage79_00012480,miami-surf,q12,8,37,0.625,0.005344618111848831,1.5,0.008016927167773247,22.72083320921417
88,stage79_00012054,mallard-water,q12,4,46,0.5,0.029602915048599243,2.0,0.059205830097198486,15.286655211306888
89,stage79_00010055,koala,q12,8,79,0.875,0.0037693558260798454,1.5,0.005654033739119768,24.23732863344023
90,stage79_00014423,rhino,q12,8,43,0.375,0.009830162860453129,1.5,0.01474524475634098,20.074392869684537
91,stage79_00001471,boxing-fisheye,q12,4,19,0.75,0.010700009763240814,2.0,0.02140001952648163,19.706158260419233
92,stage79_00002285,bus,q12,4,69,0.25,0.020722635090351105,2.0,0.04144527018070221,16.835550205274593
93,stage79_00018596,swing,q12,8,55,0.875,0.013563906773924828,1.5,0.020345859229564667,18.676152038326975
94,stage79_00012782,motocross-bumps,q12,8,19,0.375,0.006772973109036684,1.5,0.01015945989638567,21.692206486842288
95,stage79_00019270,tractor-sand,q12,8,22,0.75,0.01817626692354679,1.5,0.02726440131664276,17.4049530818671
96,stage79_00003449,classic-car,q12,4,2,0.5,0.0359613411128521,2.0,0.0719226822257042,14.441641204134847
97,stage79_00013972,rallye,q12,4,2,0.5,0.01328489650040865,2.0,0.0265697930008173,18.76641824729541
98,stage79_00016230,sheep,q12,8,65,0.3333333333333333,0.00903575774282217,1.5,0.013553636148571968,20.44035421439802
99,stage79_00018011,stunt,q12,8,66,0.3333333333333333,0.009796698577702045,1.5,0.014695048332214355,20.08920254006287
100,stage79_00004210,crossing,q12,8,18,0.25,0.011580449528992176,1.5,0.01737067475914955,19.36274581871835
101,stage79_00007271,elephant,q12,4,55,0.75,0.006437762640416622,2.0,0.012875525280833244,21.912650397438522
102,stage79_00020277,upside-down,q12,4,39,0.75,0.024761008098721504,2.0,0.04952201619744301,16.06231677794105
103,stage79_00007355,elephant,q12,8,76,0.5714285714285714,0.009121780283749104,1.5,0.013682670891284943,20.399203928169122
104,stage79_00000266,bear,q12,8,2,0.25,0.010200442746281624,1.5,0.015300664119422436,19.913809774445564
105,stage79_00014028,rallye,q12,8,25,0.125,0.01212318055331707,1.5,0.01818476989865303,19.1638342674189
106,stage79_00011745,mallard-fly,q12,8,59,0.375,0.03146309405565262,1.5,0.04719464108347893,15.021985714386146
107,stage79_00004823,dancing,q12,8,43,0.375,0.03363240137696266,1.5,0.05044860392808914,14.73242122648763
108,stage79_00011391,lucia,q12,8,54,0.75,0.014264539815485477,1.5,0.021396810188889503,18.457422344393635
109,stage79_00018533,swing,q12,4,39,0.75,0.012497946619987488,2.0,0.024995893239974976,19.031613345809472
110,stage79_00002701,car-turn,q12,8,5,0.625,0.0033657331950962543,1.5,0.005048600025475025,24.729203139365342
111,stage79_00010409,lady-running,q12,8,38,0.75,0.024566076695919037,1.5,0.036849115043878555,16.09664196607564
112,stage79_00006119,dogs-scale,q12,8,21,0.625,0.05874335393309593,1.5,0.08811502903699875,12.310412612001178
113,stage79_00016934,snowboard,q12,8,28,0.5,0.04775269702076912,1.5,0.07162904739379883,13.210020949041077
114,stage79_00015463,scooter-board,q12,8,54,0.75,0.042946647852659225,1.5,0.06441996991634369,13.670707288270862
115,stage79_00003861,color-run,q12,4,59,0.75,0.024306708946824074,2.0,0.04861341789364815,16.14273839305165
116,stage79_00016900,snowboard,q12,4,51,0.75,0.0207456573843956,2.0,0.0414913147687912,16.830727987770647
117,stage79_00017587,stroller,q12,8,29,0.625,0.02101723849773407,1.5,0.031525857746601105,16.77424347488657
118,stage79_00009159,kid-football,q12,8,27,0.375,0.01769234985113144,1.5,0.02653852477669716,17.522144814144823
119,stage79_00010009,koala,q12,8,27,0.375,0.03539729863405228,1.5,0.053095947951078415,14.510298801518912
120,stage79_00009483,kite-walk,q12,4,34,0.5,0.0034685139544308186,2.0,0.006937027908861637,24.598565539192098
121,stage79_00004781,dancing,q12,4,54,0.5,0.021104764193296432,2.0,0.042209528386592865,16.756194959200098
122,stage79_00020323,upside-down,q12,8,31,0.875,0.03150992840528488,1.5,0.04726489260792732,15.01552583599248
