schedule,sequence,frame_index,final_type,measurement_key,psnr,ssim,ms_ssim,lpips,bitstream_bytes
uniform_gap1,bike-packing,0,q12_keyframe,keyframe::bike-packing:00000,26.079283846778374,0.8400600552558899,0.9858327507972717,0.18571901321411133,719648
uniform_gap1,bike-packing,1,q12_keyframe,keyframe::bike-packing:00001,26.254876789005497,0.8466580510139465,0.9863131642341614,0.18230536580085754,719646
uniform_gap1,bike-packing,2,q12_keyframe,keyframe::bike-packing:00002,26.253660760444593,0.8476635813713074,0.9862802028656006,0.18079394102096558,719640
uniform_gap1,bike-packing,3,q12_keyframe,keyframe::bike-packing:00003,26.28162013992167,0.8512864708900452,0.9863624572753906,0.18011261522769928,719647
uniform_gap1,bike-packing,4,q12_keyframe,keyframe::bike-packing:00004,26.419333409621636,0.8502992987632751,0.986646294593811,0.1807929277420044,719651
uniform_gap1,bike-packing,5,q12_keyframe,keyframe::bike-packing:00005,26.630530356677696,0.8532681465148926,0.9867387413978577,0.18154284358024597,719640
uniform_gap1,bike-packing,6,q12_keyframe,keyframe::bike-packing:00006,26.683049248231292,0.850507915019989,0.9864611029624939,0.1816236674785614,719649
uniform_gap1,bike-packing,7,q12_keyframe,keyframe::bike-packing:00007,26.575726793633763,0.852541983127594,0.9866902232170105,0.18063560128211975,719648
uniform_gap1,bike-packing,8,q12_keyframe,keyframe::bike-packing:00008,26.682567321615608,0.8535167574882507,0.9868981242179871,0.18134839832782745,719646
uniform_gap1,bike-packing,9,q12_keyframe,keyframe::bike-packing:00009,26.686437905819336,0.8537788987159729,0.9868886470794678,0.17604053020477295,719642
uniform_gap1,bike-packing,10,q12_keyframe,keyframe::bike-packing:00010,26.64035650914893,0.854788064956665,0.9870686531066895,0.17449705302715302,719647
uniform_gap1,bike-packing,11,q12_keyframe,keyframe::bike-packing:00011,26.369661488453122,0.8543196320533752,0.9869126081466675,0.1761958748102188,719651
uniform_gap1,bike-packing,12,q12_keyframe,keyframe::bike-packing:00012,26.370589071153965,0.851966917514801,0.9868340492248535,0.17273931205272675,719649
uniform_gap1,bike-packing,13,q12_keyframe,keyframe::bike-packing:00013,26.588673751351052,0.8571847081184387,0.9873028993606567,0.17347046732902527,719648
uniform_gap1,bike-packing,14,q12_keyframe,keyframe::bike-packing:00014,26.893108470896436,0.8558729290962219,0.9871460795402527,0.17654360830783844,719653
uniform_gap1,bike-packing,15,q12_keyframe,keyframe::bike-packing:00015,27.28379411756783,0.8578593730926514,0.9871742129325867,0.17756283283233643,719642
uniform_gap1,bike-packing,16,q12_keyframe,keyframe::bike-packing:00016,27.405523730322216,0.8591346740722656,0.987363874912262,0.17478793859481812,719646
uniform_gap1,bike-packing,17,q12_keyframe,keyframe::bike-packing:00017,27.35848704789548,0.8618431091308594,0.9874905943870544,0.1811479777097702,719652
uniform_gap1,bike-packing,18,q12_keyframe,keyframe::bike-packing:00018,27.201092238712796,0.8592743277549744,0.9873775839805603,0.18062852323055267,719646
uniform_gap1,bike-packing,19,q12_keyframe,keyframe::bike-packing:00019,26.994248441221785,0.8623467087745667,0.9876936078071594,0.17154082655906677,719648
uniform_gap1,bike-packing,20,q12_keyframe,keyframe::bike-packing:00020,26.567272080467824,0.8608012795448303,0.9876415729522705,0.17014195024967194,719651
uniform_gap1,bike-packing,21,q12_keyframe,keyframe::bike-packing:00021,25.98399060380165,0.8552422523498535,0.9870278239250183,0.17292514443397522,719650
uniform_gap1,bike-packing,22,q12_keyframe,keyframe::bike-packing:00022,25.410683945209005,0.8464797139167786,0.9862368702888489,0.17287872731685638,719650
uniform_gap1,bike-packing,23,q12_keyframe,keyframe::bike-packing:00023,25.41304086439027,0.8479596972465515,0.9863943457603455,0.17244891822338104,719648
uniform_gap1,bike-packing,24,q12_keyframe,keyframe::bike-packing:00024,25.50536865204191,0.8474324345588684,0.9862033128738403,0.17434729635715485,719651
uniform_gap1,bike-packing,25,q12_keyframe,keyframe::bike-packing:00025,25.505250110839523,0.8487232327461243,0.9863504767417908,0.17285621166229248,719652
uniform_gap1,bike-packing,26,q12_keyframe,keyframe::bike-packing:00026,25.22533159798886,0.8445329666137695,0.9858877062797546,0.17601166665554047,719652
uniform_gap1,bike-packing,27,q12_keyframe,keyframe::bike-packing:00027,25.199107058035647,0.8457658886909485,0.9859278798103333,0.17416828870773315,719647
uniform_gap1,bike-packing,28,q12_keyframe,keyframe::bike-packing:00028,25.04689704461814,0.8408592343330383,0.9856444597244263,0.17758719623088837,719652
uniform_gap1,bike-packing,29,q12_keyframe,keyframe::bike-packing:00029,25.08588847002839,0.8427546620368958,0.9856426119804382,0.17732477188110352,719655
uniform_gap1,bike-packing,30,q12_keyframe,keyframe::bike-packing:00030,25.04453550839765,0.8416983485221863,0.985533595085144,0.1816052794456482,719649
uniform_gap1,bike-packing,31,q12_keyframe,keyframe::bike-packing:00031,25.15912301447139,0.8457801938056946,0.9858618974685669,0.1778346598148346,719650
uniform_gap1,bike-packing,32,q12_keyframe,keyframe::bike-packing:00032,25.098256923792167,0.8434996008872986,0.9858001470565796,0.1775827705860138,719646
uniform_gap1,bike-packing,33,q12_keyframe,keyframe::bike-packing:00033,25.23021103954919,0.8492557406425476,0.9862983226776123,0.171888530254364,719654
uniform_gap1,bike-packing,34,q12_keyframe,keyframe::bike-packing:00034,25.18779549032079,0.8479841351509094,0.9861426949501038,0.17562972009181976,719642
uniform_gap1,bike-packing,35,q12_keyframe,keyframe::bike-packing:00035,25.311930658316815,0.8513441681861877,0.986419141292572,0.17170743644237518,719643
uniform_gap1,bike-packing,36,q12_keyframe,keyframe::bike-packing:00036,25.11886614028116,0.8446011543273926,0.9857200980186462,0.17262989282608032,719648
uniform_gap1,bike-packing,37,q12_keyframe,keyframe::bike-packing:00037,25.208708237638263,0.8484649658203125,0.9859222173690796,0.17352446913719177,719645
uniform_gap1,bike-packing,38,q12_keyframe,keyframe::bike-packing:00038,25.22594729151279,0.8466212749481201,0.9859616756439209,0.17476364970207214,719648
