measurement_key,sequence,frame_index,used_by_schedules,schedule_count,bits,compression,payload_encoding,anchor_values,bitstream_bytes,bitstream_mib,status,error
keyframe::blackswan:00010,blackswan,10,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::blackswan:00012,blackswan,12,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::blackswan:00014,blackswan,14,uniform_gap1,1,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::blackswan:00016,blackswan,16,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::blackswan:00018,blackswan,18,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::blackswan:00020,blackswan,20,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::blackswan:00022,blackswan,22,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::blackswan:00024,blackswan,24,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::blackswan:00026,blackswan,26,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::blackswan:00028,blackswan,28,uniform_gap1,1,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::blackswan:00030,blackswan,30,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::blackswan:00032,blackswan,32,uniform_gap1,1,12,none,bitpack,479232,719658,0.6863193511962891,ok,
keyframe::blackswan:00034,blackswan,34,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::blackswan:00036,blackswan,36,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::blackswan:00038,blackswan,38,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::blackswan:00040,blackswan,40,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::blackswan:00042,blackswan,42,uniform_gap1,1,12,none,bitpack,479232,719656,0.6863174438476562,ok,
keyframe::blackswan:00044,blackswan,44,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::blackswan:00046,blackswan,46,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::blackswan:00048,blackswan,48,uniform_gap1,1,12,none,bitpack,479232,719644,0.6863059997558594,ok,
keyframe::blackswan:00049,blackswan,49,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::bmx-trees:00000,bmx-trees,0,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::bmx-trees:00002,bmx-trees,2,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bmx-trees:00004,bmx-trees,4,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bmx-trees:00006,bmx-trees,6,uniform_gap1,1,12,none,bitpack,479232,719641,0.6863031387329102,ok,
keyframe::bmx-trees:00008,bmx-trees,8,uniform_gap1,1,12,none,bitpack,479232,719639,0.6863012313842773,ok,
keyframe::bmx-trees:00010,bmx-trees,10,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bmx-trees:00012,bmx-trees,12,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::bmx-trees:00014,bmx-trees,14,uniform_gap1,1,12,none,bitpack,479232,719640,0.6863021850585938,ok,
keyframe::bmx-trees:00016,bmx-trees,16,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bmx-trees:00018,bmx-trees,18,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bmx-trees:00020,bmx-trees,20,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bmx-trees:00022,bmx-trees,22,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00024,bmx-trees,24,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bmx-trees:00026,bmx-trees,26,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::bmx-trees:00028,bmx-trees,28,uniform_gap1,1,12,none,bitpack,479232,719643,0.686305046081543,ok,
keyframe::bmx-trees:00030,bmx-trees,30,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bmx-trees:00031,bmx-trees,31,uniform_gap1,1,12,none,bitpack,479232,719646,0.6863079071044922,ok,
keyframe::bmx-trees:00032,bmx-trees,32,uniform_gap1,1,12,none,bitpack,479232,719642,0.6863040924072266,ok,
keyframe::bmx-trees:00034,bmx-trees,34,uniform_gap1,1,12,none,bitpack,479232,719649,0.6863107681274414,ok,
keyframe::bmx-trees:00035,bmx-trees,35,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bmx-trees:00036,bmx-trees,36,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bmx-trees:00038,bmx-trees,38,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::bmx-trees:00040,bmx-trees,40,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bmx-trees:00042,bmx-trees,42,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00044,bmx-trees,44,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00046,bmx-trees,46,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::bmx-trees:00048,bmx-trees,48,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bmx-trees:00050,bmx-trees,50,uniform_gap1,1,12,none,bitpack,479232,719648,0.686309814453125,ok,
keyframe::bmx-trees:00052,bmx-trees,52,uniform_gap1,1,12,none,bitpack,479232,719655,0.6863164901733398,ok,
keyframe::bmx-trees:00054,bmx-trees,54,uniform_gap1,1,12,none,bitpack,479232,719650,0.6863117218017578,ok,
keyframe::bmx-trees:00056,bmx-trees,56,uniform_gap1,1,12,none,bitpack,479232,719652,0.6863136291503906,ok,
keyframe::bmx-trees:00058,bmx-trees,58,uniform_gap1,1,12,none,bitpack,479232,719651,0.6863126754760742,ok,
keyframe::bmx-trees:00060,bmx-trees,60,uniform_gap1,1,12,none,bitpack,479232,719640,0.6863021850585938,ok,
keyframe::bmx-trees:00062,bmx-trees,62,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
keyframe::bmx-trees:00064,bmx-trees,64,uniform_gap1,1,12,none,bitpack,479232,719653,0.686314582824707,ok,
keyframe::bmx-trees:00066,bmx-trees,66,uniform_gap1,1,12,none,bitpack,479232,719647,0.6863088607788086,ok,
keyframe::bmx-trees:00068,bmx-trees,68,uniform_gap1,1,12,none,bitpack,479232,719645,0.6863069534301758,ok,
