sample,mean_delta_all_psnr,mean_delta_middle_psnr,min_delta_all_psnr,min_delta_middle_psnr
driving,0.05776937799917814,0.08509640721785772,0.03592102212179782,0.03879470389153994
meetroom,0.0821721833379172,0.1171542035614479,0.06158812455336715,0.06651517451764022
n3dv,0.15504572925967608,0.21038068394586507,0.11930499638465619,0.16722150693787086
robot,0.02419867433644729,0.0373900943822445,0.003860517927481766,0.004186758879111352
