frame_gap,estimated_q8_static_mib_per_frame,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim
2,0.23137344426406925,29.863601953236554,29.94152342429438,0.07792147105782465,28.09506403674387,28.25286654810653,0.15780251136266443,0.8712697635887525,0.8770452328856526,0.8414154006854484,0.8531131602039462
4,0.1185445413961039,28.220143065538956,28.31306297056608,0.09291990502712721,27.04701137148923,27.172461353061053,0.1254499815718253,0.8401660432972471,0.8486993572202386,0.8192128041726455,0.830735213544808
8,0.06287202380952381,26.570341791291586,26.654635281827648,0.08429349053606128,25.76448103907681,25.862070399193193,0.09758936011638486,0.8080089634592876,0.8176479973729192,0.7931949195601208,0.8043771422980153
16,0.03429383116883117,25.023488120799332,25.087539219111537,0.06405109831220557,24.490411679297992,24.55959121535453,0.06917953605654059,0.7771119983107955,0.7872517598968811,0.7671042378015922,0.7780695869231448
