base_method,stage78_rate_method,codec,reference_gap,task_count,q12_main_anchor_mib_per_frame,fixed_sideinfo_mib_per_intermediate_frame,entropy_sideinfo_mib_per_intermediate_frame,uniform_intermediate_frame_ratio,fixed_direct_total_mib_per_frame,entropy_direct_total_mib_per_frame,fixed_amortized_total_mib_per_frame,entropy_amortized_total_mib_per_frame,entropy_direct_savings_mib_per_frame,entropy_amortized_savings_mib_per_frame,entropy_ratio_vs_fixed_sideinfo,mean_base_psnr,mean_entropy_psnr,mean_delta_psnr_vs_base,positive_delta_count
linear,linear,q12,4,18,0.18193822076791313,0.04137134552001953,0.028486092885335285,0.75,0.22330956628793266,0.21042431365324843,0.21296672990792778,0.2033027904319146,0.012885252634684236,0.009663939476013184,0.6885464450642754,19.984796422852106,23.403532118481326,3.4187356956292225,18
linear,linear,q12,8,19,0.09762538675351436,0.04137134552001953,0.02903069947895251,0.875,0.13899673227353387,0.12665608623246688,0.13382531408353143,0.1230272487975978,0.012340646041066994,0.010798065285933633,0.7017103048994284,18.457589807006293,21.51362735577916,3.05603754877287,19
linear,linear,q12,16,23,0.055468969746314975,0.04137134552001953,0.028838696687117867,0.9375,0.0968403152663345,0.08430766643343285,0.09425460617133329,0.08250524789048798,0.012532648832901658,0.011749358280845307,0.6970693441228029,17.08421543617396,20.344147709407626,3.2599322732336695,23
stage65_adapter,adapter,q12,4,18,0.18193822076791313,0.04137134552001953,0.033147705925835505,0.75,0.22330956628793266,0.21508592669374865,0.21296672990792778,0.20679900021228975,0.008223639594184012,0.00616772969563803,0.8012237820448788,20.041732308843873,22.841151135422116,2.7994188265782376,18
stage65_adapter,adapter,q12,8,19,0.09762538675351436,0.04137134552001953,0.033867986578690376,0.875,0.13899673227353387,0.13149337333220473,0.13382531408353143,0.12725987500986843,0.007503358941329141,0.006565439073662999,0.8186339156482526,18.706547218120296,21.39901144086742,2.692464222747122,19
stage65_adapter,adapter,q12,16,23,0.055468969746314975,0.04137134552001953,0.03376620748768682,0.9375,0.0968403152663345,0.08923517723400179,0.09425460617133329,0.08712478926602138,0.007605138032332717,0.007129816905311906,0.8161737807475322,17.32823013943833,20.292022340267458,2.9637922008291264,23
