comparison,stage72_gap,stage72_scope,stage72_metric_space,stage72_all_psnr,stage72_middle_psnr,stage72_given_psnr,stage75_gap,stage75_scope,stage75_metric_space,stage75_all_psnr,stage75_middle_psnr,stage75_given_psnr
Stage72 gap4 scoped vs corrected Middle-4,4,"4 DAVIS val sequences, disjoint sparse-keyframe, 512x288 uint8",stage72_512_uint8,23.244598036349643,20.881582891367685,29.745217856431786,5,"full DAVIS val, sliding fixed windows, 256x256 float",official_256_float,26.994540075591946,23.004337221027775,34.97494578472027
Stage72 gap8 scoped vs corrected 8-frame,8,"4 DAVIS val sequences, disjoint sparse-keyframe, 512x288 uint8",stage72_512_uint8,20.682715912446714,19.17823812651332,29.71886975750609,8,"full DAVIS val, sliding fixed windows, 256x256 float",official_256_float,24.534872014837706,21.56004909948801,34.94675221856166
