codec,bits,sequence_count,frame_count,gaussians_per_anchor,values_per_anchor,payload_mib_no_metadata,payload_mib_with_fp16_min_scale,psnr_512_avg,psnr_512_min,psnr_256_avg,psnr_256_min,delta_512_vs_float16,delta_256_vs_float16
q6,6,4,309,36864,479232,0.3427734375,0.3428230285644531,16.964416756584846,14.717496473897832,17.739751819785756,15.503965331800089,-12.770973560085498,-16.925497206905096
q8,8,4,309,36864,479232,0.45703125,0.4570808410644531,27.044935397848864,24.16790130850625,30.39796551711433,28.32406052027789,-2.69045491882148,-4.267283509576522
q10,10,4,309,36864,479232,0.5712890625,0.5713386535644531,29.35456348600337,25.687817826322092,34.144040488489495,31.579580237617805,-0.3808268306669724,-0.5212085382013569
q12,12,4,309,36864,479232,0.685546875,0.6855964660644531,29.708204125401867,25.888430383141703,34.6285618759872,31.967064275149948,-0.02718619126847699,-0.03668715070364925
float16,16,4,309,36864,479232,0.9140625,0.9141120910644531,29.735390316670344,25.90232824974915,34.66524902669085,31.993435771634452,0.0,0.0
q16,16,4,309,36864,479232,0.9140625,0.9141120910644531,29.73518080346308,25.902311324896967,34.665082254118616,31.993225353454836,-0.00020951320726325662,-0.00016677257223562947
