schedule,sequence,keyframe_count,first_frame_index,last_frame_index,bits,compression,payload_encoding,bitstream_bytes,bitstream_mib,status,error
stage165_adaptive,soapbox,17,0,98,12,none,bitpack,12231719,11.66507625579834,ok,
uniform_gap4,bike-packing,18,0,68,12,none,bitpack,12951219,12.351244926452637,ok,
uniform_gap4,blackswan,14,0,49,12,none,bitpack,10073195,9.606547355651855,ok,
uniform_gap4,bmx-trees,21,0,79,12,none,bitpack,15109722,14.409753799438477,ok,
uniform_gap4,breakdance,22,0,83,12,none,bitpack,15829283,15.095980644226074,ok,
uniform_gap4,camel,24,0,89,12,none,bitpack,17268203,16.468241691589355,ok,
uniform_gap4,car-roundabout,20,0,74,12,none,bitpack,14390245,13.723607063293457,ok,
uniform_gap4,car-shadow,11,0,39,12,none,bitpack,7914683,7.548029899597168,ok,
uniform_gap4,cows,27,0,103,12,none,bitpack,19426735,18.52677822113037,ok,
uniform_gap4,dance-twirl,24,0,89,12,none,bitpack,17268299,16.46833324432373,ok,
uniform_gap4,dog,16,0,59,12,none,bitpack,11512134,10.978826522827148,ok,
uniform_gap4,dogs-jump,18,0,65,12,none,bitpack,12951257,12.35128116607666,ok,
uniform_gap4,drift-chicane,14,0,51,12,none,bitpack,10073021,9.6063814163208,ok,
uniform_gap4,drift-straight,14,0,49,12,none,bitpack,10073152,9.60650634765625,ok,
uniform_gap4,goat,24,0,89,12,none,bitpack,17268192,16.468231201171875,ok,
uniform_gap4,gold-fish,21,0,77,12,none,bitpack,15109610,14.409646987915039,ok,
uniform_gap4,horsejump-high,14,0,49,12,none,bitpack,10073189,9.606541633605957,ok,
uniform_gap4,india,21,0,80,12,none,bitpack,15109626,14.409662246704102,ok,
uniform_gap4,judo,10,0,33,12,none,bitpack,7195174,6.861852645874023,ok,
uniform_gap4,kite-surf,14,0,49,12,none,bitpack,10073165,9.606518745422363,ok,
uniform_gap4,lab-coat,13,0,46,12,none,bitpack,9353600,8.9202880859375,ok,
uniform_gap4,libby,13,0,48,12,none,bitpack,9353693,8.920376777648926,ok,
uniform_gap4,loading,14,0,49,12,none,bitpack,10073205,9.60655689239502,ok,
uniform_gap4,mbike-trick,21,0,78,12,none,bitpack,15109746,14.40977668762207,ok,
uniform_gap4,motocross-jump,11,0,39,12,none,bitpack,7914650,7.547998428344727,ok,
uniform_gap4,paragliding-launch,21,0,79,12,none,bitpack,15109633,14.409668922424316,ok,
uniform_gap4,parkour,26,0,99,12,none,bitpack,18707211,17.84058666229248,ok,
uniform_gap4,pigs,21,0,78,12,none,bitpack,15109569,14.409607887268066,ok,
uniform_gap4,scooter-black,12,0,42,12,none,bitpack,8634174,8.234189987182617,ok,
uniform_gap4,shooting,11,0,39,12,none,bitpack,7914693,7.548039436340332,ok,
uniform_gap4,soapbox,26,0,98,12,none,bitpack,18707283,17.84065532684326,ok,
uniform_gap8,bike-packing,10,0,68,12,none,bitpack,7195184,6.8618621826171875,ok,
uniform_gap8,blackswan,8,0,49,12,none,bitpack,5756171,5.4895124435424805,ok,
uniform_gap8,bmx-trees,11,0,79,12,none,bitpack,7914688,7.54803466796875,ok,
uniform_gap8,breakdance,12,0,83,12,none,bitpack,8634216,8.234230041503906,ok,
uniform_gap8,camel,13,0,89,12,none,bitpack,9353667,8.9203519821167,ok,
uniform_gap8,car-roundabout,11,0,74,12,none,bitpack,7914694,7.548040390014648,ok,
