measurement_key,sequence,target_index,left_index,right_index,segment_length,normalized_time,used_by_schedules,schedule_count,keep_fraction,side_bits,selector_mode,selector_payload_bytes,left_payload_bytes,right_payload_bytes,left_psnr,right_psnr,selected_half,selected_residual_payload_bytes,payload_bytes,payload_mib,status,error
residual::bike-packing:00018:00016:00020,bike-packing,18,16,20,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,154019,172245,25.768990465812692,25.99921471762817,right,172245,172246,0.16426658630371094,ok,
residual::bike-packing:00018:00016:00024,bike-packing,18,16,24,8,0.25,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,152800,193775,25.87865671140852,25.13376163781271,left,152800,152801,0.1457223892211914,ok,
residual::bike-packing:00019:00016:00020,bike-packing,19,16,20,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,161980,158151,25.158053435168558,26.58409438353814,right,158151,158152,0.15082550048828125,ok,
residual::bike-packing:00019:00016:00024,bike-packing,19,16,24,8,0.375,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,163559,188675,25.82058375644526,25.511112075949317,left,163559,163560,0.15598297119140625,ok,
residual::bike-packing:00020:00016:00024,bike-packing,20,16,24,8,0.5,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,170894,182947,24.177932193532342,25.581470397379857,right,182947,182948,0.17447280883789062,ok,
residual::bike-packing:00021:00016:00024,bike-packing,21,16,24,8,0.625,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,178344,171099,23.034536963792075,25.516206920396648,right,171099,171100,0.16317367553710938,ok,
residual::bike-packing:00021:00020:00024,bike-packing,21,20,24,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,169696,169309,25.664103224854642,25.08772930724483,left,169696,169697,0.1618356704711914,ok,
residual::bike-packing:00022:00016:00024,bike-packing,22,16,24,8,0.75,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,181443,169795,21.734453056403208,25.093768802120067,right,169795,169796,0.16193008422851562,ok,
residual::bike-packing:00022:00020:00024,bike-packing,22,20,24,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,183029,166995,24.671962952683796,24.973159978695914,right,166995,166996,0.15925979614257812,ok,
residual::bike-packing:00023:00016:00024,bike-packing,23,16,24,8,0.875,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,182656,156868,21.878374471750398,25.305903439566908,right,156868,156869,0.14960193634033203,ok,
residual::bike-packing:00023:00020:00024,bike-packing,23,20,24,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,189611,158026,23.93169843914746,25.212963482039722,right,158026,158027,0.15070629119873047,ok,
residual::bike-packing:00025:00024:00028,bike-packing,25,24,28,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,153986,169103,25.375105934716533,25.079597414522357,left,153986,153987,0.14685344696044922,ok,
residual::bike-packing:00025:00024:00032,bike-packing,25,24,32,8,0.125,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,149387,188660,25.414684503614712,24.97972921816322,left,149387,149388,0.14246749877929688,ok,
residual::bike-packing:00026:00024:00028,bike-packing,26,24,28,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,164997,165623,24.921310866949362,25.016263724384466,right,165623,165624,0.15795135498046875,ok,
residual::bike-packing:00026:00024:00032,bike-packing,26,24,32,8,0.25,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,159184,183741,25.047220935014117,24.8593104096043,left,159184,159185,0.1518106460571289,ok,
residual::bike-packing:00027:00024:00028,bike-packing,27,24,28,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,168417,143633,24.633930150807437,25.118201695350013,right,143633,143634,0.1369800567626953,ok,
residual::bike-packing:00027:00024:00032,bike-packing,27,24,32,8,0.375,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,159232,168247,24.90723269909733,24.927177871605846,right,168247,168248,0.16045379638671875,ok,
residual::bike-packing:00028:00024:00032,bike-packing,28,24,32,8,0.5,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,166868,162478,24.5304757149638,24.876307000689202,right,162478,162479,0.1549520492553711,ok,
residual::bike-packing:00029:00024:00032,bike-packing,29,24,32,8,0.625,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,175703,159540,24.36969127196876,24.965400441046803,right,159540,159541,0.15215015411376953,ok,
residual::bike-packing:00029:00028:00032,bike-packing,29,28,32,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,138839,162430,25.03423577945992,25.02914077200346,left,138839,138840,0.13240814208984375,ok,
residual::bike-packing:00030:00024:00032,bike-packing,30,24,32,8,0.75,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,182680,153910,24.002902801664554,24.983323987593916,right,153910,153911,0.14678096771240234,ok,
residual::bike-packing:00030:00028:00032,bike-packing,30,28,32,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,152717,155821,24.905625416033935,25.007005240202798,right,155821,155822,0.1486034393310547,ok,
residual::bike-packing:00031:00024:00032,bike-packing,31,24,32,8,0.875,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,179159,149928,23.973558738698152,25.113104756225347,right,149928,149929,0.14298343658447266,ok,
residual::bike-packing:00031:00028:00032,bike-packing,31,28,32,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,155590,147017,24.821952880330226,25.117646426180684,right,147017,147018,0.14020729064941406,ok,
residual::bike-packing:00033:00032:00036,bike-packing,33,32,36,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,161999,216432,25.168438987441064,25.152759167189764,left,161999,162000,0.1544952392578125,ok,
residual::bike-packing:00033:00032:00040,bike-packing,33,32,40,8,0.125,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,163185,231154,25.18315122104632,25.00267054106727,left,163185,163186,0.1556262969970703,ok,
residual::bike-packing:00034:00032:00036,bike-packing,34,32,36,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,190065,210813,25.05993281268267,25.139894262765978,right,210813,210814,0.2010478973388672,ok,
residual::bike-packing:00034:00032:00040,bike-packing,34,32,40,8,0.25,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,192026,231308,25.111230498074644,25.006744222759203,left,192026,192027,0.18313121795654297,ok,
residual::bike-packing:00035:00032:00036,bike-packing,35,32,36,4,0.75,uniform_gap4,1,1.0,6,psnr_best_half,1,199750,187230,25.061932311827995,25.28222556406614,right,187230,187231,0.1785573959350586,ok,
residual::bike-packing:00035:00032:00040,bike-packing,35,32,40,8,0.375,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,202714,229433,25.144603554603805,25.162431920671914,right,229433,229434,0.21880531311035156,ok,
residual::bike-packing:00036:00032:00040,bike-packing,36,32,40,8,0.5,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,207131,227557,24.890934295914533,25.01032873892632,right,227557,227558,0.21701622009277344,ok,
residual::bike-packing:00037:00032:00040,bike-packing,37,32,40,8,0.625,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,212507,226679,24.863028049726022,25.125279543967878,right,226679,226680,0.21617889404296875,ok,
residual::bike-packing:00037:00036:00040,bike-packing,37,36,40,4,0.25,uniform_gap4,1,1.0,6,psnr_best_half,1,191608,232407,25.176877984820855,25.045439836683382,left,191608,191609,0.18273258209228516,ok,
residual::bike-packing:00038:00032:00040,bike-packing,38,32,40,8,0.75,stage165_adaptive uniform_gap8,2,1.0,6,psnr_best_half,1,216847,226623,24.722901066214273,25.15761805088262,right,226623,226624,0.21612548828125,ok,
residual::bike-packing:00038:00036:00040,bike-packing,38,36,40,4,0.5,uniform_gap4,1,1.0,6,psnr_best_half,1,212702,230818,25.17016085740557,25.124011964189286,left,212702,212703,0.2028493881225586,ok,
