method,repo_path,repo_exists,git_commit,readme_present,python_file_count,davis_mentions,entrypoints_found,checkpoints_found,required_tools,missing_tools,expected_input_protocol,davis_adapter_status,local_code_status,notes
FCGS,/mnt/hdd2tC/hctang/third_party/FCGS,true,31e59a46f7e51505b46a7bbe6e53268ee3155fbf,true,42,0,encode_single_scene.py decode_single_scene.py decode_single_scene_validate.py,5,tmc3 cuda_ext torch lpips,tmc3,static 3DGS point_cloud.ply plus Gaussian-Splatting Scene source_path for validation,no DAVIS or Mono-DFCGS anchor adapter detected,present,"Can compress existing .ply 3DGS; Stage61 DAVIS anchors are tensor manifests, not FCGS-ready .ply scenes."
D-FCGS,/mnt/hdd2tC/hctang/third_party/D-FCGS,true,ae5231d77ac2787bade60a10a2d1223cd50bf8e2,true,88,0,scripts/run_dfcgs_infer.py scripts/run_dfcgs_train.py train_fcgsd.py validate.py summerize.py,1,tmc3 zstd cuda_ext torch pytorch3d colmap tiny-cuda-nn,tmc3,multi-view per-frame Gaussian sequence with 3DGStream/Colmap-style frame folders,no monocular DAVIS adapter detected,present,README pipeline assumes multiview video and per-frame GS generation; direct use on monocular DAVIS would violate the Mono-DFCGS input protocol unless adapted carefully.
CWGS,,false,,false,0,0,,0,unknown,code_checkout,not locally inventoried,no code checkout detected; old cwgs_rd_summary artifacts only,missing_optional,Optional supplemental baseline. Local old CWGS-like summaries exist under multisequence_rd but are not DAVIS scoped.
