step,task_id,sequence,codec,reference_gap,target_index,normalized_time,loss,loss_weight,weighted_loss,loss_psnr
56,stage79_00017220,soccerball,q12,8,45,0.7142857142857143,0.010214630514383316,1.5,0.015321945771574974,19.90777338132525
57,stage79_00004745,dancing,q12,4,6,0.5,0.022158006206154823,2.0,0.04431601241230965,16.544693203254095
58,stage79_00010753,lindy-hop,q12,8,27,0.375,0.018844379112124443,1.5,0.02826656773686409,17.24818167188661
59,stage79_00008514,hockey,q12,8,36,0.5,0.011679841205477715,1.5,0.017519760876893997,19.32563061680262
60,stage79_00008466,hockey,q12,4,51,0.75,0.006906887982040644,2.0,0.013813775964081287,21.60717587453549
61,stage79_00018893,tennis,q12,8,15,0.875,0.009230146184563637,1.5,0.013845219276845455,20.347914206808507
62,stage79_00019639,train,q12,4,69,0.25,0.010069606825709343,2.0,0.020139213651418686,19.969874864233834
63,stage79_00018005,stunt,q12,8,59,0.375,0.015530853532254696,1.5,0.023296279832720757,18.088046760060024
64,stage79_00005742,dog-gooses,q12,8,73,0.125,0.008502435870468616,1.5,0.012753654271364212,20.7045663504436
65,stage79_00001518,boxing-fisheye,q12,4,82,0.5,0.010537114925682545,2.0,0.02107422985136509,19.772782831816194
66,stage79_00013248,night-race,q12,8,20,0.5,0.006384433247148991,1.5,0.009576650336384773,21.948776494671943
67,stage79_00013522,paragliding,q12,4,47,0.75,0.0020458088256418705,2.0,0.004091617651283741,26.89134952172223
68,stage79_00009556,kite-walk,q12,8,45,0.625,0.007096829824149609,1.5,0.010645244270563126,21.48935608652877
69,stage79_00017573,stroller,q12,8,13,0.625,0.017051607370376587,1.5,0.02557741105556488,17.682346759569967
70,stage79_00006864,drone,q12,4,87,0.75,0.04970267042517662,2.0,0.09940534085035324,13.036202768650092
71,stage79_00012486,miami-surf,q12,8,44,0.5,0.0047982060350477695,1.5,0.007197309285402298,23.189211073554404
72,stage79_00008794,horsejump-low,q12,4,38,0.5,0.016886642202734947,2.0,0.033773284405469894,17.724566984336043
73,stage79_00019262,tractor-sand,q12,8,13,0.625,0.016776857897639275,1.5,0.025165285915136337,17.752893739897488
74,stage79_00014395,rhino,q12,8,11,0.375,0.01209601666778326,1.5,0.018144024536013603,19.173576234036073
75,stage79_00013770,planes-water,q12,4,21,0.25,0.0005086333840154111,2.0,0.0010172667680308223,32.93595138423259
76,stage79_00003486,classic-car,q12,4,51,0.75,0.028682028874754906,2.0,0.05736405774950981,15.423901313185446
77,stage79_00014320,rhino,q12,4,1,0.25,0.005406184587627649,2.0,0.010812369175255299,22.6710912992484
78,stage79_00010366,lady-running,q12,4,51,0.75,0.017069431021809578,2.0,0.034138862043619156,17.67780955054379
79,stage79_00011671,mallard-fly,q12,4,38,0.5,0.01991158165037632,2.0,0.03982316330075264,17.00894240989746
80,stage79_00006495,drift-turn,q12,8,45,0.625,0.027413267642259598,1.5,0.041119903326034546,15.620391937775457
