task_id,sequence,codec,reference_gap,target_index,predictor_name,base_method,full_predictor_method,setting_label,setting_role,keep_fraction,side_bits,adapter_delta_scale,keep_gaussians,residual_value_source,transmitted_residual_payload_bytes,transmitted_selected_index_bytes,q12_main_anchor_mib_per_frame,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,full_predictor_psnr,selected_predicted_psnr,delta_psnr_vs_base,delta_psnr_vs_full_predictor
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.03712952287814,0.0,-0.9268030511764813
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.099932058076064,0.06280253519792467,-0.8640005159785566
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.5,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.156887599756864,0.11975807687872475,-0.8070449742977566
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.75,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.188521682646225,0.1513921597680863,-0.775410891408395
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.175683682254792,0.13855415937665327,-0.788248891799828
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.088473170789108,0.05134364791096857,-0.8754594032655127
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.0,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.03712952287814,0.0,-0.9268030511764813
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.25,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.066497751745214,0.029368228867074464,-0.8974348223094069
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.5,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.09705275517762,0.059923232299482265,-0.866879818876999
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.75,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.113461158755165,0.0763316358770254,-0.8504714152994559
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,1.0,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.111701783796015,0.07457226091787561,-0.8522307902586057
stage79_00023867,cows,q12,4,70,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,1.25,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.18193822076791313,0.18193822076791313,0.18193822076791313,19.03712952287814,19.96393257405462,19.07815485039636,0.04102532751821997,-0.8857777236582614
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.30718744720951,0.0,2.1241389532925687
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.335911725045424,0.028724277835912915,2.1528632311284817
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.5,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.26143751909381,-0.045749928115700556,2.078389025176868
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.75,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.167699913727617,-0.13948753348189413,1.9846514198106746
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.120204944096717,-0.18698250311279452,1.9371564501797742
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.086793343459124,-0.2203941037503867,1.903744849542182
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.0,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.30718744720951,0.0,2.1241389532925687
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.25,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.341705272569456,0.034517825359944965,2.1586567786525137
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.5,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.322097117744487,0.014909670534976271,2.139048623827545
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,0.75,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.293816218101536,-0.013371229107974614,2.110767724184594
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,1.0,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.293156882267695,-0.014030564941815982,2.1101083883507528
stage79_00027310,judo,q12,16,15,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top10,low_rate,0.1,4,1.25,3686,feed_forward_stage65_adapter_delta_scaled,0,0,0.055468969746314975,0.055468969746314975,0.055468969746314975,27.30718744720951,25.183048493916942,27.27247260110041,-0.03471484610910025,2.0894241071834685
stage79_00026699,horsejump-high,q12,8,39,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,19.303614300597623,20.580935132048698,19.303614300597623,0.0,-1.2773208314510747
stage79_00026699,horsejump-high,q12,8,39,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.25,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,19.303614300597623,20.580935132048698,19.486392719772553,0.1827784191749302,-1.0945424122761445
stage79_00026699,horsejump-high,q12,8,39,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.5,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,19.303614300597623,20.580935132048698,19.63659980806578,0.3329855074681589,-0.9443353239829158
stage79_00026699,horsejump-high,q12,8,39,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,0.75,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,19.303614300597623,20.580935132048698,19.726734617931196,0.4231203173335736,-0.8542005141175011
stage79_00026699,horsejump-high,q12,8,39,adapter_delta_selected_scaled_v1,linear,stage65_adapter,q4_top20,primary,0.2,4,1.0,7373,feed_forward_stage65_adapter_delta_scaled,0,0,0.09762538675351436,0.09762538675351436,0.09762538675351436,19.303614300597623,20.580935132048698,19.736351604461994,0.43273730386437137,-0.8445835275867033
