frame_gap,sequence_count,mean_original_streamsplat_all_psnr,mean_original_streamsplat_middle_psnr,mean_original_streamsplat_given_psnr,mean_stage70_linear_uniform_all_psnr,mean_stage70_adapter_uniform_all_psnr,mean_stage70_adapter_predicted_all_psnr
4,4,23.244598036349643,20.881582891367685,29.745217856431786,20.137413494810616,20.608531857721726,20.634207426626656
8,4,20.682715912446714,19.17823812651332,29.71886975750609,18.063459460774446,18.54248864942665,18.525169717464813
16,4,18.353465837484507,17.3365956594116,29.689301009427645,16.59656669447801,17.01303254555753,17.096890478737578
