sample,frame_gap,frame_index,is_keyframe,psnr,ssim
DAVIS/val/bmx-trees,4,0,True,32.518113294130565,0.9154646396636963
DAVIS/val/bmx-trees,4,1,False,21.391052010045573,0.4953667223453522
DAVIS/val/bmx-trees,4,2,False,19.157666787983803,0.3937394917011261
DAVIS/val/bmx-trees,4,3,False,19.744042481571903,0.4173194468021393
DAVIS/val/bmx-trees,4,4,True,32.193336187229924,0.9136297702789307
DAVIS/val/bmx-trees,4,5,False,20.269676004512334,0.4884589612483978
DAVIS/val/bmx-trees,4,6,False,22.070784092210317,0.6111801266670227
DAVIS/val/bmx-trees,4,7,False,24.19999846666642,0.7086805701255798
DAVIS/val/bmx-trees,4,8,True,32.10594530551382,0.9143655300140381
DAVIS/val/bmx-trees,4,9,False,22.232184443464888,0.6303151249885559
DAVIS/val/bmx-trees,4,10,False,19.45470104236349,0.44958534836769104
DAVIS/val/bmx-trees,4,11,False,22.923099118452566,0.6532227396965027
DAVIS/val/bmx-trees,4,12,True,33.16816173527489,0.9238030314445496
DAVIS/val/bmx-trees,4,13,False,22.739278268049606,0.5830903649330139
DAVIS/val/bmx-trees,4,14,False,22.634901456908022,0.5947657227516174
DAVIS/val/bmx-trees,4,15,False,23.58576606969779,0.6506891846656799
DAVIS/val/bmx-trees,4,16,True,34.52257186468821,0.9319162964820862
DAVIS/val/bmx-trees,4,17,False,25.143175326224274,0.7643672823905945
DAVIS/val/bmx-trees,4,18,False,22.958524111237626,0.6534063220024109
DAVIS/val/bmx-trees,4,19,False,24.785209148179874,0.7727063298225403
DAVIS/val/bmx-trees,4,20,True,35.309364591606176,0.9423523545265198
DAVIS/val/bmx-trees,4,21,False,21.49614610046811,0.48754405975341797
DAVIS/val/bmx-trees,4,22,False,19.200714979090566,0.3485335409641266
DAVIS/val/bmx-trees,4,23,False,20.18856949439732,0.3953759968280792
DAVIS/val/bmx-trees,4,24,True,34.364392246347784,0.942652702331543
DAVIS/val/bmx-trees,4,25,False,26.063683406191608,0.8054129481315613
DAVIS/val/bmx-trees,4,26,False,22.3366072885899,0.625594437122345
DAVIS/val/bmx-trees,4,27,False,21.910100037535727,0.5902190208435059
DAVIS/val/bmx-trees,4,28,True,31.881694378766294,0.9332711100578308
DAVIS/val/bmx-trees,4,29,False,24.967814860900628,0.7763444781303406
DAVIS/val/bmx-trees,4,30,False,24.10357543932308,0.7214958071708679
DAVIS/val/bmx-trees,4,31,False,23.604349760940508,0.6409739851951599
DAVIS/val/bmx-trees,4,32,True,33.31694704513466,0.9433854222297668
DAVIS/val/bmx-trees,4,33,False,18.21152623547733,0.33459535241127014
DAVIS/val/bmx-trees,4,34,False,15.710133215666636,0.16853921115398407
DAVIS/val/bmx-trees,4,35,False,16.67749841420942,0.1846754103899002
DAVIS/val/bmx-trees,4,36,True,30.758241941371303,0.9289999604225159
DAVIS/val/bmx-trees,4,37,False,24.355250250090087,0.7573719024658203
DAVIS/val/bmx-trees,4,38,False,24.5191605397674,0.7605975270271301
DAVIS/val/bmx-trees,4,39,False,25.25484917098946,0.790973961353302
DAVIS/val/bmx-trees,4,40,True,30.063666910325367,0.9195411801338196
