sample,frame_gap,estimated_q8_static_mib_per_frame,keyframe_count,keyframe_ratio,linear_psnr,adapter_psnr,delta_psnr,margin_over_linear_psnr
robot,16,0.03561282467532467,6,0.07792207792207792,23.68752018680706,23.755596126401358,0.06807593959429781,0.06807593959429781
robot,8,0.06529017857142858,11,0.14285714285714285,21.2065569120507,21.230463662292394,0.023906750241692976,0.023906750241692976
robot,4,0.11870941558441558,20,0.2597402597402597,22.0418426521134,22.065700074084212,0.02385742197081342,0.02385742197081342
robot,2,0.2314833603896104,39,0.5064935064935064,22.645976203464308,22.67349864905237,0.027522445588061828,0.027522445588061828
