policy,task_count,mean_base_psnr,mean_endpoint_sideinfo_psnr,mean_selected_sideinfo_psnr,mean_teacher_oracle_sideinfo_psnr,mean_delta_psnr_vs_endpoint,mean_delta_psnr_vs_base,mean_gap_to_teacher_oracle_psnr,mean_precision_at_keep,mean_energy_recall_total,mean_relative_energy_recall_vs_oracle,selected_candidate_counts
always_shared_energy_regression,120,19.069223144778313,20.316812710325646,20.284564319533338,22.010204667924707,-0.03224839079231098,1.2153411747550242,-1.7256403483913645,0.35413953580427915,0.22550313671429953,0.5622866136332353,shared_energy_regression:120
always_shared_topk_bce,120,19.069223144778313,20.316812710325646,20.21561560612798,22.010204667924707,-0.10119710419766939,1.146392461349665,-1.7945890617967224,0.3524936699929337,0.2252779131755233,0.5629281335820754,shared_topk_bce:120
endpoint_only,120,19.069223144778313,20.316812710325646,20.316812710325646,22.010204667924707,0.0,1.2475895655473344,-1.6933919575990535,0.2671346528455615,0.1893698016492029,0.46772575688858825,endpoint_diff_baseline:120
group_best_mean_psnr,120,19.069223144778313,20.316812710325646,20.346872347170144,22.010204667924707,0.030059636844502392,1.2776492023918364,-1.6633323207545507,0.28972237242851406,0.20976792440439265,0.5007465288043023,endpoint_diff_baseline:60;shared_energy_regression:60
oracle_task_best,120,19.069223144778313,20.316812710325646,20.403744235652294,22.010204667924707,0.08693152532665556,1.3345210908739893,-1.606460432272398,0.3164971054531634,0.21355382911860943,0.5233506509413322,endpoint_diff_baseline:55;shared_energy_regression:44;shared_topk_bce:21
