policy,base_method,reference_gap,task_count,mean_selected_sideinfo_psnr,mean_endpoint_sideinfo_psnr,mean_delta_psnr_vs_endpoint,selection_accuracy,selected_candidate_counts
score_stat_mlp_cv,linear,16,78,19.07585681487049,19.046909687167492,0.02894712770300507,0.5,endpoint_diff_baseline:31;shared_energy_regression:25;shared_topk_bce:22
score_stat_mlp_cv,stage65_adapter,4,83,21.34888837957155,21.356867273139475,-0.00797889356792674,0.7710843373493976,endpoint_diff_baseline:66;shared_energy_regression:9;shared_topk_bce:8
score_stat_mlp_cv,stage65_adapter,8,79,20.52911847661248,20.525267394607553,0.003851082004932165,0.7215189873417721,endpoint_diff_baseline:53;shared_energy_regression:22;shared_topk_bce:4
score_stat_mlp_cv,stage65_adapter,16,78,19.208760101192166,19.190735747700458,0.018024353491706453,0.5769230769230769,endpoint_diff_baseline:51;shared_energy_regression:19;shared_topk_bce:8
stage106_fixed_group_policy,linear,4,83,21.27612458317156,21.299547171094733,-0.023422587923175493,0.3253012048192771,shared_energy_regression:83
stage106_fixed_group_policy,linear,8,79,20.384855703107963,20.375548431279512,0.009307271828446134,0.34177215189873417,shared_energy_regression:79
stage106_fixed_group_policy,linear,16,78,19.07337161798887,19.046909687167492,0.026461930821385912,0.3333333333333333,shared_energy_regression:78
stage106_fixed_group_policy,stage65_adapter,4,83,21.356867273139475,21.356867273139475,0.0,0.8072289156626506,endpoint_diff_baseline:83
stage106_fixed_group_policy,stage65_adapter,8,79,20.525267394607553,20.525267394607553,0.0,0.7088607594936709,endpoint_diff_baseline:79
stage106_fixed_group_policy,stage65_adapter,16,78,19.190735747700458,19.190735747700458,0.0,0.5897435897435898,endpoint_diff_baseline:78
stage110_group_best_policy,linear,4,83,21.299547171094733,21.299547171094733,0.0,0.5421686746987951,endpoint_diff_baseline:83
stage110_group_best_policy,linear,8,79,20.384855703107963,20.375548431279512,0.009307271828446134,0.34177215189873417,shared_energy_regression:79
stage110_group_best_policy,linear,16,78,19.07337161798887,19.046909687167492,0.026461930821385912,0.3333333333333333,shared_energy_regression:78
stage110_group_best_policy,stage65_adapter,4,83,21.356867273139475,21.356867273139475,0.0,0.8072289156626506,endpoint_diff_baseline:83
stage110_group_best_policy,stage65_adapter,8,79,20.525267394607553,20.525267394607553,0.0,0.7088607594936709,endpoint_diff_baseline:79
stage110_group_best_policy,stage65_adapter,16,78,19.190735747700458,19.190735747700458,0.0,0.5897435897435898,endpoint_diff_baseline:78
train_fold_group_policy,linear,4,83,21.299547171094733,21.299547171094733,0.0,0.5421686746987951,endpoint_diff_baseline:83
train_fold_group_policy,linear,8,79,20.37432236862148,20.375548431279512,-0.0012260626580379986,0.3291139240506329,endpoint_diff_baseline:15;shared_energy_regression:64
train_fold_group_policy,linear,16,78,19.07337161798887,19.046909687167492,0.026461930821385912,0.3333333333333333,shared_energy_regression:78
train_fold_group_policy,stage65_adapter,4,83,21.356867273139475,21.356867273139475,0.0,0.8072289156626506,endpoint_diff_baseline:83
train_fold_group_policy,stage65_adapter,8,79,20.525267394607553,20.525267394607553,0.0,0.7088607594936709,endpoint_diff_baseline:79
train_fold_group_policy,stage65_adapter,16,78,19.190735747700458,19.190735747700458,0.0,0.5897435897435898,endpoint_diff_baseline:78
