base_method,codec,reference_gap,task_count,mean_payload_bytes,mean_payload_mib_per_intermediate_frame,mean_theoretical_bytes_without_header,mean_zlib_whole_bytes,mean_component_zlib_bytes,mean_residual_zlib_bytes,mean_delta_index_zlib_bytes,mean_best_bytes,mean_best_mib_per_intermediate_frame,mean_best_ratio_vs_raw,mean_best_savings_bytes_vs_raw,best_candidate_counts
linear,q12,4,18,43381.0,0.04137134552001953,43362.5,34559.0,34314.333333333336,34597.166666666664,29669.38888888889,29669.38888888889,0.028294934166802302,0.683925886652887,13711.611111111111,"{""delta_index_zlib"": 18}"
linear,q12,8,19,43381.0,0.04137134552001953,43362.5,34998.78947368421,34767.10526315789,34990.26315789474,30261.052631578947,30261.052631578947,0.028859188682154605,0.6975646626767236,13119.947368421053,"{""delta_index_zlib"": 19}"
linear,q12,16,23,43381.0,0.04137134552001953,43362.5,34986.17391304348,34725.434782608696,34992.217391304344,30109.91304347826,30109.91304347826,0.02871505073879076,0.6940806584329144,13271.08695652174,"{""delta_index_zlib"": 23}"
stage65_adapter,q12,4,18,43381.0,0.04137134552001953,43362.5,39556.166666666664,39268.72222222222,39551.72222222222,34731.444444444445,34731.444444444445,0.033122486538357206,0.8006141961790748,8649.555555555555,"{""delta_index_zlib"": 18}"
stage65_adapter,q12,8,19,43381.0,0.04137134552001953,43362.5,40151.42105263158,39894.89473684211,40120.26315789474,35462.84210526316,35462.84210526316,0.033820001702559624,0.8174740578885493,7918.1578947368425,"{""delta_index_zlib"": 19}"
stage65_adapter,q12,16,23,43381.0,0.04137134552001953,43362.5,40197.608695652176,39904.34782608696,40177.69565217391,35405.782608695656,35405.782608695656,0.033765585526176124,0.8161587471173013,7975.217391304348,"{""delta_index_zlib"": 23}"
