budget_label,budget_bytes,chosen_cost_bytes,target_count,oracle_mean_corrected_psnr,fixed_mean_corrected_psnr,delta_psnr_vs_fixed,chosen_settings
topk_keep0p05_q6,4905660,4905660,37,22.519469828354364,22.519469828354364,0.0,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p05_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
topk_keep0p1_q6,5430475,5417451,37,23.65104222990221,23.633188273126244,0.017853956775965685,bike-packing:00048:00056:gap8=topk_keep0p05_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
topk_keep0p2_q6,6399092,6399092,37,25.382111703299287,25.382111703299287,0.0,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p2_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p2_q6
