setting_label,edge_count,target_count,total_cost_bytes,total_cost_mib,total_residual_payload_bytes,mean_corrected_psnr,mean_delta_psnr_vs_base,score_sum_psnr
topk_keep0p05_q6,6,37,4905660,4.678401947021484,587765.0,22.519469828354364,1.627647700365514,833.2203836491115
topk_keep0p1_q6,6,37,5430475,5.1789045333862305,1112580.0,23.633188273126244,2.7413661451373974,874.4279661056711
topk_keep0p2_q6,6,37,6399092,6.102649688720703,2081197.0,25.382111703299287,4.490289575310435,939.1381330220736
