frontier_index,cost_bytes,cost_mib,target_count,mean_corrected_psnr,score_sum_psnr,chosen_settings
61,5771676,5.504299163818359,37,24.371565961935836,901.7479405916259,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
62,5797460,5.528888702392578,37,24.38817462933106,902.3624612852493,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
63,5800857,5.53212833404541,37,24.41809378865551,903.4694701802539,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
64,5808519,5.539435386657715,37,24.459066159464065,904.9854479001705,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
65,5837700,5.567264556884766,37,24.50559398618374,906.7069774887984,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
66,5879895,5.607504844665527,37,24.53137434639862,907.660850816749,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p2_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
67,5881008,5.6085662841796875,37,24.555271077742677,908.545029876479,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
68,5892685,5.619702339172363,37,24.582474539274607,909.5515579531605,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p05_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p2_q6
69,5910189,5.636395454406738,37,24.60179890446235,910.266559465107,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
70,5923073,5.648682594299316,37,24.608996819151184,910.5328823085938,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
71,5952254,5.676511764526367,37,24.65552464587086,912.2544118972218,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
72,5963313,5.687058448791504,37,24.726416176003863,914.8773985121429,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
73,5992494,5.714887619018555,37,24.772944002723538,916.5989281007709,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
74,6034689,5.755127906799316,37,24.798724362938415,917.5528014287214,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p2_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
75,6047479,5.767325401306152,37,24.849824555814404,919.4435085651329,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p2_q6
76,6081094,5.799383163452148,37,24.87807274920584,920.4886917206161,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
77,6118074,5.834650039672852,37,24.91607502501605,921.8947759255939,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
78,6118855,5.835394859313965,37,24.922132742748957,922.1189114817114,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p2_q6;paragliding-launch:00060:00072:gap12=topk_keep0p1_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p2_q6
79,6136079,5.851820945739746,37,24.954953302296705,923.3332721849781,bike-packing:00048:00056:gap8=topk_keep0p1_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p2_q6
80,6147255,5.862479209899902,37,24.962602851735724,923.6163055142218,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p05_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
81,6161245,5.875821113586426,37,25.015250038293004,925.5642514168412,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
82,6190426,5.903650283813477,37,25.06177786501268,927.2857810054692,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p1_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
83,6203310,5.915937423706055,37,25.06897577970151,927.5521038489559,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
84,6232491,5.9437665939331055,37,25.115503606421186,929.2736334375838,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p05_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
85,6243550,5.954313278198242,37,25.18639513655419,931.896620052505,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
86,6272731,5.982142448425293,37,25.232922963273865,933.618149641133,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p1_q6
87,6314926,6.022382736206055,37,25.258703323488746,934.5720229690836,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p2_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p05_q6
88,6327716,6.034580230712891,37,25.30980351636473,936.462730105495,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p1_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p2_q6
89,6399092,6.102649688720703,37,25.382111703299287,939.1381330220736,bike-packing:00048:00056:gap8=topk_keep0p2_q6;dog:00036:00048:gap12=topk_keep0p2_q6;dogs-jump:00056:00060:gap4=topk_keep0p2_q6;paragliding-launch:00060:00072:gap12=topk_keep0p2_q6;parkour:00056:00060:gap4=topk_keep0p2_q6;parkour:00096:00099:gap8=topk_keep0p2_q6
