baseline_variant,compact_variant,bits,rows,mean_rate_saving_percent,mean_baseline_rate_mib_per_frame,mean_compact_rate_mib_per_frame,mean_all_psnr
legacy_dtype_raw,stage57_compact_raw_actual,8,4,-0.0078843090532823,0.03433849090220207,0.034341198254686636,25.08719681572384
legacy_dtype_raw,stage57_compact_raw_actual,10,4,37.471310438888885,0.06863314577530491,0.04291540819118855,25.88434351291017
legacy_dtype_raw,stage57_compact_raw_actual,12,4,24.979487140749605,0.06863343851371742,0.05148915872180884,25.99829100228245
legacy_dtype_raw,stage57_compact_raw_actual,16,4,-0.0038403725683813852,0.06863377448628302,0.06863641027879004,26.007848702576645
legacy_dtype_zlib,stage57_compact_zlib_actual,8,4,-0.012082983041822714,0.022424947227330017,0.02242765457981459,25.08719681572384
legacy_dtype_zlib,stage57_compact_zlib_actual,10,4,13.21108787307025,0.03456558694972506,0.029996156310240045,25.88434351291017
legacy_dtype_zlib,stage57_compact_zlib_actual,12,4,9.3464515290433,0.03911430598337413,0.035456150641172995,25.99829100228245
legacy_dtype_zlib,stage57_compact_zlib_actual,16,4,-0.005733974631345334,0.045981660607114554,0.045984296399621566,26.007848702576645
