codec_variant,method,bits,reference_gap,sample_count,mean_rate_mib_per_frame,mean_all_psnr,min_all_psnr,max_all_psnr
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,8,1,4,0.45703125,31.59313831970481,30.605119268782953,32.469080054119516
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,8,2,4,0.23137344426406925,29.9416547174089,27.95933423125426,30.894989100413937
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,8,3,4,0.1585540110930736,29.123178945393832,26.525310705101138,30.557429118219055
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,8,4,4,0.1185445413961039,28.353800472254953,25.354727880541567,30.429613143857733
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,8,8,4,0.06287202380952381,26.76407562614439,23.270675269064448,29.938123059399317
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,8,16,4,0.03429383116883117,25.117780219492623,21.40729802624383,29.20038990971024
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,10,1,4,0.5712890625,35.140331895469956,33.82014481890842,36.167097605138665
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,10,2,4,0.28921680533008653,32.34466381889291,29.85261190660548,33.641241180812564
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,10,3,4,0.198192513866342,31.07231488415196,27.8904831707143,33.21536212263464
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,10,4,4,0.14818067674512986,30.004076520589386,26.403484114970986,32.93621780699139
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,10,8,4,0.07859002976190475,27.929530755337282,23.881471481877888,32.053597208074876
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,10,16,4,0.04286728896103896,25.92315473960312,21.74404036664911,30.878676506823428
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,12,1,4,0.685546875,35.860499174248865,34.40694139540215,36.993874794053205
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,12,2,4,0.34706016639610393,32.78765454555389,30.25895728418325,34.101764571375774
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,12,3,4,0.2378310166396104,31.411313192616216,28.17895083294569,33.621455708465405
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,12,4,4,0.17781681209415584,30.28094395287165,26.622186747807188,33.300150239201145
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,12,8,4,0.09430803571428571,28.10939958761827,24.008591543102433,32.33865237537131
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,12,16,4,0.05144074675324675,26.038219272071547,21.814305095963604,31.09212964193053
compact_bitpack_raw_payload_estimate,rendered_prior_0p1,16,1,4,0.9140625,35.92033620942636,34.44643135630639,37.06440546146669
