fold,step,loss,train_accuracy
0,1,1.1701663732528687,0.3125
0,100,0.6203272342681885,0.6666666865348816
0,200,0.3476825952529907,0.8229166865348816
0,300,0.19222240149974823,0.9166666865348816
1,1,1.1070058345794678,0.3958333432674408
1,100,0.5208027362823486,0.75
1,200,0.3122304379940033,0.8541666865348816
1,300,0.2391255497932434,0.8854166865348816
2,1,1.1268385648727417,0.40625
2,100,0.6666811108589172,0.7083333134651184
2,200,0.38263991475105286,0.84375
2,300,0.24959717690944672,0.8958333134651184
3,1,1.116510272026062,0.4583333432674408
3,100,0.6162455081939697,0.71875
3,200,0.3216300308704376,0.8541666865348816
3,300,0.17190800607204437,0.9479166865348816
4,1,1.1296108961105347,0.2291666716337204
4,100,0.5761356949806213,0.6979166865348816
4,200,0.3160022497177124,0.8541666865348816
4,300,0.22815486788749695,0.8958333134651184
