group_key,setting_label,reference_gap,task_count,mean_base_psnr,mean_full_adapter_psnr,mean_adapter_delta_psnr,mean_adapter_delta_vs_base,mean_mlp_psnr,mean_mlp_delta_vs_base,mean_mlp_delta_vs_adapter_delta,mlp_base_regression_count,mlp_adapter_regression_count
gap,q4_top10,16,18,17.57321045419308,17.71892104032865,17.60720494201287,0.033994487819785806,17.503716300377484,-0.0694941538155981,-0.1034886416353839,7,11
gap,q4_top10,4,23,19.649148363504246,19.96518425303781,19.697384467479512,0.04823610397526586,19.583770475560733,-0.06537788794351491,-0.11361399191878077,11,21
gap,q4_top10,8,19,19.410525223673428,19.637830581144453,19.458909321818947,0.04838409814551862,19.28700267730211,-0.12352254637132043,-0.17190664451683904,10,15
gap,q4_top20,16,18,17.57321045419308,17.71892104032865,17.613533201759807,0.040322747566723334,17.403610939875392,-0.16959951431769138,-0.2099222618844147,9,11
gap,q4_top20,4,23,19.649148363504246,19.96518425303781,19.70558371784815,0.05643535434390463,19.501995232109067,-0.14715313139517883,-0.20358848573908347,13,21
gap,q4_top20,8,19,19.410525223673428,19.637830581144453,19.491765151910858,0.08123992823743027,19.163226093806312,-0.2472991298671118,-0.3285390581045421,12,15
setting,q4_top10,all,60,18.950802996431136,19.187643293125493,18.994813480380337,0.04401048394920189,18.865777753557186,-0.08502524287394495,-0.12903572682314685,28,47
setting,q4_top20,all,60,18.950802996431136,19.187643293125493,19.010259350474836,0.059456354043700026,18.76520305064309,-0.1855999457880447,-0.24505629983174473,34,47
