rank_type,rank,task_id,sequence,gap,target_index,normalized_time,psnr,ssim,ms_ssim,lpips,stage151_recovered_psnr,stage151_recovered_ssim,stage151_recovered_lpips,contact_sheet_path
highest_original_lpips,1,stage79_00028835,motocross-jump,8,13,0.625,14.721935068555451,0.4268844425678253,0.31247860193252563,0.6770032644271851,17.09649470079111,0.45292040705680847,0.6126717329025269,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,2,stage79_00028843,motocross-jump,8,22,0.75,12.472897671347383,0.4210059940814972,0.18034245073795319,0.6688511967658997,14.017364407778736,0.4747592508792877,0.5726987719535828,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,3,stage79_00030550,shooting,8,12,0.5,13.832039684158046,0.2929039001464844,0.1743832230567932,0.6566853523254395,16.652653727963077,0.39914438128471375,0.587620735168457,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,4,stage79_00028811,motocross-jump,4,22,0.5,13.382142950217844,0.4249404966831207,0.28308480978012085,0.6503110527992249,14.469213815925698,0.4757796823978424,0.5703761577606201,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,5,stage79_00028812,motocross-jump,4,23,0.75,14.094692782607366,0.44769611954689026,0.3551819920539856,0.6208215951919556,16.01943610666431,0.5389552712440491,0.5213975310325623,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,6,stage79_00021991,bmx-trees,8,35,0.375,15.552224068839411,0.19959938526153564,0.2985188364982605,0.5763093829154968,16.530294026858613,0.30610179901123047,0.5932411551475525,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,7,stage79_00027754,lab-coat,8,36,0.5,14.747739216133855,0.37649664282798767,0.3713522255420685,0.5675578117370605,18.52550168724045,0.4952661991119385,0.4726555049419403,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,8,stage79_00027753,lab-coat,8,35,0.375,14.32422824644359,0.3529540002346039,0.3329145610332489,0.5634276270866394,18.02907097334998,0.4728566110134125,0.4882572591304779,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,9,stage79_00030547,shooting,8,9,0.125,17.212635287433137,0.37488970160484314,0.45180460810661316,0.550696611404419,19.117396613707808,0.46464598178863525,0.5125280022621155,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,10,stage79_00027040,india,8,27,0.375,18.494547012837074,0.4687354564666748,0.6102928519248962,0.5129131078720093,19.80225836747487,0.49703899025917053,0.48132699728012085,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,11,stage79_00027043,india,8,30,0.75,17.664604255396718,0.5171011090278625,0.6032533645629883,0.5101820826530457,19.11471452161254,0.5119674205780029,0.4628632068634033,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
highest_original_lpips,12,stage79_00025591,drift-straight,8,19,0.375,14.42454255956334,0.16218063235282898,0.2969926595687866,0.4983656406402588,15.422412700218898,0.32031622529029846,0.5034502148628235,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_highest_original_lpips.jpg
lowest_original_ssim,1,stage79_00026019,goat,8,75,0.375,14.551624359461622,0.0891624465584755,0.15403105318546295,0.48763400316238403,17.23733293357901,0.3038075864315033,0.5091736316680908,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,2,stage79_00025890,goat,4,3,0.75,16.28298099619465,0.13895510137081146,0.44201427698135376,0.3948400616645813,18.203419520506642,0.3272343873977661,0.47936153411865234,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,3,stage79_00026022,goat,8,78,0.75,16.44815920715964,0.1584826558828354,0.4776567816734314,0.37546324729919434,18.6583918557969,0.3373861312866211,0.42377614974975586,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,4,stage79_00025591,drift-straight,8,19,0.375,14.42454255956334,0.16218063235282898,0.2969926595687866,0.4983656406402588,15.422412700218898,0.32031622529029846,0.5034502148628235,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,5,stage79_00021928,bmx-trees,4,35,0.75,16.67697824299807,0.198175847530365,0.462201863527298,0.4233485162258148,17.72017115004423,0.33808815479278564,0.5162867307662964,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,6,stage79_00021991,bmx-trees,8,35,0.375,15.552224068839411,0.19959938526153564,0.2985188364982605,0.5763093829154968,16.530294026858613,0.30610179901123047,0.5932411551475525,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,7,stage79_00025922,goat,4,46,0.5,18.115857486803144,0.23181231319904327,0.572296142578125,0.41813331842422485,18.70811144835988,0.34773799777030945,0.48124635219573975,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,8,stage79_00024684,dog,4,6,0.5,20.65554823615968,0.2616732716560364,0.5703935623168945,0.3862418532371521,22.344149717297768,0.44376739859580994,0.4167436957359314,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,9,stage79_00030550,shooting,8,12,0.5,13.832039684158046,0.2929039001464844,0.1743832230567932,0.6566853523254395,16.652653727963077,0.39914438128471375,0.587620735168457,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,10,stage79_00024429,dance-twirl,8,68,0.5,16.853718206786688,0.29407382011413574,0.5738440155982971,0.45683783292770386,20.904268166066764,0.4897126257419586,0.4689469039440155,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,11,stage79_00021621,blackswan,8,10,0.25,19.85138865930614,0.32582005858421326,0.6296667456626892,0.3940630555152893,21.865116746330205,0.4956629276275635,0.39985498785972595,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_ssim,12,stage79_00022883,camel,8,75,0.375,19.213471722359884,0.3315218687057495,0.7408965826034546,0.3084881603717804,20.408097176996733,0.38774266839027405,0.3602471947669983,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_ssim.jpg
lowest_original_psnr,1,stage79_00028843,motocross-jump,8,22,0.75,12.472897671347383,0.4210059940814972,0.18034245073795319,0.6688511967658997,14.017364407778736,0.4747592508792877,0.5726987719535828,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,2,stage79_00028811,motocross-jump,4,22,0.5,13.382142950217844,0.4249404966831207,0.28308480978012085,0.6503110527992249,14.469213815925698,0.4757796823978424,0.5703761577606201,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
lowest_original_psnr,3,stage79_00030550,shooting,8,12,0.5,13.832039684158046,0.2929039001464844,0.1743832230567932,0.6566853523254395,16.652653727963077,0.39914438128471375,0.587620735168457,/data/hctang/tmp/opencode/mono_dfcgs_runs/stage154_original_streamsplat_middle_base_alignment/stage154_badcases_lowest_original_psnr.jpg
