sample,method,reference_gap,bits,payload_dtype,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,raw_mib_per_frame,zlib_mib_per_frame,theoretical_bitpacked_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,max_roundtrip_abs_diff,max_segment_length,mean_segment_length,segment_lengths,indices,checkpoint,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim
n3dv,uniform,2,12,uint16,81,41,0.5061728395061729,0.23133680555555555,0.46297660874731744,0.26633025981761793,0.3470052083333333,42.47435944156411,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,34.12392741863556,33.92885735535585,-0.195070063279708,33.852466329142956,33.45744945100157,-0.39501687814138364,34.3887675059454,34.3887675059454,0.0,0.9674848774333059,0.9663094856120922,0.9658559665083886,0.9634757980704307
n3dv,uniform,2,16,uint16,81,41,0.5061728395061729,0.23133680555555555,0.4629793049376688,0.3129082785712348,0.4626736111111111,32.41419751723852,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,34.16029581999595,33.95865713385019,-0.2016386861457633,33.885562538685974,33.477244199240815,-0.4083183394451595,34.428328289566664,34.428328289566664,0.0,0.9681113789111008,0.9668557158222905,0.9664665803313255,0.9639238625764847
n3dv,rendered_prior_0p1,2,8,uint8,81,41,0.5061728395061729,0.23133680555555555,0.2316327153900523,0.15272452507489992,0.23133680555555555,34.066081806396326,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.508640245840535,30.628127521890942,0.11948727605040688,30.42157342117856,30.663535155180625,0.24196173400206433,30.593583489413195,30.593583489413195,0.0,0.902701512530998,0.9077433281474643,0.9016120448708534,0.9118217214941978
n3dv,rendered_prior_0p1,2,10,uint16,81,41,0.5061728395061729,0.23133680555555555,0.46297473671995565,0.2355223055239077,0.2891710069444444,49.128475736599306,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.58287519751239,33.473680809218656,-0.10919438829373007,33.355813129705574,33.13469449341077,-0.2211186362948041,33.80439916610439,33.80439916610439,0.0,0.9594736327359705,0.9592652997852843,0.9580023944377899,0.9575805202126503
n3dv,rendered_prior_0p1,2,12,uint16,81,41,0.5061728395061729,0.23133680555555555,0.46297660874731744,0.26633025981761793,0.3470052083333333,42.47435944156411,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,34.12392741863556,33.92885735535585,-0.195070063279708,33.852466329142956,33.45744945100157,-0.39501687814138364,34.3887675059454,34.3887675059454,0.0,0.9674848774333059,0.9663094856120922,0.9658559665083886,0.9634757980704307
n3dv,rendered_prior_0p1,2,16,uint16,81,41,0.5061728395061729,0.23133680555555555,0.4629793049376688,0.3129082785712348,0.4626736111111111,32.41419751723852,0.0,2,2.0,2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2,0 2 4 6 8 10 12 14 16 18 20 22 24 26 28 30 32 34 36 38 40 42 44 46 48 50 52 54 56 58 60 62 64 66 68 70 72 74 76 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,34.16029581999595,33.95865713385019,-0.2016386861457633,33.885562538685974,33.477244199240815,-0.4083183394451595,34.428328289566664,34.428328289566664,0.0,0.9681113789111008,0.9668557158222905,0.9664665803313255,0.9639238625764847
n3dv,uniform,3,8,uint8,81,28,0.345679012345679,0.1579861111111111,0.15818863150514204,0.10429403516981336,0.1579861111111111,34.069829053155935,0.0,3,2.962962962962963,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2,0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,30.392385707675764,30.548358487675863,0.1559727800000985,30.28144277833689,30.519816272299302,0.23837349396241336,30.602384823924353,30.602384823924353,0.0,0.9013292222847173,0.9080128684455966,0.9000277485487596,0.9102423775870845
n3dv,uniform,3,10,uint16,81,28,0.345679012345679,0.1579861111111111,0.3161785219922478,0.160827624944993,0.1974826388888889,49.13391841684418,0.0,3,2.962962962962963,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2,0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.338993479484884,33.209870217129506,-0.1291232623553782,33.086182715348336,32.88884338986182,-0.19733932548651723,33.8175281401719,33.8175281401719,0.0,0.9579454859097799,0.9577049546771579,0.9563471135103477,0.9559795091736991
n3dv,uniform,3,12,uint16,81,28,0.345679012345679,0.1579861111111111,0.316179852426788,0.18187326266441817,0.23697916666666666,42.4779089279475,0.0,3,2.962962962962963,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2,0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.84600843941215,33.61122995813421,-0.23477848127794232,33.55120425351132,33.192391857595965,-0.35881239591535774,34.40403064843873,34.40403064843873,0.0,0.965904614807647,0.9643818184181496,0.9641864974543733,0.9618592048591038
n3dv,uniform,3,16,uint16,81,28,0.345679012345679,0.1579861111111111,0.31618155962155187,0.21368636614010658,0.3159722222222222,32.41656268762959,0.0,3,2.962962962962963,3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 2,0 3 6 9 12 15 18 21 24 27 30 33 36 39 42 45 48 51 54 57 60 63 66 69 72 75 78 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/n3dv/stage25_best_anchor_adapter.safetensors,33.87972844342753,33.63693124372124,-0.24279719970628832,33.581726693518846,33.2106592750998,-0.3710674184190452,34.443803184326114,34.443803184326114,0.0,0.9665232514157708,0.9648954390007772,0.9647929972072817,0.962305208422103
