sample,method,reference_gap,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices
driving,uniform,8,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80
driving,motion_spaced,8,81,11,0.13580246913580246,0.062065972222222224,16,8.0,1 2 2 1 6 4 16 16 16 16,0 1 3 5 6 12 16 32 48 64 80
driving,gaussian_spaced,8,81,11,0.13580246913580246,0.062065972222222224,16,8.0,2 2 2 4 2 4 16 16 16 16,0 2 4 6 10 12 16 32 48 64 80
driving,rd_spaced,8,81,11,0.13580246913580246,0.062065972222222224,16,8.0,2 2 2 2 4 4 16 16 16 16,0 2 4 6 8 12 16 32 48 64 80
driving,uniform,16,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80
driving,motion_spaced,16,81,6,0.07407407407407407,0.033854166666666664,32,16.0,1 5 26 32 16,0 1 6 32 64 80
driving,gaussian_spaced,16,81,6,0.07407407407407407,0.033854166666666664,32,16.0,10 2 20 32 16,0 10 12 32 64 80
driving,rd_spaced,16,81,6,0.07407407407407407,0.033854166666666664,32,16.0,6 6 20 32 16,0 6 12 32 64 80
robot,uniform,4,77,20,0.2597402597402597,0.11870941558441558,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76
robot,motion_spaced,4,77,20,0.2597402597402597,0.11870941558441558,8,4.0,8 2 1 5 6 1 1 8 8 1 2 1 1 3 8 8 8 3 1,0 8 10 11 16 22 23 24 32 40 41 43 44 45 48 56 64 72 75 76
robot,gaussian_spaced,4,77,20,0.2597402597402597,0.11870941558441558,8,4.0,8 2 2 4 6 2 2 6 6 2 2 2 2 2 4 4 8 8 4,0 8 10 12 16 22 24 26 32 38 40 42 44 46 48 52 56 64 72 76
robot,rd_spaced,4,77,20,0.2597402597402597,0.11870941558441558,8,4.0,8 2 1 1 4 6 2 8 8 1 1 1 1 4 6 2 8 8 4,0 8 10 11 12 16 22 24 32 40 41 42 43 44 48 54 56 64 72 76
robot,uniform,8,77,11,0.14285714285714285,0.06529017857142858,8,7.6,8 8 8 8 8 8 8 8 8 4,0 8 16 24 32 40 48 56 64 72 76
robot,motion_spaced,8,77,11,0.14285714285714285,0.06529017857142858,16,7.6,11 5 16 8 1 2 1 4 16 12,0 11 16 32 40 41 43 44 48 64 76
robot,gaussian_spaced,8,77,11,0.14285714285714285,0.06529017857142858,16,7.6,10 2 4 16 8 2 2 4 16 12,0 10 12 16 32 40 42 44 48 64 76
robot,rd_spaced,8,77,11,0.14285714285714285,0.06529017857142858,16,7.6,10 6 8 8 8 2 2 4 16 12,0 10 16 24 32 40 42 44 48 64 76
robot,uniform,16,77,6,0.07792207792207792,0.03561282467532467,16,15.2,16 16 16 16 12,0 16 32 48 64 76
robot,motion_spaced,16,77,6,0.07792207792207792,0.03561282467532467,32,15.2,32 8 4 20 12,0 32 40 44 64 76
robot,gaussian_spaced,16,77,6,0.07792207792207792,0.03561282467532467,32,15.2,32 10 2 20 12,0 32 42 44 64 76
robot,rd_spaced,16,77,6,0.07792207792207792,0.03561282467532467,32,15.2,32 8 4 20 12,0 32 40 44 64 76
