base_method,codec,reference_gap,task_count,keep_fraction,side_bits,mean_fixed_payload_bytes,mean_entropy_payload_bytes,mean_fixed_mib_per_intermediate_frame,mean_entropy_mib_per_intermediate_frame,mean_entropy_ratio_vs_fixed,mean_entropy_savings_bytes_vs_fixed,max_decoded_max_abs_diff_vs_fixed,mean_base_psnr,mean_entropy_psnr,mean_delta_psnr_vs_base,positive_delta_count
linear,q12,4,3,0.1,6,43381.0,29763.666666666668,0.04137134552001953,0.028384844462076824,0.6860991371030328,13617.333333333334,0.0,19.98979652819421,23.327021755289916,3.3372252270957077,3
linear,q12,8,5,0.1,6,43381.0,30815.4,0.04137134552001953,0.029387855529785158,0.71034323782301,12565.6,0.0,18.12111775349949,20.94541228168298,2.8242945281834873,5
linear,q12,16,4,0.1,6,43381.0,29559.5,0.04137134552001953,0.028190135955810547,0.6813927756391047,13821.5,0.0,19.1130149705525,23.589545045225233,4.476530074672733,4
stage65_adapter,q12,4,3,0.1,6,43381.0,35026.0,0.04137134552001953,0.03340339660644531,0.8074041631128835,8355.0,0.0,20.48273820637705,23.352831018389125,2.870092812012075,3
stage65_adapter,q12,8,5,0.1,6,43381.0,36109.8,0.04137134552001953,0.03443698883056641,0.8323874507272769,7271.2,0.0,18.532358493984642,20.943699759081163,2.41134126509652,5
stage65_adapter,q12,16,4,0.1,6,43381.0,34910.25,0.04137134552001953,0.03329300880432129,0.8047359443074157,8470.75,0.0,19.075010088585586,22.48232041707169,3.407310328486104,4
