sequence,frame_index,adaptive_psnr,adaptive_ssim,adaptive_ms_ssim,adaptive_lpips,adaptive_payload_bytes,gap8_psnr,gap8_lpips,gap4_psnr,gap4_lpips,delta_psnr_gap4_vs_adaptive,delta_lpips_gap4_vs_adaptive,low_psnr_flag,high_lpips_flag,high_payload_flag,risk_score
cows,3,24.605850237144907,0.7710261344909668,0.9753870368003845,0.20701459050178528,234307,24.605850237144907,0.20701459050178528,24.620436176044528,0.2069324404001236,0.014585938899621453,-8.215010166168213e-05,1,0,1,1.6802897628550935
cows,36,24.354139544430705,0.7525124549865723,0.9727692604064941,0.22110389173030853,213988,24.354139544430705,0.22110389173030853,24.642088873818672,0.2112828493118286,0.2879493293879669,-0.00982104241847992,1,1,0,1.6679382901754658
dance-twirl,60,25.838499991259823,0.7668313980102539,0.9737368822097778,0.29519954323768616,212401,25.838499991259823,0.29519954323768616,26.69303900059274,0.23018261790275574,0.8545390093329175,-0.06501692533493042,1,1,0,1.6654908734939
cows,2,24.587782761568853,0.7692415714263916,0.9750701189041138,0.2121584266424179,232541,24.587782761568853,0.2121584266424179,24.558911217610554,0.2107909619808197,-0.028871543958299384,-0.0013674646615982056,1,0,1,1.663037238431147
cows,99,24.763596212337124,0.7757372260093689,0.9764546751976013,0.2085343450307846,240400,24.763596212337124,0.2085343450307846,24.772407506758544,0.20764517784118652,0.008811294421420257,-0.0008891671895980835,1,0,1,1.6444037876628763
cows,21,24.68284824948284,0.7713093161582947,0.9757590293884277,0.2072567343711853,236062,24.621140019800897,0.2070951908826828,24.70565621576908,0.20670178532600403,0.022807966286237047,-0.0005549490451812744,1,0,1,1.6383917505171586
india,38,34.662545889898084,0.871569812297821,0.981231153011322,0.27676764130592346,244486,34.662545889898084,0.27676764130592346,34.21711434287693,0.2980082631111145,-0.4454315470211512,0.02124062180519104,0,1,1,1.6250728261184693
cows,27,24.66850302177665,0.7708485126495361,0.9756743311882019,0.2059355229139328,234152,24.66850302177665,0.2059355229139328,24.70114060954558,0.20688217878341675,0.032637587768928,0.0009466558694839478,1,0,1,1.614536978223349
cows,62,24.625171883976876,0.7659256458282471,0.9746920466423035,0.21187016367912292,231970,24.595719404759564,0.212300106883049,24.625171883976876,0.21187016367912292,0.0,0.0,1,0,1,1.6142281160231244
cows,90,24.674222850001204,0.7725235819816589,0.9758332967758179,0.2082338184118271,234352,24.674222850001204,0.2082338184118271,24.67321909689836,0.2079392671585083,-0.0010037531028430635,-0.0002945512533187866,1,0,1,1.612817149998796
cows,77,24.544544224720095,0.7642926573753357,0.9750221371650696,0.21192656457424164,227737,24.544544224720095,0.21192656457424164,24.554880630292203,0.21141549944877625,0.01033640557210802,-0.0005110651254653931,1,0,1,1.6101957752799048
cows,20,24.60900780621655,0.7694564461708069,0.9754335880279541,0.21334096789360046,229948,24.549304499811132,0.21066240966320038,24.64605948448476,0.2067708969116211,0.03705167826820954,-0.00657007098197937,1,0,1,1.5899521937834504
cows,89,24.617712713359488,0.7712869644165039,0.9755221605300903,0.2092004418373108,229765,24.617712713359488,0.2092004418373108,24.61644002601465,0.2091141641139984,-0.001272687344837209,-8.627772331237793e-05,1,0,1,1.577587286640512
cows,53,24.577238167431105,0.7603611350059509,0.9736663699150085,0.21418288350105286,227666,24.577238167431105,0.21418288350105286,24.684695402965147,0.21320408582687378,0.10745723553404218,-0.0009787976741790771,1,0,1,1.576081832568895
cows,52,24.62412221864775,0.7617260813713074,0.9743024706840515,0.20898647606372833,229947,24.62412221864775,0.20898647606372833,24.78495169227617,0.20344077050685883,0.16082947362842148,-0.005545705556869507,1,0,1,1.5748177813522513
cows,94,24.60087680891583,0.7737559676170349,0.9761367440223694,0.2073034644126892,228715,24.60087680891583,0.2073034644126892,24.588385352520987,0.2060883641242981,-0.012491456394844391,-0.0012151002883911133,1,0,1,1.5734231910841685
cows,26,24.703532818196436,0.7722416520118713,0.9755560159683228,0.21361540257930756,233654,24.703532818196436,0.21361540257930756,24.684344523095056,0.2123955935239792,-0.019188295101379538,-0.0012198090553283691,1,0,1,1.569547181803564
parkour,68,25.318703614293913,0.7534287571907043,0.9707241654396057,0.2381431609392166,245810,25.318703614293913,0.2381431609392166,26.171716401058596,0.17886975407600403,0.8530127867646833,-0.059273406863212585,1,1,1,1.5603596044904195
cows,50,24.63484313774732,0.7639009952545166,0.9745672941207886,0.21035948395729065,229042,24.63484313774732,0.21035948395729065,24.548806448904056,0.21119999885559082,-0.0860366888432651,0.0008405148983001709,1,0,1,1.5459968622526787
mbike-trick,67,29.515817522024065,0.8392130732536316,0.9791548252105713,0.2972831726074219,209969,29.515817522024065,0.2972831726074219,29.947891537913694,0.2462327480316162,0.43207401588962924,-0.051050424575805664,0,1,0,1.5456634521484376
cows,69,24.675261551551596,0.768358051776886,0.9751600623130798,0.2079598754644394,230481,24.675261551551596,0.2079598754644394,24.705700439359404,0.20856055617332458,0.0304388878078079,0.0006006807088851929,1,0,1,1.5343584484484036
cows,57,24.797494676625988,0.7714484333992004,0.9754095077514648,0.20793381333351135,236453,24.837268883510028,0.2076205611228943,24.797494676625988,0.20793381333351135,0.0,0.0,1,0,1,1.5315653233740125
cows,38,24.46886198087499,0.7604700922966003,0.9744235277175903,0.2165135145187378,210270,24.46886198087499,0.2165135145187378,24.404010214105764,0.21735280752182007,-0.06485176676922677,0.0008392930030822754,1,0,0,1.5311380191250095
cows,51,24.693566613490713,0.7654992938041687,0.9747102856636047,0.2152421772480011,230959,24.693566613490713,0.2152421772480011,24.69810417601358,0.21638914942741394,0.004537562522866523,0.0011469721794128418,1,0,1,1.525613386509287
cows,101,24.66557309844,0.7721688151359558,0.9760112762451172,0.21056246757507324,229539,24.66557309844,0.21056246757507324,24.69353353829395,0.21014803647994995,0.027960439853949026,-0.000414431095123291,1,0,1,1.5252069015600005
cows,22,24.656779214646093,0.77200847864151,0.9757376909255981,0.20611105859279633,228738,24.6365808710671,0.2052360475063324,24.671671209138324,0.20661908388137817,0.01489199449223122,0.0005080252885818481,1,0,1,1.517980785353907
cows,46,24.649692422518985,0.7663688659667969,0.9748095273971558,0.21435873210430145,228062,24.659517242186006,0.21505963802337646,24.62431488757304,0.2141849398612976,-0.025377534945945968,-0.00017379224300384521,1,0,1,1.511547577481015
cows,95,24.511913956015754,0.7708070874214172,0.9756737351417542,0.21341349184513092,221073,24.511913956015754,0.21341349184513092,24.49973127432589,0.21315370500087738,-0.012182681689864694,-0.00025978684425354004,1,0,1,1.5095460439842465
cows,47,24.621086978474622,0.7656526565551758,0.974960207939148,0.21559005975723267,226519,24.61905431348876,0.21502327919006348,24.608724352084593,0.21471193432807922,-0.012362626390029163,-0.0008781254291534424,1,0,1,1.5092930215253777
cows,44,24.500951682926086,0.7600528597831726,0.9739909768104553,0.21472960710525513,216232,24.480407551756276,0.21388579905033112,24.6130965709642,0.21091046929359436,0.11214488803811307,-0.0038191378116607666,1,0,0,1.499048317073914
cows,6,24.668394887791184,0.7708258628845215,0.9756850004196167,0.20930419862270355,228227,24.668394887791184,0.20930419862270355,24.675714077070417,0.21003997325897217,0.007319189279233029,0.0007357746362686157,1,0,1,1.496145112208816
cows,37,24.506388690093956,0.7597154974937439,0.9740098714828491,0.21305492520332336,213387,24.506388690093956,0.21305492520332336,24.60069071871477,0.20918656885623932,0.09430202862081316,-0.0038683563470840454,1,0,0,1.4936113099060435
cows,75,24.698449308216194,0.7678622603416443,0.97479248046875,0.2096978724002838,229438,24.698449308216194,0.2096978724002838,24.773500919504926,0.2092585563659668,0.07505161128873183,-0.0004393160343170166,1,0,1,1.490310691783806
