candidate,keyframe_count,rate_mib_per_frame_additive,delta_rate_vs_gap8,delta_rate_vs_full,mean_psnr,delta_psnr_vs_gap8,delta_psnr_vs_full,mean_lpips,delta_lpips_vs_gap8,changed_frame_count_vs_full,mean_changed_delta_psnr_vs_full,worst_changed_delta_psnr_vs_full,mean_changed_delta_lpips_vs_full
interval_top10pct_cells,299,0.2773746177516859,0.0014903267483045712,-0.01339097998630051,29.38112562842953,0.007160756589655648,-0.044457063631128335,0.16832458856830065,-0.0003671911342433831,370,-0.24018829783400902,-5.309560997374348,0.012896950120055997
interval_score_ge4p0,324,0.2829920490602662,0.00710775805688485,-0.007773548677720232,29.41013285788653,0.03616798604665661,-0.015449834174127375,0.16682702663534876,-0.001864753067195274,223,-0.13849425342634009,-2.3890793771766035,0.007974193903362804
interval_top90pct_cells,353,0.289479501370253,0.013595210366871668,-0.0012860963677334136,29.424507356466457,0.05054248462658251,-0.0010753355942014764,0.16601754864188598,-0.002674231060658061,35,-0.06141702436602228,-1.2776672922430699,0.004574249471936907
