candidate,sequence,frame_index,full_type,candidate_type,full_psnr,candidate_psnr,delta_psnr_candidate_vs_full,gap8_psnr,delta_psnr_candidate_vs_gap8,full_lpips,candidate_lpips,delta_lpips_candidate_vs_full,gap8_lpips,delta_lpips_candidate_vs_gap8,candidate_payload_bytes
interval_score_ge4p0,libby,28,stage158_residual_recovery,stage158_residual_recovery,33.69092802334603,31.30184864616943,-2.3890793771766035,31.30184864616943,0.0,0.14273743331432343,0.23070737719535828,0.08796994388103485,0.23070737719535828,0.0,263871
interval_score_ge4p0,libby,29,q12_keyframe,stage158_residual_recovery,34.385498041859336,32.13907657960446,-2.2464214622548724,32.13907657960446,0.0,0.12100536376237869,0.209022656083107,0.0880172923207283,0.209022656083107,0.0,262764
interval_score_ge4p0,libby,36,stage158_residual_recovery,stage158_residual_recovery,33.382378734842085,31.685309389371177,-1.6970693454709078,31.685309389371177,0.0,0.17785456776618958,0.2432263195514679,0.06537175178527832,0.2432263195514679,0.0,260725
interval_score_ge4p0,libby,37,stage158_residual_recovery,stage158_residual_recovery,34.391738157608856,32.762031106366585,-1.6297070512422707,32.762031106366585,0.0,0.13387475907802582,0.20284265279769897,0.06896789371967316,0.20284265279769897,0.0,259926
interval_score_ge4p0,libby,38,q12_keyframe,stage158_residual_recovery,34.62579354682394,33.314345638396404,-1.3114479084275388,33.314345638396404,0.0,0.10688602924346924,0.15972508490085602,0.05283905565738678,0.15972508490085602,0.0,258286
interval_score_ge4p0,libby,19,stage158_residual_recovery,stage158_residual_recovery,32.347950765003475,31.0382985655977,-1.3096521994057753,31.0382985655977,0.0,0.18745799362659454,0.23769794404506683,0.05023995041847229,0.23769794404506683,0.0,252191
interval_score_ge4p0,dogs-jump,11,stage158_residual_recovery,stage158_residual_recovery,31.980360824697268,30.702693532454198,-1.2776672922430699,30.702693532454198,0.0,0.15749505162239075,0.24475069344043732,0.08725564181804657,0.24475069344043732,0.0,167230
interval_score_ge4p0,libby,27,stage158_residual_recovery,stage158_residual_recovery,32.148489884651724,30.919443490689993,-1.229046393961731,30.919443490689993,0.0,0.19673828780651093,0.23483014106750488,0.03809185326099396,0.23483014106750488,0.0,256868
interval_score_ge4p0,libby,18,stage158_residual_recovery,stage158_residual_recovery,33.45954386449466,32.29024215512315,-1.16930170937151,32.29024215512315,0.0,0.13682906329631805,0.20117449760437012,0.06434543430805206,0.20117449760437012,0.0,251515
interval_score_ge4p0,dogs-jump,10,q12_keyframe,stage158_residual_recovery,32.6332003134894,31.592337666034133,-1.0408626474552634,31.592337666034133,0.0,0.10117612779140472,0.18272162973880768,0.08154550194740295,0.18272162973880768,0.0,155834
interval_score_ge4p0,libby,17,q12_keyframe,stage158_residual_recovery,34.56307675162756,33.643754838021806,-0.9193219136057564,33.643754838021806,0.0,0.08847600966691971,0.13125832378864288,0.042782314121723175,0.13125832378864288,0.0,245152
