sample,method,reference_gap,total_frames,keyframe_count,indices,raw_path,zlib_path,raw_bitstream_bytes,zlib_bitstream_bytes,raw_mib_per_frame,zlib_mib_per_frame,zlib_savings_percent_vs_raw_bitstream,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,max_roundtrip_abs_diff,mean_roundtrip_mse
meetroom,uniform,16,81,6,0 16 32 48 64 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_uniform_gap16_q8_zlib.mdfcgs,2878977,1851435,0.03389637558548539,0.021798345777723525,35.691219485254656,25.931059230358613,25.9925422175848,0.06148298722618506,25.488498235474264,25.55489986167854,0.06640162620427503,0.8686625847110042,0.8821232554353313,0.8649900452295939,0.8795275696118673,0.0,0.0
meetroom,rendered_prior_0p1,16,81,6,0 16 34 50 64 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_rendered_prior_0p1_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/meetroom_rendered_prior_0p1_gap16_q8_zlib.mdfcgs,2878981,1851473,0.033896422680513356,0.021798793180489245,35.68998892316414,25.976216621963054,26.038275635725196,0.06205901376214129,25.534786023753824,25.601809758616934,0.06702373486310975,0.8691440769183782,0.8826179048161448,0.8654783503214518,0.8800300844510396,0.0,0.0
driving,uniform,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_uniform_gap4_q8_zlib.mdfcgs,10076082,6403516,0.11863334090621383,0.07539344128267264,36.44835363586759,27.918159891285423,27.987355651411722,0.06919576012629847,26.337111877661762,26.430526153832265,0.09341427617050257,0.7710227694040463,0.7754659476103606,0.7283048699299495,0.7343031605084737,0.0,0.0
driving,rendered_prior_0p1,4,81,21,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_rendered_prior_0p1_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_rendered_prior_0p1_gap4_q8_zlib.mdfcgs,10076082,6403516,0.11863334090621383,0.07539344128267264,36.44835363586759,27.918159891285423,27.987355651411722,0.06919576012629847,26.337111877661762,26.430526153832265,0.09341427617050257,0.7710227694040463,0.7754659476103606,0.7283048699299495,0.7343031605084737,0.0,0.0
driving,uniform,8,81,11,0 8 16 24 32 40 48 56 64 72 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_uniform_gap8_q8_zlib.mdfcgs,5278015,3355880,0.06214206601366585,0.03951131561656057,36.41776311738409,25.722301850385016,25.776341229195026,0.05403937881001042,24.67251167422008,24.735042955414524,0.0625312811944454,0.70124500769156,0.7062944946465669,0.6711267301014492,0.6769697078636714,0.0,0.0
driving,rendered_prior_0p1,8,81,11,0 7 16 25 33 41 49 57 65 73 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_rendered_prior_0p1_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_rendered_prior_0p1_gap8_q8_zlib.mdfcgs,5277981,3356899,0.0621416657059281,0.0395233130749361,36.39804690467813,25.760310436036985,25.80974233483715,0.049431898800165186,24.70994168536249,24.76714145397411,0.057199768611617685,0.7009155150548911,0.7058368413536636,0.6707212622676577,0.6764159398419517,0.0,0.0
driving,uniform,16,81,6,0 16 32 48 64 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_uniform_gap16_q8_zlib.mdfcgs,2878962,1833024,0.033896198979130494,0.021581579137731483,36.330385743194945,23.76875803859573,23.804673762790383,0.03591572419465194,23.079622516033428,23.118411498163656,0.03878898213022808,0.6309859112456992,0.6359695516250752,0.610102678934733,0.615485010544459,0.0,0.0
driving,rendered_prior_0p1,16,81,6,0 14 31 47 62 80,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_rendered_prior_0p1_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/driving_rendered_prior_0p1_gap16_q8_zlib.mdfcgs,2878961,1832763,0.033896187205373504,0.021578506187156395,36.33942939831418,23.788782399927722,23.825157306291235,0.036374906363512594,23.09910549148434,23.138390390356935,0.039284898872594454,0.6294729172447582,0.6348553664154477,0.6083548537890117,0.6141678988933563,0.0,0.0
robot,uniform,4,77,20,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_uniform_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_uniform_gap4_q8_zlib.mdfcgs,9596402,6441439,0.11885509243259182,0.07977967448048777,32.87651976230258,25.1543985695563,25.19141168744805,0.03701311789174966,22.82414386674953,22.874144043550658,0.05000017680112734,0.7914315578225372,0.8025368839115291,0.757226942924031,0.7722288746582834,0.0,0.0
robot,rendered_prior_0p1,4,77,20,0 5 9 14 18 22 26 30 34 38 42 45 48 52 56 60 64 68 72 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_rendered_prior_0p1_gap4_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_rendered_prior_0p1_gap4_q8_zlib.mdfcgs,9596364,6439471,0.11885462178812399,0.07975530005120612,32.89676173183927,25.316699559002004,25.354727880541567,0.03802832153956359,23.04006766679285,23.09143925904806,0.05137159225520804,0.7948025085709312,0.8055106300812263,0.7617818305366918,0.7762471876646343,0.0,0.0
robot,uniform,8,77,11,0 8 16 24 32 40 48 56 64 72 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_uniform_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_uniform_gap8_q8_zlib.mdfcgs,5278081,3546953,0.06537104272223138,0.04393036334545582,32.7984356435606,22.962144328620898,22.983025497793417,0.02088116917251881,21.488095166754647,21.51245653078925,0.024361364034604094,0.7515562130259229,0.7635170430332036,0.7284991479281223,0.7424534496032831,0.0,0.0
robot,rendered_prior_0p1,8,77,11,0 6 13 20 29 39 48 56 62 69 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_rendered_prior_0p1_gap8_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_rendered_prior_0p1_gap8_q8_zlib.mdfcgs,5278095,3542091,0.06537121611756164,0.04387014562433416,32.890730462411156,23.250841881262676,23.270675269064448,0.01983338780177135,21.833160258542364,21.856299210977763,0.023138952435399318,0.758166219506945,0.7699745320654535,0.7364664746053291,0.7502428392569224,0.0,0.0
robot,uniform,16,77,6,0 16 32 48 64 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_uniform_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_uniform_gap16_q8_zlib.mdfcgs,2879014,1935207,0.035657684524337964,0.023968275491293375,32.78229977346411,21.422427755729462,21.42626162360916,0.003833867879698971,20.55028502701207,20.55444288372667,0.004157856714599006,0.7221902554685419,0.7349693775177002,0.7080584563000102,0.7219175041561395,0.0,0.0
robot,rendered_prior_0p1,16,77,6,0 18 33 48 69 76,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_rendered_prior_0p1_gap16_q8_raw.mdfcgs,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage46_calibrated_adaptive_actual_bitstream_rd/robot_rendered_prior_0p1_gap16_q8_zlib.mdfcgs,2878990,1935491,0.03565738727520039,0.023971792939421418,32.771874858891486,21.410227849641917,21.40729802624383,-0.00292982339808745,20.53863028049062,20.535452866382833,-0.0031774141077853812,0.7220566326921637,0.7338373095958264,0.7078700972274995,0.7206463242920351,0.0,0.0
