task_id,sequence,reference_gap,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
stage199_00027608,parkour,4,74,0.5,topk_keep0p05_q6,0.05,6,16131,0.011031175032258034,0.007596313022077084,0.3113777090959501,0.019517790526151657,0.014468287117779255,17.095693473563603,18.39582881412358,1.3001353405599758,ok,
stage199_00027608,parkour,4,74,0.5,topk_keep0p1_q6,0.1,6,30751,0.011031175032258034,0.005755628924816847,0.47823972441866924,0.019517790526151657,0.011329839006066322,17.095693473563603,19.457762612993367,2.3620691394297637,ok,
stage199_00027608,parkour,4,74,0.5,topk_keep0p2_q6,0.2,6,58553,0.011031175032258034,0.0034824868198484182,0.6843049983646603,0.019517790526151657,0.007753280457109213,17.095693473563603,21.10514506141162,4.009451587848016,ok,
stage199_00021405,camel,8,86,0.75,topk_keep0p05_q6,0.05,6,16345,0.004893378354609013,0.0024088381323963404,0.5077351559935099,0.006794048938900232,0.005677897483110428,21.678713291442698,22.458124531136797,0.7794112396940989,ok,
stage199_00021405,camel,8,86,0.75,topk_keep0p1_q6,0.1,6,30471,0.004893378354609013,0.001670070574618876,0.6587080635107937,0.006794048938900232,0.005108096171170473,21.678713291442698,22.917409347806903,1.2386960563642049,ok,
stage199_00021405,camel,8,86,0.75,topk_keep0p2_q6,0.2,6,56075,0.004893378354609013,0.0009329775348305702,0.8093387702277691,0.006794048938900232,0.004309030715376139,21.678713291442698,23.656204101885354,1.9774908104426565,ok,
stage199_00023350,dogs-jump,4,13,0.25,topk_keep0p05_q6,0.05,6,15759,0.003184071509167552,0.0007535706972703338,0.7633311013585407,0.004775308538228273,0.0015451029175892472,23.209985629030477,28.110425874025935,4.900440244995458,ok,
stage199_00023350,dogs-jump,4,13,0.25,topk_keep0p1_q6,0.1,6,29700,0.003184071509167552,0.0003651392471510917,0.8853231637229925,0.004775308538228273,0.0010473952861502767,23.209985629030477,29.798893849920375,6.588908220889898,ok,
stage199_00023350,dogs-jump,4,13,0.25,topk_keep0p2_q6,0.2,6,53793,0.003184071509167552,0.00011482577247079462,0.9639374391749088,0.004775308538228273,0.0007142967078834772,23.209985629030477,31.461213514872934,8.251227885842457,ok,
stage199_00025584,judo,8,21,0.625,topk_keep0p05_q6,0.05,6,15058,0.002183498116210103,0.0007348739891313016,0.6634418946022165,0.005200930405408144,0.0019001709297299385,22.839189575594176,27.212073303631943,4.372883728037767,ok,
stage199_00025584,judo,8,21,0.625,topk_keep0p1_q6,0.1,6,27987,0.002183498116210103,0.0003056379791814834,0.8600237037474623,0.005200930405408144,0.0011190788354724646,22.839189575594176,29.511393177570213,6.672203601976037,ok,
stage199_00025584,judo,8,21,0.625,topk_keep0p2_q6,0.2,6,51172,0.002183498116210103,5.0486316467868164e-05,0.9768782413444453,0.005200930405408144,0.0006902668974362314,22.839189575594176,31.609829532167808,8.770639956573632,ok,
stage199_00022694,dance-twirl,4,65,0.25,topk_keep0p05_q6,0.05,6,16080,0.008299948647618294,0.004437164403498173,0.4653985714994229,0.0111544793471694,0.007367611862719059,19.525506962836317,21.32673261519054,1.8012256523542227,ok,
stage199_00022694,dance-twirl,4,65,0.25,topk_keep0p1_q6,0.1,6,30468,0.008299948647618294,0.0029634106904268265,0.642960358402074,0.0111544793471694,0.005952209234237671,19.525506962836317,22.253218107152538,2.7277111443162205,ok,
stage199_00022694,dance-twirl,4,65,0.25,topk_keep0p2_q6,0.2,6,57259,0.008299948647618294,0.0015399148687720299,0.8144669402004174,0.0111544793471694,0.004465690813958645,19.525506962836317,23.501113489851264,3.9756065270149463,ok,
stage199_00025526,judo,4,15,0.75,topk_keep0p05_q6,0.05,6,14539,0.0006951888790354133,0.00011684490164043382,0.8319235172424534,0.001664564711973071,0.0008235622080974281,27.786993164541318,30.843035906495867,3.056042741954549,ok,
stage199_00025526,judo,4,15,0.75,topk_keep0p1_q6,0.1,6,26902,0.0006951888790354133,3.1951942219166085e-05,0.9540384733088654,0.001664564711973071,0.0006773181376047432,27.786993164541318,31.69207294456852,3.905079780027201,ok,
stage199_00025526,judo,4,15,0.75,topk_keep0p2_q6,0.2,6,45836,0.0006951888790354133,1.1209295735170599e-05,0.9838758989488962,0.001664564711973071,0.0006567399832420051,27.786993164541318,31.826065424564696,4.039072260023378,ok,
stage199_00025911,lab-coat,4,5,0.25,topk_keep0p05_q6,0.05,6,16076,0.006622946355491877,0.0035340574104338884,0.46639196201500577,0.009018981829285622,0.005823581479489803,20.448424880546852,22.348098438047813,1.899673557500961,ok,
stage199_00025911,lab-coat,4,5,0.25,topk_keep0p1_q6,0.1,6,30356,0.006622946355491877,0.0023535205982625484,0.6446414523181268,0.009018981829285622,0.004815358202904463,20.448424880546852,23.173714012167896,2.725289131621043,ok,
stage199_00025911,lab-coat,4,5,0.25,topk_keep0p2_q6,0.2,6,56065,0.006622946355491877,0.001221414073370397,0.8155784438209172,0.009018981829285622,0.0036818385124206543,20.448424880546852,24.339352638229393,3.8909277576825403,ok,
stage199_00023892,drift-straight,4,11,0.75,topk_keep0p05_q6,0.05,6,15642,0.01892431080341339,0.013180570676922798,0.3035111918292206,0.042308419942855835,0.02553323283791542,13.73573193598327,15.92894194409174,2.193210008108469,ok,
stage199_00023892,drift-straight,4,11,0.75,topk_keep0p1_q6,0.1,6,30428,0.01892431080341339,0.00957887340337038,0.4938323776820114,0.042308419942855835,0.018199298530817032,13.73573193598327,17.39945351029561,3.6637215743123406,ok,
stage199_00023892,drift-straight,4,11,0.75,topk_keep0p2_q6,0.2,6,59242,0.01892431080341339,0.00525261927396059,0.7224406569663202,0.042308419942855835,0.010372409597039223,13.73573193598327,19.841203416692096,6.105471480708825,ok,
