setting_label,keep_fraction,side_bits,task_count,mean_payload_bytes,mean_base_psnr,mean_corrected_psnr,mean_delta_psnr_vs_base,mean_anchor_mse_reduction,mean_corrected_anchor_mse
topk_keep0p05_q6,0.05,6,12,15679.583333333334,19.999033822428466,22.39462808214667,2.3955942597182047,0.5102364961382247,0.004349201011185262
topk_keep0p1_q6,0.1,6,12,29836.75,19.999033822428466,23.804629721924517,3.8055958994960553,0.688443254187152,0.002933865787478377
topk_keep0p2_q6,0.2,6,12,55761.833333333336,19.999033822428466,25.552135029430517,5.553101207002054,0.8435545876871436,0.0015371987649359653
