gap,method,side_bits,task_count,mean_psnr,min_psnr,p10_psnr,mean_ssim,min_ssim,p10_ssim,mean_ms_ssim,mean_lpips,p90_lpips,mean_payload_bytes,mean_side_mib_per_intermediate,mean_direct_total_mib_per_frame_ref,mean_delta_psnr_vs_original,mean_delta_ssim_vs_original,mean_delta_ms_ssim_vs_original,mean_delta_lpips_vs_original
4,image_residual_sideinfo_full_frame,3,30,25.134758535637857,21.361813296826718,22.7473450361972,0.7263571123282114,0.5967466235160828,0.6413805961608887,0.9236845235029857,0.3135005762179693,0.41565817594528204,55879.36666666667,0.05329071680704753,0.23522893757496063,2.8129329537096694,0.1133913055062294,0.11121563911437989,0.016015485922495524
4,image_residual_sideinfo_full_frame,4,30,32.280546434337076,29.30915536016212,30.36170381171098,0.8786723375320434,0.7870612144470215,0.8279148757457733,0.9775982022285461,0.15282797639568646,0.20505481958389282,78548.73333333334,0.0749099095662435,0.2568481303341566,9.958720852408895,0.2657065307100614,0.1651293178399404,-0.14465711389978728
4,image_residual_sideinfo_full_frame,5,30,38.58263712216673,36.321062534325954,37.03462997261895,0.9556477765242258,0.914132833480835,0.9393673896789551,0.9937580347061157,0.06366377485295137,0.09389072582125672,152725.96666666667,0.14565083185831706,0.32758905262623017,16.260811540238546,0.3426819697022438,0.18128915031750997,-0.23382131544252235
4,image_residual_sideinfo_full_frame,6,30,44.611105711164456,42.26937790109795,42.85229646940562,0.9868493815263112,0.9748044013977051,0.9801356554031372,0.9983977874120077,0.02161600081405292,0.05190759338438511,208014.66666666666,0.19837824503580728,0.3803164658037204,22.289280129236282,0.37388357470432915,0.1859289030234019,-0.2758690894814208
4,original_streamsplat_base,0,30,22.321825581928188,14.094692782607366,18.184874443272292,0.6129658068219821,0.23181231319904327,0.3722861886024475,0.8124688843886058,0.2974850902954737,0.4201940566301346,0.0,0.0,0.1819382207679131,0.0,0.0,0.0,0.0
8,image_residual_sideinfo_full_frame,3,30,24.81127672184807,20.710464860518236,22.06270267953762,0.7088924904664358,0.52312833070755,0.6269384503364563,0.9148616870244344,0.32558591216802596,0.4239487886428833,56604.5,0.05398225784301758,0.15160764459653192,4.286096005491049,0.17204359744985898,0.20102293988068898,-0.03262886554002762
8,image_residual_sideinfo_full_frame,4,30,31.718739219329834,28.365447060129718,29.540455694883974,0.863465295235316,0.7531229853630066,0.7902803838253021,0.9742599070072174,0.17084391911824545,0.24912019520998005,82349.4,0.07853450775146484,0.17615989450497918,11.193558502972811,0.32661640221873917,0.260421159863472,-0.18737085858980815
8,image_residual_sideinfo_full_frame,5,30,37.935986353647216,35.72320843455932,36.321179410084156,0.9500470280647277,0.9156184792518616,0.9229984164237977,0.9929966171582539,0.07246888174364964,0.130467689037323,159691.56666666668,0.15229374567667645,0.24991913243019076,17.4108056372902,0.413198135048151,0.2791578700145086,-0.285745895964404
8,image_residual_sideinfo_full_frame,6,30,44.071608468752665,41.830282639240735,42.39090810321694,0.9855471909046173,0.9742603302001953,0.9771617650985718,0.9982479174931844,0.023286066545794407,0.05169111303985119,215642.0,0.20565223693847656,0.3032776236919908,23.54642775239563,0.44869829788804055,0.28440917034943897,-0.3349287111622592
8,original_streamsplat_base,0,30,20.52518071635703,12.472897671347383,15.471775583568856,0.5368488930165768,0.0891624465584755,0.3541204065084458,0.7138387471437454,0.3582147777080536,0.5523827314376831,0.0,0.0,0.09762538675351437,0.0,0.0,0.0,0.0
