task_id,sequence,gap,codec,target_index,normalized_time,method,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original
stage79_00022790,camel,4,q12,51,0.75,original_streamsplat_base,0,21.501344241364198,0.5592225790023804,0.8880974650382996,0.25653350353240967,0,0.0,0.18193822076791313,0.18193822076791313,0.0,0.0,0.0,0.0
stage79_00022790,camel,4,q12,51,0.75,image_residual_sideinfo_full_frame,3,24.566535059803158,0.7483590245246887,0.9368642568588257,0.25291335582733154,87276,0.08323287963867188,0.18193822076791313,0.265171100406585,3.0651908184389605,0.18913644552230835,0.04876679182052612,-0.003620147705078125
stage79_00022790,camel,4,q12,51,0.75,image_residual_sideinfo_full_frame,4,32.11558570149212,0.9130806922912598,0.9858483672142029,0.07678693532943726,113095,0.10785579681396484,0.18193822076791313,0.28979401758187795,10.614241460127925,0.3538581132888794,0.09775090217590332,-0.1797465682029724
stage79_00022790,camel,4,q12,51,0.75,image_residual_sideinfo_full_frame,5,38.439629923698455,0.9741982817649841,0.9964881539344788,0.020212458446621895,210126,0.2003917694091797,0.18193822076791313,0.3823299901770928,16.938285682334257,0.41497570276260376,0.1083906888961792,-0.23632104508578777
stage79_00022790,camel,4,q12,51,0.75,image_residual_sideinfo_full_frame,6,44.64099619732796,0.9935638904571533,0.9991635084152222,0.004651311784982681,262341,0.25018787384033203,0.18193822076791313,0.43212609460824514,23.13965195596376,0.43434131145477295,0.11106604337692261,-0.251882191747427
stage79_00030095,pigs,8,q12,42,0.25,original_streamsplat_base,0,24.377009198085133,0.6502456665039062,0.8529384732246399,0.32172346115112305,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00030095,pigs,8,q12,42,0.25,image_residual_sideinfo_full_frame,3,28.889878268457526,0.8087169528007507,0.9607483744621277,0.2694688141345978,53143,0.050681114196777344,0.09762538675351436,0.1483065009502917,4.512869070372393,0.15847128629684448,0.10780990123748779,-0.05225464701652527
stage79_00030095,pigs,8,q12,42,0.25,image_residual_sideinfo_full_frame,4,34.34315968249803,0.9022989273071289,0.98433518409729,0.12467721104621887,94464,0.090087890625,0.09762538675351436,0.18771327737851434,9.9661504844129,0.25205326080322266,0.13139671087265015,-0.19704625010490417
stage79_00030095,pigs,8,q12,42,0.25,image_residual_sideinfo_full_frame,5,40.7472472120301,0.9726443290710449,0.9964813590049744,0.034363627433776855,183995,0.17547130584716797,0.09762538675351436,0.2730966926006823,16.37023801394497,0.32239866256713867,0.14354288578033447,-0.2873598337173462
stage79_00030095,pigs,8,q12,42,0.25,image_residual_sideinfo_full_frame,6,46.931825889467895,0.9930999279022217,0.9991621971130371,0.007642516866326332,239946,0.22883033752441406,0.09762538675351436,0.3264557242779284,22.55481669138276,0.34285426139831543,0.14622372388839722,-0.3140809442847967
stage79_00022382,breakdance,8,q12,6,0.75,original_streamsplat_base,0,19.16457032226849,0.7028393745422363,0.8273356556892395,0.2658421993255615,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
