source,role,setting_label,base_method,codec,reference_gap,task_count,keep_fraction,side_bits,sideinfo_payload_bytes,sideinfo_mib_per_intermediate_frame,q12_main_anchor_mib_per_frame,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,psnr,delta_psnr_vs_base,delta_psnr_vs_q6_top10,stage96_entropy_direct_total_mib_per_frame,stage96_entropy_amortized_total_mib_per_frame,stage96_entropy_psnr,direct_rate_delta_vs_stage96_entropy,amortized_rate_delta_vs_stage96_entropy,psnr_delta_vs_stage96_entropy
stage121_compressed_deterministic,primary,q4_top20,linear,q12,4,18,0.2,4,25263.61111111111,0.02409325705634223,0.1819382207679131,0.20603147782425532,0.20000816356016976,19.984796422852106,22.52847059655277,2.5436741737006665,1.0432226010067145,0.21042431365324843,0.2033027904319146,23.403532118481326,-0.004392835828993108,-0.003294626871744838,-0.8750615219285578
stage121_compressed_deterministic,primary,q4_top20,linear,q12,8,19,0.2,4,26430.263157894737,0.025205863149542557,0.09762538675351438,0.12283124990305694,0.1196805170093641,18.457589807006293,20.625780407666987,2.1681906006606932,0.8883090464362307,0.12665608623246688,0.1230272487975978,21.51362735577916,-0.003824836329409942,-0.0033467317882336922,-0.8878469481121734
stage121_compressed_deterministic,primary,q4_top20,linear,q12,16,23,0.2,4,26101.130434782608,0.02489197772482167,0.05546896974631497,0.0803609474711366,0.07880519886333526,17.08421543617396,19.28284171682514,2.198626280651186,0.929785244365737,0.08430766643343285,0.08250524789048798,20.344147709407626,-0.0039467189622962445,-0.0037000490271527214,-1.0613059925824864
stage121_compressed_deterministic,primary,q4_top20,stage65_adapter,q12,4,18,0.2,4,29971.722222222223,0.02858326170179579,0.1819382207679131,0.2105214824697089,0.20337566704425994,20.041732308843873,22.363876145837203,2.322143836993329,0.9862410410686101,0.21508592669374865,0.20679900021228975,22.841151135422116,-0.00456444422403976,-0.003423333168029813,-0.4772749895849131
stage121_compressed_deterministic,primary,q4_top20,stage65_adapter,q12,8,19,0.2,4,31281.315789473683,0.02983218745181435,0.09762538675351438,0.12745757420532872,0.12372855077385193,18.706547218120296,20.75237208013356,2.045824862013263,0.8549892170301032,0.13149337333220473,0.12725987500986843,21.39901144086742,-0.004035799126876016,-0.0035313242360165004,-0.6466393607338574
stage121_compressed_deterministic,primary,q4_top20,stage65_adapter,q12,16,23,0.2,4,30757.08695652174,0.02933224387790846,0.05546896974631497,0.08480121362422338,0.08296794838185412,17.32823013943833,19.346086585827976,2.0178564463896445,0.8538338402878954,0.08923517723400179,0.08712478926602138,20.292022340267458,-0.004433963609778407,-0.004156840884167262,-0.945935754439482
stage121_compressed_deterministic,low_rate,q4_top10,linear,q12,4,18,0.1,4,13720.444444444445,0.013084835476345487,0.1819382207679131,0.19502305624425859,0.1917518473751722,19.984796422852106,21.456383764370702,1.4715873415185947,-0.028864231175357524,0.21042431365324843,0.2033027904319146,23.403532118481326,-0.015401257408989844,-0.011550943056742397,-1.9471483541106238
stage121_compressed_deterministic,low_rate,q4_top10,linear,q12,8,19,0.1,4,14230.842105263158,0.013571588616622122,0.09762538675351438,0.1111969753701365,0.10950052679305873,18.457589807006293,19.700707204954686,1.2431173979483974,-0.0367641562760652,0.12665608623246688,0.1230272487975978,21.51362735577916,-0.015459110862330386,-0.013526722004539068,-1.8129201508244748
stage121_compressed_deterministic,low_rate,q4_top10,linear,q12,16,23,0.1,4,13926.91304347826,0.013281739276388416,0.05546896974631497,0.06875070902270336,0.06792060031792908,17.08421543617396,18.329279761548516,1.2450643253745575,-0.023776710910891074,0.08430766643343285,0.08250524789048798,20.344147709407626,-0.015556957410729488,-0.014584647572558895,-2.014867947859109
stage121_compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,4,18,0.1,4,16149.277777777777,0.015401151445176866,0.1819382207679131,0.19733937221308995,0.19348908435179574,20.041732308843873,21.35108292855556,1.3093506197116846,-0.026552176213033976,0.21508592669374865,0.20679900021228975,22.841151135422116,-0.017746554480658705,-0.013309915860494015,-1.4900682068665567
