point_type,role,setting_label,base_method,codec,reference_gap,rate_mode,rate_mib_per_frame,sideinfo_mib_per_intermediate_frame,psnr,delta_psnr_vs_base,task_count
compressed_deterministic,primary,q4_top20,linear,q12,4,direct,0.20603147782425532,0.02409325705634223,22.52847059655277,2.5436741737006665,18
compressed_deterministic,primary,q4_top20,linear,q12,4,amortized,0.20000816356016976,0.02409325705634223,22.52847059655277,2.5436741737006665,18
compressed_deterministic,primary,q4_top20,linear,q12,8,direct,0.12283124990305694,0.025205863149542557,20.625780407666987,2.1681906006606932,19
compressed_deterministic,primary,q4_top20,linear,q12,8,amortized,0.1196805170093641,0.025205863149542557,20.625780407666987,2.1681906006606932,19
compressed_deterministic,primary,q4_top20,linear,q12,16,direct,0.0803609474711366,0.02489197772482167,19.28284171682514,2.198626280651186,23
compressed_deterministic,primary,q4_top20,linear,q12,16,amortized,0.07880519886333526,0.02489197772482167,19.28284171682514,2.198626280651186,23
compressed_deterministic,primary,q4_top20,stage65_adapter,q12,4,direct,0.2105214824697089,0.02858326170179579,22.363876145837203,2.322143836993329,18
compressed_deterministic,primary,q4_top20,stage65_adapter,q12,4,amortized,0.20337566704425994,0.02858326170179579,22.363876145837203,2.322143836993329,18
compressed_deterministic,primary,q4_top20,stage65_adapter,q12,8,direct,0.12745757420532872,0.02983218745181435,20.75237208013356,2.045824862013263,19
compressed_deterministic,primary,q4_top20,stage65_adapter,q12,8,amortized,0.12372855077385193,0.02983218745181435,20.75237208013356,2.045824862013263,19
compressed_deterministic,primary,q4_top20,stage65_adapter,q12,16,direct,0.08480121362422338,0.02933224387790846,19.346086585827976,2.0178564463896445,23
compressed_deterministic,primary,q4_top20,stage65_adapter,q12,16,amortized,0.08296794838185412,0.02933224387790846,19.346086585827976,2.0178564463896445,23
compressed_deterministic,low_rate,q4_top10,linear,q12,4,direct,0.19502305624425859,0.013084835476345487,21.456383764370702,1.4715873415185947,18
compressed_deterministic,low_rate,q4_top10,linear,q12,4,amortized,0.1917518473751722,0.013084835476345487,21.456383764370702,1.4715873415185947,18
compressed_deterministic,low_rate,q4_top10,linear,q12,8,direct,0.1111969753701365,0.013571588616622122,19.700707204954686,1.2431173979483974,19
compressed_deterministic,low_rate,q4_top10,linear,q12,8,amortized,0.10950052679305873,0.013571588616622122,19.700707204954686,1.2431173979483974,19
compressed_deterministic,low_rate,q4_top10,linear,q12,16,direct,0.06875070902270336,0.013281739276388416,18.329279761548516,1.2450643253745575,23
