role,setting_label,keep_fraction,side_bits,task_row_count,mean_sideinfo_payload_bytes,mean_sideinfo_mib_per_intermediate_frame,mean_direct_total_mib_per_frame,mean_amortized_total_mib_per_frame,mean_base_psnr,mean_psnr,mean_delta_psnr_vs_base,mean_delta_psnr_vs_q6_top10,weighted_direct_rate_delta_vs_stage96_entropy,weighted_amortized_rate_delta_vs_stage96_entropy,weighted_psnr_delta_vs_stage96_entropy
primary,q4_top20,0.2,4,120,28320.791666666668,0.027008811632792156,0.1337680887378662,0.13005386354500142,18.484019740725135,20.689270746602087,2.2052510058769683,0.9223020959187475,-0.004194490114847849,-0.0036026234428088084,-0.8305321438068527
low_rate,q4_top10,0.1,4,120,15190.475,0.01448676586151123,0.12124604296658527,0.11924717736218463,18.484019740725135,19.73848817438193,1.2544684336567946,-0.028480476301425663,-0.016716535886128772,-0.014409309625625632,-1.781314716027025
near_anchor,q5_top10,0.1,5,120,24809.95,0.023660612106323243,0.13041988921139727,0.127149533351005,18.484019740725135,19.761047533309117,1.2770277925839815,-0.005921117374238853,-0.007542689641316756,-0.006506953636805241,-1.7587553570998395
anchor,q6_top10,0.1,6,120,29442.208333333332,0.028078277905782063,0.1348375550108561,0.13095624756787308,18.484019740725135,19.766968650683353,1.2829489099582205,0.0,-0.0031250238418579373,-0.0027002394199371602,-1.7528342397255992
