sample,reference_gap,method,selector_delta_adapter_all_psnr,selector_delta_adapter_middle_psnr,selector_delta_linear_all_psnr,selector_delta_linear_middle_psnr
n3dv,16,full_sample_z_rank_prior_0p05,-0.08331225964552402,-0.09187586064605213,-0.08767288348663627,-0.09658533439444739
n3dv,16,full_sample_z_rank_prior_0p1,-0.10972185710225801,-0.12039801832928987,-0.10999465061667735,-0.12069263532486829
n3dv,16,full_sample_z_rank_prior_0p3,-0.0837411214517445,-0.09241323657851197,-0.08453212756262474,-0.09326752317826958
n3dv,16,full_sample_z_rank_prior_1p0,-0.04351339499432427,-0.04894083538892602,-0.04534013651634794,-0.05091371623271357
n3dv,16,full_sample_z_rank_prior_3p0,-0.04351339499432427,-0.04894083538892602,-0.04534013651634794,-0.05091371623271357
n3dv,16,full_sample_z_rank_prior_10p0,0.0,0.0,0.0,0.0
robot,4,full_sample_z_rank_prior_0p0,-0.6053889858428114,-0.7573679948088525,-0.5919797797873478,-0.739253804172531
robot,4,full_sample_z_rank_prior_0p05,-0.36604139877918485,-0.4436014359246876,-0.3546246151586132,-0.42817876331444893
robot,4,full_sample_z_rank_prior_0p1,-0.29727671766064034,-0.3697117571135706,-0.2868385022079707,-0.35561100992313754
robot,4,full_sample_z_rank_prior_0p3,-0.29727671766064034,-0.3697117571135706,-0.2868385022079707,-0.35561100992313754
robot,4,full_sample_z_rank_prior_1p0,0.0,0.0,0.0,0.0
robot,4,full_sample_z_rank_prior_3p0,0.0,0.0,0.0,0.0
robot,4,full_sample_z_rank_prior_10p0,0.0,0.0,0.0,0.0
robot,8,full_sample_z_rank_prior_0p0,-0.8514635494108305,-0.9496274856348066,-0.8357169567268592,-0.9312564608368383
robot,8,full_sample_z_rank_prior_0p05,-0.5146820985468423,-0.5685339386562944,-0.4971592810915304,-0.5480906516251025
robot,8,full_sample_z_rank_prior_0p1,-0.4518322148208256,-0.5140081194013568,-0.43453197028863855,-0.49382450078047313
robot,8,full_sample_z_rank_prior_0p3,-0.09942501227635958,-0.10749008294431661,-0.09705208009681954,-0.10472166206819011
robot,8,full_sample_z_rank_prior_1p0,-0.11031462154455696,-0.11571648690803471,-0.10685224095136547,-0.11167704288264702
robot,8,full_sample_z_rank_prior_3p0,0.024142228327701076,0.0426561530982319,0.026850862986037782,0.045816226866293164
robot,8,full_sample_z_rank_prior_10p0,0.024142228327701076,0.0426561530982319,0.026850862986037782,0.045816226866293164
robot,16,full_sample_z_rank_prior_0p0,-1.6146037968135047,-1.757635673251393,-1.5885708768016507,-1.7294027881681195
robot,16,full_sample_z_rank_prior_0p05,-1.7752712058738709,-1.935344833486937,-1.7476327201103317,-1.9053707010391605
robot,16,full_sample_z_rank_prior_0p1,-1.7752712058738709,-1.935344833486937,-1.7476327201103317,-1.9053707010391605
robot,16,full_sample_z_rank_prior_0p3,-1.690961134155529,-1.844427120483921,-1.6591991859309267,-1.8099810639586593
robot,16,full_sample_z_rank_prior_1p0,-1.1201002276505676,-1.2270897726290144,-1.0936143935709879,-1.1983656990497593
robot,16,full_sample_z_rank_prior_3p0,-0.1590044169603182,-0.17263939230312886,-0.1561427522081189,-0.16953589672680636
robot,16,full_sample_z_rank_prior_10p0,-0.1590044169603182,-0.17263939230312886,-0.1561427522081189,-0.16953589672680636
