base_method,stage78_rate_method,codec,reference_gap,task_count,q12_main_anchor_mib_per_frame,fixed_sideinfo_mib_per_intermediate_frame,entropy_sideinfo_mib_per_intermediate_frame,uniform_intermediate_frame_ratio,fixed_direct_total_mib_per_frame,entropy_direct_total_mib_per_frame,fixed_amortized_total_mib_per_frame,entropy_amortized_total_mib_per_frame,entropy_direct_savings_mib_per_frame,entropy_amortized_savings_mib_per_frame,entropy_ratio_vs_fixed_sideinfo,mean_base_psnr,mean_entropy_psnr,mean_delta_psnr_vs_base,positive_delta_count
linear,linear,q12,4,3,0.18193822076791313,0.04137134552001953,0.028384844462076824,0.75,0.22330956628793266,0.21032306522998995,0.21296672990792778,0.20322685411447075,0.012986501057942718,0.009739875793457031,0.6860991371030328,19.98979652819421,23.327021755289916,3.3372252270957077,3
linear,linear,q12,8,5,0.09762538675351436,0.04137134552001953,0.029387855529785158,0.875,0.13899673227353387,0.12701324228329952,0.13382531408353143,0.12333976034207637,0.011983489990234353,0.010485553741455059,0.71034323782301,18.12111775349949,20.94541228168298,2.8242945281834873,5
linear,linear,q12,16,4,0.055468969746314975,0.04137134552001953,0.028190135955810547,0.9375,0.0968403152663345,0.08365910570212552,0.09425460617133329,0.08189722220488736,0.013181209564208984,0.012357383966445923,0.6813927756391047,19.1130149705525,23.589545045225233,4.476530074672733,4
stage65_adapter,adapter,q12,4,3,0.18193822076791313,0.04137134552001953,0.03340339660644531,0.75,0.22330956628793266,0.21534161737435845,0.21296672990792778,0.20699076822274712,0.007967948913574219,0.005975961685180664,0.8074041631128835,20.48273820637705,23.352831018389125,2.870092812012075,3
stage65_adapter,adapter,q12,8,5,0.09762538675351436,0.04137134552001953,0.03443698883056641,0.875,0.13899673227353387,0.13206237558408077,0.13382531408353143,0.12775775198025996,0.006934356689453108,0.006067562103271473,0.8323874507272769,18.532358493984642,20.943699759081163,2.41134126509652,5
stage65_adapter,adapter,q12,16,4,0.055468969746314975,0.04137134552001953,0.03329300880432129,0.9375,0.0968403152663345,0.08876197855063626,0.09425460617133329,0.08668116550036618,0.008078336715698242,0.007573440670967102,0.8047359443074157,19.075010088585586,22.48232041707169,3.407310328486104,4
