edge_id,task_id,sequence,reference_gap,left_index,right_index,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
bike-packing:00000:00004:gap4,stage199_00019849,bike-packing,4,0,4,1,0.25,topk_keep0p05_q6,0.05,6,15529,0.0015863783191889524,0.00028255500365048647,0.8218867465391579,0.0038145522121340036,0.0027128809597343206,24.18556436270904,25.665692625099666,1.4801282623906253,ok,
bike-packing:00000:00004:gap4,stage199_00019849,bike-packing,4,0,4,1,0.25,topk_keep0p1_q6,0.1,6,28530,0.0015863783191889524,0.00011360393546056002,0.9283878668244527,0.0038145522121340036,0.0025089411064982414,24.18556436270904,26.005095329552272,1.8195309668432316,ok,
bike-packing:00000:00004:gap4,stage199_00019849,bike-packing,4,0,4,1,0.25,topk_keep0p2_q6,0.2,6,50474,0.0015863783191889524,3.920737071894109e-05,0.9752849807358775,0.0038145522121340036,0.0024105266202241182,24.18556436270904,26.17888068100242,1.9933163182933775,ok,
bike-packing:00000:00004:gap4,stage199_00019850,bike-packing,4,0,4,2,0.5,topk_keep0p05_q6,0.05,6,15685,0.002101331949234009,0.000488441321067512,0.7675563248131444,0.004453158471733332,0.002910230541601777,23.513318496307978,25.360726058664483,1.847407562356505,ok,
bike-packing:00000:00004:gap4,stage199_00019850,bike-packing,4,0,4,2,0.5,topk_keep0p1_q6,0.1,6,29280,0.002101331949234009,0.00018479970458429307,0.9120559202216206,0.004453158471733332,0.002599232830107212,23.513318496307978,25.851548161889436,2.3382296655814585,ok,
bike-packing:00000:00004:gap4,stage199_00019850,bike-packing,4,0,4,2,0.5,topk_keep0p2_q6,0.2,6,52679,0.002101331949234009,5.6052122090477496e-05,0.9733254319428637,0.004453158471733332,0.0024394141510128975,23.513318496307978,26.12714461174351,2.6138261154355327,ok,
bike-packing:00000:00004:gap4,stage199_00019851,bike-packing,4,0,4,3,0.75,topk_keep0p05_q6,0.05,6,15648,0.0019240662222728133,0.00036018528044223785,0.8127999565333218,0.00398006197065115,0.0027712921146303415,24.001101657900538,25.57317693963125,1.5720752817307115,ok,
bike-packing:00000:00004:gap4,stage199_00019851,bike-packing,4,0,4,3,0.75,topk_keep0p1_q6,0.1,6,28850,0.0019240662222728133,0.00013900863996241242,0.9277526738148296,0.00398006197065115,0.002539742039516568,24.001101657900538,25.95210392239814,1.9510022644976033,ok,
bike-packing:00000:00004:gap4,stage199_00019851,bike-packing,4,0,4,3,0.75,topk_keep0p2_q6,0.2,6,51451,0.0019240662222728133,4.462395008886233e-05,0.9768074770128493,0.00398006197065115,0.002412936883047223,24.001101657900538,26.17454038100668,2.173438723106141,ok,
bike-packing:00000:00008:gap8,stage199_00019956,bike-packing,8,0,8,1,0.125,topk_keep0p05_q6,0.05,6,15634,0.0017762650968506932,0.00028392867534421384,0.8401541099649947,0.003958895802497864,0.002790621714666486,24.024259286584343,25.542990307157694,1.5187310205733517,ok,
