sequence,frame_index,oracle_role,left_index,right_index,measurement_key,psnr,ssim,ms_ssim,lpips,payload_bytes
bike-packing,0,keyframe,0,0,keyframe::bike-packing:00000,26.079283846778374,0.8400600552558899,0.9858327507972717,0.18571901321411133,719648
bike-packing,1,residual,0,2,residual::bike-packing:00001:00000:00002,26.192307194825467,0.841898500919342,0.984575092792511,0.1916462481021881,144931
bike-packing,2,keyframe,2,2,keyframe::bike-packing:00002,26.253660760444593,0.8476635813713074,0.9862802028656006,0.18079394102096558,719640
bike-packing,3,residual,2,4,residual::bike-packing:00003:00002:00004,26.11613665448968,0.8386049270629883,0.9830875992774963,0.1983473002910614,147378
bike-packing,4,keyframe,4,4,keyframe::bike-packing:00004,26.419333409621636,0.8502992987632751,0.986646294593811,0.1807929277420044,719651
bike-packing,5,residual,4,6,residual::bike-packing:00005:00004:00006,26.290428705365656,0.8255360722541809,0.9815595746040344,0.21260161697864532,142911
bike-packing,6,keyframe,6,6,keyframe::bike-packing:00006,26.683049248231292,0.850507915019989,0.9864611029624939,0.1816236674785614,719649
bike-packing,7,residual,6,8,residual::bike-packing:00007:00006:00008,26.240066919609237,0.8228158950805664,0.9812828898429871,0.22011026740074158,138882
bike-packing,8,keyframe,8,8,keyframe::bike-packing:00008,26.682567321615608,0.8535167574882507,0.9868981242179871,0.18134839832782745,719646
bike-packing,9,residual,8,10,residual::bike-packing:00009:00008:00010,26.25635534762135,0.8298130631446838,0.9822349548339844,0.20314760506153107,159709
bike-packing,10,keyframe,10,10,keyframe::bike-packing:00010,26.64035650914893,0.854788064956665,0.9870686531066895,0.17449705302715302,719647
bike-packing,11,residual,10,12,residual::bike-packing:00011:00010:00012,26.107465046121334,0.8327586054801941,0.982528030872345,0.2035403996706009,170920
bike-packing,12,keyframe,12,12,keyframe::bike-packing:00012,26.370589071153965,0.851966917514801,0.9868340492248535,0.17273931205272675,719649
bike-packing,13,residual,12,18,residual::bike-packing:00013:00012:00018,26.409645251736332,0.845846951007843,0.984421968460083,0.1873432695865631,160649
bike-packing,14,residual,12,18,residual::bike-packing:00014:00012:00018,26.39140121899015,0.8267919421195984,0.9814600944519043,0.2060660421848297,180949
bike-packing,15,residual,12,18,residual::bike-packing:00015:00012:00018,26.695106795650553,0.8241336941719055,0.9807019829750061,0.21795184910297394,160487
bike-packing,16,residual,12,18,residual::bike-packing:00016:00012:00018,27.112989240704227,0.8418116569519043,0.9837098121643066,0.19815167784690857,150131
bike-packing,17,residual,12,18,residual::bike-packing:00017:00012:00018,27.194370571883905,0.8518293499946594,0.9850903153419495,0.19494794309139252,141780
bike-packing,18,keyframe,18,18,keyframe::bike-packing:00018,27.201092238712796,0.8592743277549744,0.9873775839805603,0.18062852323055267,719646
bike-packing,19,residual,18,20,residual::bike-packing:00019:00018:00020,26.168441443605097,0.8129675388336182,0.9796353578567505,0.22249658405780792,163820
