oracle,sequence,frame_count,mean_psnr,mean_ssim,mean_ms_ssim,mean_lpips,chosen_edge_count,keyframe_count,additive_payload_bytes
framewise_psnr_oracle,bike-packing,69,26.12291059415819,0.84950091700623,0.9854744949202606,0.18289398650328317,,35,
framewise_psnr_oracle,blackswan,50,30.04952282849842,0.8894712233543396,0.9881313455104828,0.1527922433614731,,26,
framewise_psnr_oracle,bmx-trees,80,30.50757295866195,0.8794778831303119,0.9866438522934914,0.13060462223365904,,43,
framewise_psnr_oracle,breakdance,84,25.743089754005208,0.8700553569055739,0.9867797607467288,0.1581441600407873,,43,
framewise_psnr_oracle,camel,90,25.788011662749213,0.8089500553078122,0.9814962069193522,0.18373426894346873,,50,
framewise_psnr_oracle,car-roundabout,75,26.983435884890213,0.8952581890424093,0.9888025530179342,0.13705557703971863,,42,
framewise_psnr_oracle,car-shadow,40,29.813560370129363,0.9161686226725578,0.9901710897684097,0.13052234034985305,,23,
framewise_psnr_oracle,cows,104,24.708243779481766,0.7717373434167641,0.9765240848064423,0.20807687751948833,,55,
framewise_psnr_oracle,dance-twirl,90,28.714711965176967,0.8610297395123376,0.9860860877566867,0.18773811674780316,,47,
framewise_psnr_oracle,dog,60,32.2066614745286,0.8992426931858063,0.9905666480461757,0.14777416655172904,,32,
framewise_psnr_oracle,dogs-jump,66,32.440302263950656,0.8921689996213624,0.9877365619847269,0.11610906864657547,,34,
framewise_psnr_oracle,drift-chicane,52,30.91468053865682,0.8963436736510351,0.9886061675273455,0.1670315878895613,,26,
framewise_psnr_oracle,drift-straight,50,31.589477363164942,0.9420002198219299,0.9936034655570984,0.0894689029455185,,29,
framewise_psnr_oracle,goat,90,27.344526656115008,0.864169098271264,0.9879950801531474,0.17164272003703648,,48,
framewise_psnr_oracle,gold-fish,78,33.80466335923818,0.9130201416137891,0.9839245004531665,0.06883903497304672,,40,
framewise_psnr_oracle,horsejump-high,50,28.08490985527328,0.8878154683113099,0.9871171283721923,0.14140244230628013,,27,
framewise_psnr_oracle,india,81,33.871534176457814,0.9366298126585689,0.9910883388401549,0.1048901694148411,,43,
framewise_psnr_oracle,judo,34,31.681338300934037,0.9381331450798932,0.992264449596405,0.13510794477427707,,18,
framewise_psnr_oracle,kite-surf,50,32.17389672345705,0.9081702136993408,0.9876923453807831,0.09550963535904884,,26,
framewise_psnr_oracle,lab-coat,47,29.47055451868414,0.8945819596026806,0.9888823501607205,0.14121015829608796,,25,
framewise_psnr_oracle,libby,49,33.80787059260308,0.9124804126973055,0.9889219159982643,0.11918868535027212,,27,
