sample,method,reference_gap,selector_cost,total_frames,keyframe_count,keyframe_ratio,estimated_q8_static_mib_per_frame,max_segment_length,mean_segment_length,segment_lengths,indices,linear_all_psnr,adapter_all_psnr,delta_all_psnr,linear_middle_psnr,adapter_middle_psnr,delta_middle_psnr,linear_given_psnr,adapter_given_psnr,delta_given_psnr,linear_all_ssim,adapter_all_ssim,linear_middle_ssim,adapter_middle_ssim,checkpoint
meetroom,uniform,16,,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,25.931059230358613,25.9925422175848,0.06148298722618506,25.488498235474264,25.55489986167854,0.06640162620427503,31.46307166641299,31.46307166641299,0.0,0.8686625847110042,0.8821232554353313,0.8649900452295939,0.8795275696118673,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
meetroom,rendered_distortion_oracle,16,0.1415443004031355,81,6,0.07407407407407407,0.033854166666666664,32,16.0,11 11 32 15 11,0 11 22 54 69 80,25.81727687676543,25.85168521510527,0.03440833833984058,25.362952870918715,25.400113876325747,0.03716100540703238,31.496326949849422,31.496326949849422,0.0,0.8672360917668284,0.8802381643542537,0.8633901739120483,0.8774324123064677,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/meetroom/stage25_best_anchor_adapter.safetensors
driving,uniform,4,,81,21,0.25925925925925924,0.11848958333333333,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76 80,27.918159891285423,27.987355651411722,0.06919576012629847,26.337111877661762,26.430526153832265,0.09341427617050257,32.43543993021016,32.43543993021016,0.0,0.7710227694040463,0.7754659476103606,0.7283048699299495,0.7343031605084737,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,rendered_distortion_oracle,4,0.12966951126387966,81,21,0.25925925925925924,0.11848958333333333,7,4.0,1 3 3 3 3 7 2 3 3 3 3 7 5 7 2 7 5 7 3 3,0 1 4 7 10 13 20 22 25 28 31 34 41 46 53 55 62 67 74 77 80,27.947772886699326,28.017567354910305,0.06979446821097923,26.359546603683935,26.453769135768756,0.0942225320848209,32.4855622667433,32.4855622667433,0.0,0.771350164472321,0.7758073482984378,0.7287048846483231,0.7347220828135809,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,8,,81,11,0.13580246913580246,0.062065972222222224,8,8.0,8 8 8 8 8 8 8 8 8 8,0 8 16 24 32 40 48 56 64 72 80,25.722301850385016,25.776341229195026,0.05403937881001042,24.67251167422008,24.735042955414524,0.0625312811944454,32.40278478961645,32.40278478961645,0.0,0.70124500769156,0.7062944946465669,0.6711267301014492,0.6769697078636714,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,rendered_distortion_oracle,8,0.19623567800348005,81,11,0.13580246913580246,0.062065972222222224,16,8.0,4 3 10 2 16 9 5 10 5 16,0 4 7 17 19 35 44 49 59 64 80,25.57044180502581,25.624969996650055,0.0545281916242466,24.486700448077404,24.549797355528323,0.06309690745091956,32.46697771287928,32.46697771287928,0.0,0.6909679763111067,0.6961255544497643,0.6593889909131186,0.6653570456164224,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,uniform,16,,81,6,0.07407407407407407,0.033854166666666664,16,16.0,16 16 16 16 16,0 16 32 48 64 80,23.76875803859573,23.804673762790383,0.03591572419465194,23.079622516033428,23.118411498163656,0.03878898213022808,32.38295207062447,32.38295207062447,0.0,0.6309859112456992,0.6359695516250752,0.610102678934733,0.615485010544459,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
driving,rendered_distortion_oracle,16,0.2740286168021461,81,6,0.07407407407407407,0.033854166666666664,25,16.0,7 25 11 15 22,0 7 32 43 58 80,23.683028328098676,23.718483875187452,0.03545554708877674,22.982863545937676,23.02115553679355,0.03829199085587476,32.43508810511121,32.43508810511121,0.0,0.6245322275308915,0.6297231883178522,0.6031619815031687,0.6087682191530863,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/driving/stage25_best_anchor_adapter.safetensors
robot,uniform,4,,77,20,0.2597402597402597,0.11870941558441558,4,4.0,4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,0 4 8 12 16 20 24 28 32 36 40 44 48 52 56 60 64 68 72 76,25.1543985695563,25.19141168744805,0.03701311789174966,22.82414386674953,22.874144043550658,0.05000017680112734,31.795624472555602,31.795624472555602,0.0,0.7914315578225372,0.8025368839115291,0.757226942924031,0.7722288746582834,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,rendered_distortion_oracle,4,0.2812820781255141,77,20,0.2597402597402597,0.11870941558441558,8,4.0,1 5 7 2 5 8 4 7 1 1 2 1 2 7 2 5 7 6 3,0 1 6 13 15 20 28 32 39 40 41 43 44 46 53 55 60 67 73 76,25.33221001968863,25.365643779422474,0.03343375973384255,23.06625602471295,23.11142092821305,0.04516490350010116,31.790178905369324,31.790178905369324,0.0,0.7915916891841145,0.8025682011207977,0.7573923186251992,0.7722202382589641,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,uniform,8,,77,11,0.14285714285714285,0.06529017857142858,8,7.6,8 8 8 8 8 8 8 8 8 4,0 8 16 24 32 40 48 56 64 72 76,22.962144328620898,22.983025497793417,0.02088116917251881,21.488095166754647,21.51245653078925,0.024361364034604094,31.806439299818383,31.806439299818383,0.0,0.7515562130259229,0.7635170430332036,0.7284991479281223,0.7424534496032831,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,rendered_distortion_oracle,8,0.3406178231816739,77,11,0.14285714285714285,0.06529017857142858,15,7.6,1 5 9 5 13 15 4 13 8 3,0 1 6 15 20 33 48 52 65 73 76,23.262783414891068,23.2799649011616,0.0171814862705304,21.85761373079841,21.87765879811403,0.020045067315621168,31.693801519446993,31.693801519446993,0.0,0.752406656742096,0.7648787893258132,0.7297052163066287,0.7442560376542987,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,uniform,16,,77,6,0.07792207792207792,0.03561282467532467,16,15.2,16 16 16 16 12,0 16 32 48 64 76,21.422427755729462,21.42626162360916,0.003833867879698971,20.55028502701207,20.55444288372667,0.004157856714599006,31.742783378885278,31.742783378885278,0.0,0.7221902554685419,0.7349693775177002,0.7080584563000102,0.7219175041561395,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
robot,rendered_distortion_oracle,16,0.40236491469355923,77,6,0.07792207792207792,0.03561282467532467,30,15.2,5 13 30 25 3,0 5 18 48 73 76,21.19021514662339,21.1848849689734,-0.005330177649991441,20.302125499824573,20.296344884626688,-0.005780615197885197,31.699275967076073,31.699275967076073,0.0,0.7093401853140299,0.7208037701520053,0.6940420731692247,0.7064744116554798,/mnt/hdd2tC/tmp/opencode/mono_dfcgs_runs/stage25_leave_one_out_adapter_training/robot/stage25_best_anchor_adapter.safetensors
